LeakagePort 0	Current turn 0.5	Pressure storage 41.4424	Pressure reaction 1.4764
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	41.4424	1.4764	0.0407508	0.00153434
0.01	41.4424	1.4764	0.0407508	0.00153434
0.02	41.351	1.6709	0.040661	0.00173648
0.03	41.2599	1.86497	0.0405714	0.00193817
0.04	41.169	2.05862	0.040482	0.00213942
0.05	41.0783	2.25184	0.0403928	0.00234022
0.06	40.9878	2.44464	0.0403038	0.00254058
0.07	40.8974	2.637	0.040215	0.0027405
0.08	40.8073	2.82895	0.0401264	0.00293998
0.09	40.7174	3.02047	0.0400379	0.00313902
0.1	40.6277	3.21157	0.0399497	0.00333762
0.11	40.5381	3.40225	0.0398617	0.00353578
0.12	40.4488	3.59251	0.0397738	0.00373351
0.13	40.3597	3.78235	0.0396862	0.0039308
0.14	40.2707	3.97177	0.0395987	0.00412766
0.15	40.182	4.16078	0.0395115	0.00432408
0.16	40.0935	4.34937	0.0394244	0.00452007
0.17	40.0051	4.53754	0.0393375	0.00471563
0.18	39.917	4.7253	0.0392509	0.00491075
0.19	39.829	4.91264	0.0391644	0.00510545
0.2	39.7412	5.09957	0.0390781	0.00529972
0.21	39.6537	5.28609	0.038992	0.00549356
0.22	39.5663	5.4722	0.038906	0.00568697
0.23	39.4791	5.6579	0.0388203	0.00587996
0.24	39.3921	5.84319	0.0387348	0.00607252
0.25	39.3053	6.02807	0.0386494	0.00626465
0.26	39.2187	6.21254	0.0385642	0.00645637
0.27	39.1323	6.39661	0.0384793	0.00664766
0.28	39.046	6.58027	0.0383945	0.00683853
0.29	38.96	6.76352	0.0383099	0.00702898
0.3	38.8741	6.94638	0.0382254	0.00721901
0.31	38.7885	7.12883	0.0381412	0.00740862
0.32	38.703	7.31087	0.0380572	0.00759781
0.33	38.6177	7.49252	0.0379733	0.00778658
0.34	38.5326	7.67377	0.0378896	0.00797494
0.35	38.4477	7.85461	0.0378061	0.00816289
0.36	38.363	8.03506	0.0377228	0.00835042
0.37	38.2784	8.21511	0.0376397	0.00853754
0.38	38.1941	8.39477	0.0375568	0.00872424
0.39	38.1099	8.57402	0.037474	0.00891053
0.4	38.026	8.75289	0.0373914	0.00909642
0.41	37.9422	8.93136	0.037309	0.00928189
0.42	37.8586	9.10943	0.0372268	0.00946695
0.43	37.7751	9.28711	0.0371448	0.00965161
0.44	37.6919	9.46441	0.0370629	0.00983586
0.45	37.6088	9.64131	0.0369813	0.0100197
0.46	37.526	9.81782	0.0368998	0.0102031
0.47	37.4433	9.99394	0.0368184	0.0103862
0.48	37.3608	10.1697	0.0367373	0.0105688
0.49	37.2784	10.345	0.0366564	0.010751
0.5	37.1963	10.52	0.0365756	0.0109329
0.51	37.1143	10.6946	0.036495	0.0111143
0.52	37.0325	10.8687	0.0364146	0.0112953
0.53	36.9509	11.0426	0.0363343	0.0114759
0.54	36.8695	11.216	0.0362543	0.0116562
0.55	36.7883	11.389	0.0361744	0.011836
0.56	36.7072	11.5617	0.0360947	0.0120154
0.57	36.6263	11.734	0.0360151	0.0121945
0.58	36.5456	11.9059	0.0359358	0.0123731
0.59	36.4651	12.0774	0.0358566	0.0125514
0.6	36.3847	12.2485	0.0357776	0.0127292
0.61	36.3045	12.4193	0.0356987	0.0129067
0.62	36.2245	12.5897	0.0356201	0.0130838
0.63	36.1447	12.7597	0.0355416	0.0132605
0.64	36.0651	12.9293	0.0354632	0.0134368
0.65	35.9856	13.0986	0.0353851	0.0136127
0.66	35.9063	13.2675	0.0353071	0.0137882
0.67	35.8272	13.436	0.0352293	0.0139633
0.68	35.7482	13.6042	0.0351517	0.0141381
0.69	35.6694	13.7719	0.0350742	0.0143125
0.7	35.5908	13.9393	0.0349969	0.0144864
0.71	35.5124	14.1064	0.0349198	0.01466
0.72	35.4342	14.2731	0.0348429	0.0148332
0.73	35.3561	14.4394	0.0347661	0.0150061
0.74	35.2782	14.6053	0.0346895	0.0151785
0.75	35.2004	14.7709	0.034613	0.0153506
0.76	35.1229	14.9361	0.0345368	0.0155223
0.77	35.0455	15.1009	0.0344607	0.0156936
0.78	34.9682	15.2654	0.0343847	0.0158645
0.79	34.8912	15.4295	0.034309	0.0160351
0.8	34.8143	15.5933	0.0342334	0.0162053
0.81	34.7376	15.7567	0.0341579	0.0163751
0.82	34.661	15.9197	0.0340827	0.0165445
0.83	34.5847	16.0824	0.0340075	0.0167136
0.84	34.5085	16.2447	0.0339326	0.0168823
0.85	34.4324	16.4067	0.0338578	0.0170506
0.86	34.3565	16.5683	0.0337832	0.0172185
0.87	34.2808	16.7295	0.0337088	0.0173861
0.88	34.2053	16.8904	0.0336345	0.0175533
0.89	34.1299	17.0509	0.0335604	0.0177202
0.9	34.0547	17.2111	0.0334864	0.0178866
0.91	33.9797	17.371	0.0334126	0.0180527
0.92	33.9048	17.5304	0.033339	0.0182185
0.93	33.8301	17.6896	0.0332656	0.0183838
0.94	33.7555	17.8483	0.0244587	0.0185488
0.95	33.7007	17.9651	0.0243911	0.0186702
0.96	33.6461	18.0815	0.0243219	0.0187912
0.97	33.5916	18.1976	0.0242509	0.0189118
0.98	33.5372	18.3133	0.0241782	0.0190321
0.99	33.483	18.4287	0.0241038	0.019152
1	33.429	18.5438	0.0240278	0.0192716
1.01	33.3752	18.6585	0.0239501	0.0193908
1.02	33.3215	18.7728	0.0238708	0.0195096
1.03	33.268	18.8867	0.0237899	0.019628
1.04	33.2147	19.0003	0.0237074	0.019746
1.05	33.1616	19.1134	0.0236233	0.0198636
1.06	33.1086	19.2262	0.0235377	0.0199808
1.07	33.0559	19.3385	0.0234504	0.0200975
1.08	33.0033	19.4504	0.0233617	0.0202138
1.09	32.951	19.562	0.0232714	0.0203297
1.1	32.8988	19.673	0.0231796	0.0204451
1.11	32.8469	19.7837	0.0230863	0.0205601
1.12	32.7951	19.8939	0.0229915	0.0206746
1.13	32.7436	20.0036	0.0228953	0.0207887
1.14	32.6923	20.1129	0.0227976	0.0209023
1.15	32.6412	20.2217	0.0226984	0.0210153
1.16	32.5903	20.33	0.0225979	0.0211279
1.17	32.5397	20.4379	0.0224959	0.02124
1.18	32.4893	20.5453	0.0223926	0.0213516
1.19	32.4391	20.6521	0.0222879	0.0214627
1.2	32.3892	20.7585	0.0221818	0.0215732
1.21	32.3395	20.8644	0.0220744	0.0216833
1.22	32.29	20.9697	0.0219656	0.0217928
1.23	32.2408	21.0746	0.0218556	0.0219017
1.24	32.1918	21.1789	0.0217442	0.0220101
1.25	32.1431	21.2827	0.0216315	0.022118
1.26	32.0946	21.3859	0.0215176	0.0222253
1.27	32.0464	21.4886	0.0214024	0.022332
1.28	31.9984	21.5908	0.021286	0.0224382
1.29	31.9507	21.6924	0.0211683	0.0225438
