LeakagePort 1	Current turn 0.5	Pressure storage 41.496	Pressure reaction 0.0441185
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	41.4981	0.0446533	0.0189599	1.04213
1.9e-06	41.4978	0.0392241	0.0189612	1.04213
0.430868	38.7539	3.37766	0.0161281	1.04213
0.98493	37.9639	5.19752	0.0151347	1.04557
1.43224	35.9529	9.86751	0.0127206	1.04973
2.02298	35.2678	11.4815	0.0119343	1.05255
2.44134	33.5369	15.5843	0.0100364	1.05605
3.03243	32.8485	17.2406	0.0093138	1.05813
3.46833	31.4631	20.5693	0.00387211	1.06087
3.99238	30.9849	21.722	0.00364295	1.0617
4.46894	30.1179	23.7853	0.00310839	1.06265
4.98498	29.3692	25.5979	0.00245587	1.06338
5.48017	29.161	26.0996	0.00222587	1.06401
5.99576	28.76	27.0886	0.0016629	1.06456
6.4937	28.6194	27.428	0.00140895	1.06499
7.03221	28.4633	27.8173	0.00104168	1.06533
7.50789	28.4156	27.9254	0.000908353	1.06561
8.00131	28.355	28.0705	0.000692978	1.06583
8.50253	28.328	28.1267	0.000583252	1.066
9.02979	28.3127	28.1678	0.000494998	1.06614
9.51293	28.3056	28.1887	0.000444572	1.06627
10.016	28.2988	28.1978	0.000413336	1.06638
10.5088	28.2992	28.2184	0.000369642	1.06648
11.0228	28.2893	28.2077	0.000371574	1.06657
11.5354	28.2882	28.2154	0.000350797	1.06666
12.048	28.2851	28.2131	0.000348797	1.06675
12.5626	28.2852	28.2164	0.000341088	1.06684
13.0635	28.2877	28.2129	0.000355716	1.06693
13.5625	28.2891	28.2188	0.000344885	1.06702
14.0753	28.2923	28.2129	0.000366678	1.0671
14.617	28.2858	28.2163	0.000342914	1.0672
15.084	28.29	28.2165	0.000352656	1.06729
15.6911	28.2861	28.2178	0.000340023	1.06737
16.1102	28.2882	28.2174	0.000346122	1.06747
16.6549	28.2895	28.215	0.000355025	1.06754
