LeakagePort 0	Current turn 0.5	Pressure storage 24.7785	Pressure reaction 0.0709802	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	24.7776	0.0709387	0.0332771	1.67118
1.5e-06	23.1953	4.37074	0.0311551	1.67118
0.500865	21.7297	7.31835	0.0291866	1.67118
1.05401	18.5387	13.6818	0.0123885	1.67843
1.52968	17.5717	15.6484	0.00840002	1.68183
2.08429	17.0052	16.8189	0.0027198	1.68382
2.56085	16.9779	16.8796	0.00197956	1.68456
3.07472	16.964	16.9093	0.00147803	1.68503
3.59004	16.9673	16.9156	0.00143711	1.68541
4.12497	16.9666	16.9095	0.00151097	1.68578
4.61749	16.9669	16.9205	0.00136253	1.68618
5.13298	16.9646	16.9143	0.00141835	1.68651
5.62933	16.9736	16.9115	0.00157417	1.68687
6.14324	16.9703	16.9098	0.00155422	1.68726
