LeakagePort 0	Current turn 0.5	Pressure storage 21.792	Pressure reaction -0.00384763	Used volumes:E, B, F
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	21.7912	-0.0011794	0.0281309	2.27109e-05
2.1e-06	21.789	-2.87217e-05	0.028128	2.27109e-05
0.510556	18.657	3.66139	0.0240873	2.27402e-05
1.00216	17.8346	4.47936	0.0230255	0.00612285
1.52745	15.0878	7.2173	0.019479	0.0117377
2.00572	13.2312	9.08535	0.00893704	0.0168131
2.51267	12.475	9.84738	0.00745237	0.0189333
3.01497	11.6737	10.661	0.00484032	0.0208073
3.51862	11.4356	10.9004	0.00356334	0.0220133
4.01666	11.2567	11.0741	0.00209973	0.0229035
4.55475	11.2184	11.1003	0.00169131	0.0234222
5.02016	11.1975	11.1241	0.00133518	0.0238737
5.53981	11.1955	11.13	0.00126094	0.0241819
6.03177	11.192	11.1265	0.00126149	0.0245069
6.54602	11.1928	11.1333	0.00120258	0.0248148
7.05798	11.1889	11.1297	0.00119898	0.0251215
