LeakagePort 0	Current turn 0.5	Pressure storage 21.792	Pressure reaction -0.00384763	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	21.792	-0.00384763	0.0281347	1e-09
0.01	21.792	4.85569e-07	0.0281347	1e-09
0.02	21.7293	0.067765	0.0280537	0.000139558
0.03	21.6667	0.135334	0.0279729	0.000278713
0.04	21.6044	0.202709	0.0278924	0.000417468
0.05	21.5422	0.26989	0.0278121	0.000555823
0.06	21.4802	0.336878	0.027732	0.00069378
0.07	21.4183	0.403673	0.0276522	0.000831339
0.08	21.3567	0.470275	0.0275726	0.000968503
0.09	21.2952	0.536686	0.0274932	0.00110527
0.1	21.2339	0.602905	0.0274141	0.00124165
0.11	21.1728	0.668934	0.0273352	0.00137763
0.12	21.1118	0.734773	0.0272565	0.00151322
0.13	21.051	0.800422	0.027178	0.00164842
0.14	20.9904	0.865883	0.0270998	0.00178323
0.15	20.93	0.931154	0.0270218	0.00191766
0.16	20.8698	0.996238	0.026944	0.00205169
0.17	20.8097	1.06114	0.0268664	0.00218534
0.18	20.7498	1.12584	0.0267891	0.00231861
0.19	20.69	1.19037	0.026712	0.00245149
0.2	20.6305	1.25471	0.0266351	0.00258399
0.21	20.5711	1.31886	0.0265584	0.00271611
0.22	20.5119	1.38283	0.0264819	0.00284785
0.23	20.4528	1.44661	0.0264057	0.00297921
0.24	20.394	1.51021	0.0263297	0.00311019
0.25	20.3352	1.57363	0.0262539	0.00324079
0.26	20.2767	1.63686	0.0261783	0.00337102
0.27	20.2183	1.69991	0.026103	0.00350087
0.28	20.1601	1.76279	0.0260278	0.00363035
0.29	20.1021	1.82548	0.0259529	0.00375946
0.3	20.0442	1.88799	0.0258782	0.00388819
0.31	19.9865	1.95031	0.0258037	0.00401656
0.32	19.929	2.01247	0.0257294	0.00414455
0.33	19.8716	2.07444	0.0256554	0.00427218
0.34	19.8144	2.13623	0.0255815	0.00439944
0.35	19.7574	2.19784	0.0255079	0.00452633
0.36	19.7005	2.25928	0.0254344	0.00465286
0.37	19.6438	2.32054	0.0253612	0.00477902
0.38	19.5873	2.38163	0.0252882	0.00490482
0.39	19.5309	2.44254	0.0252154	0.00503026
0.4	19.4746	2.50327	0.0251428	0.00515533
0.41	19.4186	2.56383	0.0250704	0.00528005
0.42	19.3627	2.62421	0.0249983	0.00540441
0.43	19.3069	2.68442	0.0249263	0.0055284
0.44	19.2514	2.74446	0.0248546	0.00565205
0.45	19.1959	2.80432	0.024783	0.00577533
0.46	19.1407	2.86401	0.0247117	0.00589827
0.47	19.0856	2.92353	0.0246405	0.00602084
0.48	19.0306	2.98288	0.0245696	0.00614307
0.49	18.9759	3.04206	0.0244989	0.00626494
0.5	18.9212	3.10107	0.0244283	0.00638646
0.51	18.8668	3.15991	0.024358	0.00650764
0.52	18.8125	3.21857	0.0242879	0.00662846
0.53	18.7583	3.27707	0.024218	0.00674893
0.54	18.7043	3.3354	0.0241483	0.00686906
0.55	18.6505	3.39357	0.0240788	0.00698885
0.56	18.5968	3.45156	0.0240094	0.00710828
0.57	18.5432	3.50939	0.0239403	0.00722738
0.58	18.4899	3.56705	0.0238714	0.00734613
0.59	18.4366	3.62455	0.0238027	0.00746454
0.6	18.3836	3.68188	0.0237342	0.00758261
0.61	18.3306	3.73905	0.0236658	0.00770034
0.62	18.2779	3.79605	0.0235977	0.00781773
0.63	18.2253	3.85288	0.0235298	0.00793478
0.64	18.1728	3.90956	0.0234621	0.0080515
0.65	18.1205	3.96607	0.0233945	0.00816788
0.66	18.0683	4.02241	0.0233272	0.00828392
0.67	18.0163	4.0786	0.02326	0.00839963
0.68	17.9644	4.13462	0.0231931	0.00851501
0.69	17.9127	4.19048	0.0231263	0.00863005
0.7	17.8612	4.24619	0.0230597	0.00874477
0.71	17.8097	4.30173	0.0229933	0.00885915
0.72	17.7585	4.35711	0.0229272	0.0089732
0.73	17.7074	4.41233	0.0228612	0.00908693
0.74	17.6564	4.46739	0.0227953	0.00920033
0.75	17.6056	4.5223	0.0227297	0.0093134
0.76	17.5549	4.57704	0.0226643	0.00942615
0.77	17.5043	4.63163	0.0225991	0.00953857
0.78	17.454	4.68606	0.022534	0.00965067
0.79	17.4037	4.74034	0.0224691	0.00976244
0.8	17.3536	4.79446	0.0224044	0.0098739
0.81	17.3037	4.84842	0.02234	0.00998503
0.82	17.2538	4.90223	0.0222756	0.0100958
0.83	17.2042	4.95588	0.0222115	0.0102063
0.84	17.1546	5.00938	0.0221476	0.0103165
0.85	17.1053	5.06272	0.0220838	0.0104264
0.86	17.056	5.11591	0.0220202	0.0105359
0.87	17.0069	5.16895	0.0219569	0.0106451
0.88	16.958	5.22184	0.0218937	0.0107541
0.89	16.9092	5.27457	0.0218306	0.0108627
0.9	16.8605	5.32715	0.0217678	0.0109709
0.91	16.8119	5.37958	0.0217051	0.0110789
0.92	16.7635	5.43186	0.0216426	0.0111866
0.93	16.7153	5.48398	0.0215803	0.0112939
0.94	16.6672	5.53596	0.0215182	0.011401
0.95	16.6192	5.58779	0.0214563	0.0115077
0.96	16.5713	5.63947	0.0213945	0.0116141
0.97	16.5236	5.691	0.0213329	0.0117203
0.98	16.4761	5.74238	0.0212715	0.0118261
0.99	16.4287	5.79362	0.0212103	0.0119316
1	16.3814	5.8447	0.0211492	0.0120368
1.01	16.3342	5.89564	0.0210883	0.0121417
1.02	16.2872	5.94643	0.0210276	0.0122463
1.03	16.2403	5.99708	0.0209671	0.0123506
1.04	16.1935	6.04758	0.0209067	0.0124546
1.05	16.1469	6.09794	0.0208466	0.0125583
1.06	16.1004	6.14815	0.0207865	0.0126617
1.07	16.0541	6.19821	0.0207267	0.0127648
1.08	16.0079	6.24814	0.020667	0.0128677
1.09	15.9618	6.29791	0.0206076	0.0129702
1.1	15.9159	6.34755	0.0205482	0.0130724
1.11	15.87	6.39704	0.0204891	0.0131743
1.12	15.8244	6.44639	0.0204301	0.013276
1.13	15.7788	6.4956	0.0203713	0.0133773
1.14	15.7334	6.54466	0.0203126	0.0134783
1.15	15.6881	6.59359	0.0202542	0.0135791
1.16	15.6429	6.64237	0.0201959	0.0136796
1.17	15.5979	6.69102	0.0201377	0.0137797
1.18	15.553	6.73952	0.0200798	0.0138796
1.19	15.5082	6.78788	0.020022	0.0139792
1.2	15.4636	6.83611	0.0199643	0.0140786
1.21	15.4191	6.88419	0.0199068	0.0141776
1.22	15.3747	6.93214	0.0198495	0.0142763
1.23	15.3304	6.97995	0.0197924	0.0143748
1.24	15.2863	7.02762	0.0197354	0.014473
1.25	15.2423	7.07515	0.0196786	0.0145709
1.26	15.1984	7.12255	0.019622	0.0146685
1.27	15.1547	7.16981	0.0195655	0.0147658
1.28	15.111	7.21694	0.0195092	0.0148628
1.29	15.0675	7.26393	0.019453	0.0149596
1.3	15.0242	7.31078	0.019397	0.0150561
1.31	14.9809	7.3575	0.0193412	0.0151523
1.32	14.9378	7.40408	0.0192855	0.0152483
1.33	14.8948	7.45054	0.01923	0.0153439
1.34	14.8519	7.49685	0.0191746	0.0154393
1.35	14.8091	7.54304	0.0191194	0.0155344
1.36	14.7665	7.58909	0.0190644	0.0156293
1.37	14.724	7.635	0.0190095	0.0157238
1.38	14.6816	7.68079	0.0189548	0.0158181
1.39	14.6394	7.72644	0.0105001	0.0159121
1.4	14.6159	7.75173	0.010483	0.0159642
1.41	14.5926	7.77698	0.0104656	0.0160162
1.42	14.5692	7.80219	0.010448	0.0160681
1.43	14.5459	7.82736	0.0104301	0.01612
1.44	14.5227	7.85248	0.0104119	0.0161717
1.45	14.4995	7.87755	0.0103934	0.0162234
1.46	14.4763	7.90259	0.0103747	0.0162749
1.47	14.4532	7.92758	0.0103557	0.0163264
1.48	14.4301	7.95252	0.0103364	0.0163777
1.49	14.407	7.97741	0.0103168	0.016429
1.5	14.384	8.00226	0.010297	0.0164802
1.51	14.3611	8.02706	0.0102769	0.0165313
1.52	14.3382	8.05182	0.0102565	0.0165822
1.53	14.3153	8.07652	0.0102358	0.0166331
1.54	14.2925	8.10117	0.0102149	0.0166839
1.55	14.2697	8.12578	0.0101937	0.0167346
1.56	14.247	8.15033	0.0101722	0.0167851
1.57	14.2243	8.17483	0.0101505	0.0168356
1.58	14.2016	8.19928	0.0101284	0.0168859
1.59	14.1791	8.22367	0.0101062	0.0169362
1.6	14.1565	8.24802	0.0100836	0.0169863
1.61	14.134	8.2723	0.0100608	0.0170363
1.62	14.1116	8.29653	0.0100377	0.0170862
1.63	14.0892	8.32071	0.0100143	0.017136
1.64	14.0669	8.34483	0.00999067	0.0171857
1.65	14.0446	8.36889	0.00996677	0.0172352
1.66	14.0224	8.3929	0.0099426	0.0172847
1.67	14.0002	8.41685	0.00991816	0.017334
1.68	13.9781	8.44074	0.00989346	0.0173832
1.69	13.9561	8.46457	0.00986849	0.0174323
1.7	13.9341	8.48834	0.00984326	0.0174812
1.71	13.9121	8.51204	0.00981776	0.01753
1.72	13.8902	8.53569	0.009792	0.0175787
1.73	13.8684	8.55927	0.00976597	0.0176273
1.74	13.8466	8.5828	0.00973968	0.0176758
1.75	13.8249	8.60626	0.00971313	0.0177241
1.76	13.8032	8.62965	0.00968631	0.0177722
1.77	13.7816	8.65298	0.00965924	0.0178203
1.78	13.7601	8.67625	0.0096319	0.0178682
1.79	13.7386	8.69944	0.0096043	0.017916
1.8	13.7172	8.72258	0.00957645	0.0179636
1.81	13.6959	8.74564	0.00954833	0.0180111
1.82	13.6746	8.76864	0.00951996	0.0180585
1.83	13.6533	8.79157	0.00949133	0.0181057
1.84	13.6322	8.81443	0.00946244	0.0181528
1.85	13.6111	8.83722	0.0094333	0.0181997
1.86	13.59	8.85994	0.0094039	0.0182465
1.87	13.5691	8.88259	0.00937424	0.0182932
1.88	13.5482	8.90517	0.00934434	0.0183397
1.89	13.5273	8.92768	0.00931417	0.018386
1.9	13.5066	8.95011	0.00928376	0.0184322
1.91	13.4859	8.97247	0.00925309	0.0184783
1.92	13.4652	8.99476	0.00922217	0.0185242
1.93	13.4447	9.01697	0.009191	0.0185699
1.94	13.4242	9.03911	0.00915959	0.0186155
1.95	13.4038	9.06117	0.00912792	0.0186609
1.96	13.3834	9.08316	0.009096	0.0187062
1.97	13.3631	9.10506	0.00906384	0.0187513
1.98	13.3429	9.1269	0.00903143	0.0187963
1.99	13.3228	9.14865	0.00899877	0.0188411
2	13.3027	9.17032	0.00896587	0.0188857
2.01	13.2827	9.19192	0.00893272	0.0189302
2.02	13.2628	9.21343	0.00889933	0.0189745
2.03	13.243	9.23487	0.0088657	0.0190187
2.04	13.2232	9.25622	0.00883182	0.0190626
2.05	13.2035	9.27749	0.00879771	0.0191064
2.06	13.1839	9.29868	0.00876335	0.0191501
2.07	13.1643	9.31979	0.00872875	0.0191935
2.08	13.1449	9.34081	0.00869392	0.0192368
2.09	13.1255	9.36175	0.00865885	0.01928
2.1	13.1062	9.38261	0.00862354	0.0193229
2.11	13.087	9.40338	0.00858799	0.0193657
2.12	13.0678	9.42406	0.00855221	0.0194083
2.13	13.0487	9.44466	0.0085162	0.0194507
2.14	13.0298	9.46518	0.00847995	0.019493
2.15	13.0108	9.4856	0.00844347	0.019535
2.16	12.992	9.50594	0.00840676	0.0195769
2.17	12.9733	9.52618	0.00836982	0.0196186
2.18	12.9546	9.54634	0.00833264	0.0196601
2.19	12.936	9.56641	0.00829524	0.0197015
2.2	12.9175	9.58639	0.00825762	0.0197426
2.21	12.8991	9.60628	0.00821976	0.0197836
2.22	12.8808	9.62608	0.00818168	0.0198243
2.23	12.8626	9.64579	0.00814337	0.0198649
2.24	12.8444	9.6654	0.00810484	0.0199053
2.25	12.8263	9.68492	0.00806609	0.0199455
2.26	12.8083	9.70435	0.00802712	0.0199855
2.27	12.7904	9.72368	0.00798792	0.0200253
2.28	12.7726	9.74292	0.00794851	0.020065
2.29	12.7549	9.76207	0.00790887	0.0201044
2.3	12.7373	9.78112	0.00786902	0.0201436
2.31	12.7197	9.80007	0.00782895	0.0201827
2.32	12.7023	9.81893	0.00778867	0.0202215
2.33	12.6849	9.83769	0.00774817	0.0202601
2.34	12.6676	9.85635	0.00770746	0.0202986
2.35	12.6504	9.87491	0.00766653	0.0203368
2.36	12.6334	9.89338	0.0076254	0.0203748
2.37	12.6163	9.91174	0.00758405	0.0204126
2.38	12.5994	9.93001	0.00754249	0.0204503
2.39	12.5826	9.94818	0.00750073	0.0204877
2.4	12.5659	9.96624	0.00745875	0.0205249
2.41	12.5493	9.98421	0.00741658	0.0205619
2.42	12.5327	10.0021	0.00737419	0.0205987
2.43	12.5163	10.0198	0.0073316	0.0206352
2.44	12.4999	10.0375	0.00728881	0.0206716
2.45	12.4837	10.055	0.00724582	0.0207078
2.46	12.4675	10.0725	0.00720263	0.0207437
2.47	12.4515	10.0898	0.00715924	0.0207794
2.48	12.4355	10.1071	0.00711565	0.0208149
2.49	12.4196	10.1242	0.00707186	0.0208502
2.5	12.4039	10.1413	0.00702787	0.0208853
2.51	12.3882	10.1582	0.0069837	0.0209202
2.52	12.3726	10.175	0.00693932	0.0209548
2.53	12.3572	10.1917	0.00689476	0.0209892
2.54	12.3418	10.2083	0.00685	0.0210234
2.55	12.3265	10.2248	0.00680505	0.0210574
2.56	12.3113	10.2412	0.00675992	0.0210912
2.57	12.2963	10.2575	0.00671459	0.0211247
2.58	12.2813	10.2737	0.00666908	0.021158
2.59	12.2664	10.2897	0.00662339	0.0211911
2.6	12.2517	10.3057	0.00657751	0.021224
2.61	12.237	10.3215	0.00653144	0.0212566
2.62	12.2224	10.3373	0.0064852	0.021289
2.63	12.208	10.3529	0.00643877	0.0213211
2.64	12.1936	10.3684	0.00639217	0.0213531
2.65	12.1794	10.3838	0.00634538	0.0213848
2.66	12.1652	10.3991	0.00629842	0.0214163
2.67	12.1512	10.4142	0.00625129	0.0214475
2.68	12.1372	10.4293	0.00620398	0.0214785
2.69	12.1234	10.4442	0.00615649	0.0215093
2.7	12.1097	10.4591	0.00610884	0.0215398
2.71	12.096	10.4738	0.00606101	0.0215701
2.72	12.0825	10.4884	0.00601301	0.0216002
2.73	12.0691	10.5029	0.00596485	0.02163
2.74	12.0558	10.5172	0.00591652	0.0216596
2.75	12.0426	10.5315	0.00586802	0.021689
2.76	12.0295	10.5456	0.00581936	0.0217181
2.77	12.0166	10.5596	0.00577053	0.0217469
2.78	12.0037	10.5735	0.00572155	0.0217756
2.79	11.991	10.5873	0.0056724	0.0218039
2.8	11.9783	10.601	0.00562309	0.0218321
2.81	11.9658	10.6145	0.00557363	0.02186
2.82	11.9533	10.6279	0.00552401	0.0218876
2.83	11.941	10.6412	0.00547423	0.021915
2.84	11.9288	10.6544	0.0054243	0.0219422
2.85	11.9167	10.6675	0.00537421	0.0219691
2.86	11.9047	10.6804	0.00532398	0.0219957
2.87	11.8929	10.6933	0.00527359	0.0220221
2.88	11.8811	10.706	0.00522306	0.0220483
2.89	11.8695	10.7185	0.00517237	0.0220742
2.9	11.8579	10.731	0.00512154	0.0220999
2.91	11.8465	10.7433	0.00507057	0.0221253
2.92	11.8352	10.7556	0.00501945	0.0221504
2.93	11.824	10.7676	0.00496819	0.0221753
2.94	11.8129	10.7796	0.00491679	0.0222
2.95	11.802	10.7915	0.00486525	0.0222243
2.96	11.7911	10.8032	0.00481357	0.0222485
2.97	11.7804	10.8148	0.00476176	0.0222724
2.98	11.7698	10.8262	0.0047098	0.022296
2.99	11.7593	10.8376	0.00465772	0.0223193
3	11.7489	10.8488	0.0046055	0.0223424
3.01	11.7386	10.8599	0.00455315	0.0223653
3.02	11.7285	10.8709	0.00450066	0.0223879
3.03	11.7184	10.8817	0.00444805	0.0224102
3.04	11.7085	10.8924	0.00439531	0.0224323
3.05	11.6987	10.903	0.00434245	0.0224541
3.06	11.689	10.9135	0.00428946	0.0224756
3.07	11.6795	10.9238	0.00423634	0.0224969
3.08	11.67	10.934	0.00418311	0.0225179
3.09	11.6607	10.9441	0.00412975	0.0225386
3.1	11.6515	10.954	0.00407627	0.0225591
3.11	11.6424	10.9638	0.00402267	0.0225793
3.12	11.6334	10.9735	0.00396896	0.0225993
3.13	11.6246	10.9831	0.00391513	0.022619
3.14	11.6158	10.9925	0.00386119	0.0226384
3.15	11.6072	11.0018	0.00380713	0.0226576
3.16	11.5987	11.011	0.00375296	0.0226764
3.17	11.5904	11.02	0.00369868	0.0226951
3.18	11.5821	11.0289	0.00364429	0.0227134
3.19	11.574	11.0377	0.00358979	0.0227315
3.2	11.566	11.0463	0.00353518	0.0227493
3.21	11.5581	11.0549	0.00348047	0.0227668
3.22	11.5504	11.0632	0.00342566	0.0227841
3.23	11.5427	11.0715	0.00337074	0.0228011
3.24	11.5352	11.0796	0.00331572	0.0228178
3.25	11.5278	11.0876	0.0032606	0.0228343
3.26	11.5205	11.0955	0.00320537	0.0228504
3.27	11.5134	11.1032	0.00315006	0.0228663
3.28	11.5064	11.1108	0.00309464	0.022882
3.29	11.4995	11.1182	0.00303913	0.0228973
3.3	11.4927	11.1255	0.00298352	0.0229124
3.31	11.486	11.1327	0.00292782	0.0229272
3.32	11.4795	11.1398	0.00287202	0.0229417
3.33	11.4731	11.1467	0.00281614	0.0229559
3.34	11.4668	11.1535	0.00276016	0.0229699
3.35	11.4607	11.1601	0.0027041	0.0229836
3.36	11.4546	11.1666	0.00264794	0.022997
