LeakagePort 1	Current turn 0.5	Pressure storage 18.9856	Pressure reaction 0.62439	Used volumes:E, B, F
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	18.9793	0.618972	0.00578508	14.711
2.3e-06	18.1836	0.966407	0.00554254	14.711
0.517252	17.8589	1.32269	0.00544304	14.711
1.03408	17.0462	2.19256	0.00519535	14.7124
1.53678	16.3819	2.93588	0.00499289	14.7138
2.0364	16.0078	3.34357	0.00487886	14.715
2.61278	15.3192	4.11768	0.00466899	14.7162
3.03731	15.075	4.38319	0.00459458	14.7175
3.58375	14.4517	5.08262	0.0044046	14.7185
4.04147	14.1577	5.41772	0.004315	14.7197
4.65592	13.6125	6.01786	0.00414882	14.7207
5.03064	13.4054	6.25461	0.00408571	14.722
5.63374	12.9807	6.72191	0.00395627	14.7227
6.04505	12.7123	7.03362	0.00214911	14.7239
6.60994	12.3403	7.4397	0.00206261	14.7243
7.04573	12.2019	7.60543	0.0020231	14.7249
7.61624	11.8492	8.00308	0.00190577	14.7254
8.07088	11.7282	8.14223	0.00185848	14.7259
8.59998	11.4146	8.49317	0.00171851	14.7263
9.08631	11.3467	8.56624	0.00168479	14.7268
9.6022	11.1134	8.82696	0.00155417	14.7272
10.1179	11.0131	8.94586	0.00148892	14.7276
10.6513	10.8424	9.14061	0.00136752	14.7279
11.1204	10.7768	9.20908	0.00131815	14.7283
11.6276	10.6394	9.36691	0.00119901	14.7286
12.1394	10.5899	9.40639	0.00115925	14.7289
12.654	10.4822	9.54172	0.00104171	14.7292
13.183	10.4588	9.56482	0.00101695	14.7295
13.6838	10.3637	9.6691	0.000901896	14.7297
14.1721	10.3368	9.69743	0.000866849	14.73
14.6942	10.2903	9.75201	0.000797879	14.7302
15.1925	10.2438	9.80822	0.000720004	14.7304
15.7058	10.2271	9.82512	0.000692302	14.7306
16.258	10.192	9.86198	0.000628651	14.7307
16.7193	10.1773	9.88099	0.000596298	14.7309
17.2582	10.151	9.90463	0.000544417	14.731
17.7324	10.1429	9.91772	0.0005209	14.7312
18.2487	10.1204	9.93723	0.000470302	14.7313
18.762	10.1162	9.94429	0.00045582	14.7314
19.3091	10.1007	9.95873	0.000414575	14.7315
19.7886	10.0974	9.96693	0.000397586	14.7317
20.3067	10.0862	9.97455	0.000367976	14.7318
20.8084	10.0962	9.98169	0.000372727	14.7319
21.3243	10.0816	9.9825	0.000346731	14.7319
21.8082	10.081	9.99812	0.000317496	14.732
22.3089	10.0744	9.99659	0.000307519	14.7321
22.8066	10.0783	10.0033	0.000302016	14.7322
23.3106	10.0631	9.99714	0.000283189	14.7323
23.8216	10.0687	10.0076	0.000272639	14.7323
24.3229	10.0636	10.0093	0.000257025	14.7324
24.827	10.0621	10.0121	0.000246586	14.7325
