LeakagePort 1	Current turn 0.5	Pressure storage 18.9856	Pressure reaction 0.62439	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	18.9856	0.62439	0.00578652	0.000647751
0.01	18.9856	0.314568	0.00578652	0.000647751
0.02	18.9727	0.328507	0.00578258	0.000676454
0.03	18.9598	0.342436	0.00577864	0.000705137
0.04	18.9469	0.356356	0.00577471	0.000733801
0.05	18.934	0.370267	0.00577077	0.000762445
0.06	18.9211	0.384168	0.00576684	0.00079107
0.07	18.9082	0.39806	0.00576292	0.000819676
0.08	18.8953	0.411942	0.00575899	0.000848261
0.09	18.8825	0.425815	0.00575507	0.000876828
0.1	18.8696	0.439678	0.00575115	0.000905375
0.11	18.8567	0.453532	0.00574724	0.000933902
0.12	18.8439	0.467376	0.00574333	0.000962411
0.13	18.8311	0.481211	0.00573942	0.000990899
0.14	18.8183	0.495037	0.00573551	0.00101937
0.15	18.8054	0.508853	0.0057316	0.00104782
0.16	18.7926	0.52266	0.0057277	0.00107625
0.17	18.7798	0.536457	0.0057238	0.00110466
0.18	18.7671	0.550245	0.0057199	0.00113305
0.19	18.7543	0.564024	0.00571601	0.00116142
0.2	18.7415	0.577793	0.00571212	0.00118978
0.21	18.7288	0.591553	0.00570823	0.00121811
0.22	18.716	0.605303	0.00570434	0.00124643
0.23	18.7033	0.619044	0.00570046	0.00127472
0.24	18.6905	0.632776	0.00569658	0.001303
0.25	18.6778	0.646498	0.0056927	0.00133125
0.26	18.6651	0.660211	0.00568882	0.00135949
0.27	18.6524	0.673915	0.00568495	0.00138771
0.28	18.6397	0.68761	0.00568108	0.00141591
0.29	18.627	0.701295	0.00567721	0.00144409
0.3	18.6143	0.71497	0.00567335	0.00147225
0.31	18.6016	0.728637	0.00566948	0.00150039
0.32	18.589	0.742294	0.00566562	0.00152851
0.33	18.5763	0.755942	0.00566177	0.00155662
0.34	18.5637	0.76958	0.00565791	0.0015847
0.35	18.551	0.783209	0.00565406	0.00161277
0.36	18.5384	0.796829	0.00565021	0.00164081
0.37	18.5258	0.81044	0.00564636	0.00166884
0.38	18.5132	0.824042	0.00564252	0.00169685
0.39	18.5005	0.837634	0.00563868	0.00172484
0.4	18.488	0.851217	0.00563484	0.00175281
0.41	18.4754	0.86479	0.005631	0.00178076
0.42	18.4628	0.878355	0.00562717	0.00180869
0.43	18.4502	0.89191	0.00562334	0.0018366
0.44	18.4377	0.905456	0.00561951	0.00186449
0.45	18.4251	0.918993	0.00561568	0.00189237
0.46	18.4126	0.93252	0.00561186	0.00192022
0.47	18.4	0.946038	0.00560804	0.00194806
0.48	18.3875	0.959548	0.00560422	0.00197588
0.49	18.375	0.973047	0.0056004	0.00200368
0.5	18.3625	0.986538	0.00559659	0.00203146
0.51	18.35	1.00002	0.00559278	0.00205922
0.52	18.3375	1.01349	0.00558897	0.00208696
0.53	18.325	1.02696	0.00558517	0.00211468
0.54	18.3125	1.04041	0.00558136	0.00214239
0.55	18.3	1.05385	0.00557756	0.00217007
0.56	18.2876	1.06729	0.00557377	0.00219774
0.57	18.2751	1.08072	0.00556997	0.00222539
0.58	18.2627	1.09413	0.00556618	0.00225302
0.59	18.2502	1.10754	0.00556239	0.00228063
0.6	18.2378	1.12094	0.0055586	0.00230822
