time,value
1,0.625655
2,0.625641
3,0.625489
4,0.625254
5,0.625107
6,0.625046
7,0.624651
8,0.623787
9,0.623716
10,0.623618
11,0.623857
12,0.623478
13,0.623077
14,0.622347
15,0.622324
16,0.622832
17,0.623583
18,0.623487
19,0.624704
20,0.624509
21,0.624093
22,0.624687
23,0.62519
24,0.624932
25,0.62504
26,0.624785
27,0.6247
28,0.625174
29,0.622992
30,0.622765
31,0.622206
32,0.621795
33,0.62231
34,0.623069
35,0.622646
36,0.62234
37,0.62229
38,0.622045
39,0.621943
40,0.622623
41,0.622736
42,0.622875
43,0.622929
44,0.623149
45,0.623561
46,0.624051
47,0.624172
48,0.624012
49,0.624217
50,0.624029
51,0.624373
52,0.620696
53,0.620697
54,0.61947
55,0.619766
56,0.620059
57,0.620459
58,0.619905
59,0.619721
60,0.619289
61,0.619198
62,0.620949
63,0.621978
64,0.621681
65,0.620859
66,0.620634
67,0.621361
68,0.621129
69,0.620956
70,0.620116
71,0.620711
72,0.619512
73,0.619361
74,0.618823
75,0.619742
76,0.620063
77,0.61971
78,0.619919
79,0.615747
80,0.615901
81,0.615271
82,0.616519
83,0.617053
84,0.616184
85,0.616555
86,0.612401
87,0.612212
88,0.612275
89,0.612366
90,0.612289
91,0.611933
92,0.612112
93,0.611313
94,0.611752
95,0.612129
96,0.612529
97,0.612728
98,0.613091
99,0.613282
100,0.613359
101,0.613379
102,0.613064
103,0.613618
104,0.613857
105,0.614121
106,0.614381
107,0.614498
108,0.61453
109,0.614561
110,0.614676
111,0.614622
112,0.614959
113,0.614789
114,0.6149
115,0.615177
116,0.615478
117,0.615468
118,0.615487
119,0.615086
120,0.61497
121,0.614716
122,0.614912
123,0.615134
124,0.615435
125,0.615566
126,0.615805
127,0.615847
128,0.616724
129,0.616725
130,0.616921
131,0.616835
132,0.616555
133,0.616864
134,0.617058
135,0.617835
136,0.617792
137,0.618447
138,0.6182
139,0.618208
140,0.618215
141,0.618223
142,0.617644
143,0.617632
144,0.617592
145,0.617497
146,0.617765
147,0.617918
148,0.618181
149,0.618133
150,0.618253
151,0.618316
152,0.618155
153,0.618191
