LeakagePort 0	Current turn 0.5	Pressure storage 30.7089	Pressure reaction 0.0318772
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	30.7025	0.0318518	0.0192774	0.757569
1.9e-06	30.7116	0.0319677	0.0192831	0.757569
0.578847	28.684	5.44296	0.01801	0.757569
1.01268	24.4383	14.3026	0.0152279	0.76274
1.58355	22.7358	17.8883	0.0119412	0.766017
2.02409	21.3067	20.748	0.00440033	0.769398
2.53788	21.1459	20.9473	0.00263723	0.77036
3.03416	21.0475	20.9406	0.00193504	0.771032
3.55261	21.0273	20.9336	0.00181146	0.771508
4.03697	21.0031	20.9222	0.00168264	0.771974
4.53852	20.9955	20.9125	0.00170357	0.772378
5.03544	20.9866	20.9104	0.00163245	0.772802
5.60497	20.9861	20.9128	0.00160031	0.773205
6.02538	20.9846	20.9082	0.00163462	0.773657
6.57346	20.981	20.9109	0.00156644	0.773998
7.0276	20.9793	20.9068	0.00159206	0.774423
