time,value
1,0.0368501
2,0.0377414
3,0.0347151
4,0.034939
5,0.0339883
6,0.0331904
7,0.0330453
8,0.0334042
9,0.034316
10,0.0347129
11,0.0347416
12,0.0344631
13,0.0338259
14,0.0329466
15,0.0334185
16,0.034079
17,0.0344513
18,0.0350416
19,0.0343683
20,0.033844
21,0.0331876
22,0.0346045
23,0.0346068
24,0.0346649
25,0.0344991
26,0.0343634
27,0.0338113
28,0.0333227
29,0.0329525
30,0.0332291
31,0.0328045
32,0.0290387
33,0.0302349
34,0.030438
35,0.0303315
36,0.0295013
37,0.0281528
38,0.0295567
39,0.0304667
40,0.0311686
41,0.0314424
42,0.031517
43,0.0308654
44,0.0303624
45,0.0302848
46,0.0302084
47,0.0302166
48,0.0283839
49,0.0296451
50,0.0298286
51,0.0299538
52,0.0301888
53,0.029528
54,0.0303547
55,0.0310582
56,0.0319751
57,0.0322096
58,0.0319666
59,0.0313645
60,0.0310218
61,0.0306561
62,0.0304349
63,0.0305237
64,0.0309459
65,0.0311112
66,0.0316926
67,0.0325726
68,0.0327429
69,0.0329388
70,0.032825
71,0.0327966
72,0.0328522
73,0.0336322
74,0.0342061
75,0.0342698
76,0.0332169
77,0.0330435
78,0.0321194
79,0.0314314
80,0.0342676
81,0.0343305
82,0.0348108
83,0.0311005
84,0.0314868
85,0.0311145
86,0.0333136
87,0.0326089
88,0.0323603
89,0.0341793
90,0.0346618
91,0.0356674
92,0.0354038
93,0.0348929
94,0.0341102
95,0.0346773
96,0.0313315
97,0.0312682
98,0.0305085
99,0.031433
100,0.0315636
101,0.032027
102,0.0316751
103,0.0309096
104,0.030657
105,0.0311611
106,0.0266653
107,0.0268349
108,0.0259422
109,0.0277676
110,0.0287028
111,0.0292064
112,0.0287824
113,0.029787
114,0.0297733
115,0.0301782
116,0.0302427
117,0.0299716
118,0.0301226
119,0.03016
120,0.0296669
121,0.0302407
122,0.0299696
123,0.0297302
124,0.029801
125,0.0299544
126,0.0301615
127,0.0299194
128,0.0298481
129,0.0302519
130,0.0307617
131,0.0310969
132,0.0311485
133,0.0322314
134,0.0320997
135,0.0320814
136,0.0318961
137,0.0317412
138,0.0318395
139,0.0314902
140,0.0315084
141,0.0314705
142,0.0316563
143,0.031979
144,0.0317951
145,0.0321158
146,0.0320694
147,0.0322468
148,0.0317802
149,0.0317385
150,0.0318369
151,0.0320175
152,0.0314983
153,0.0322974
154,0.0324716
155,0.0328386
156,0.0324194
157,0.0323967
158,0.032179
159,0.0321596
160,0.0323915
161,0.0323692
162,0.0325981
163,0.0335491
164,0.0333431
165,0.0334469
166,0.0331865
167,0.0330414
168,0.0330657
169,0.0331454
170,0.032722
171,0.0326671
172,0.0327803
173,0.032613
174,0.0321412
175,0.0322897
176,0.0318225
177,0.0319755
178,0.03168
179,0.0314445
180,0.0311565
181,0.0313188
182,0.0315347
183,0.0314964
184,0.0313751
185,0.0313112
186,0.0320013
187,0.0316218
188,0.0320286
189,0.0316488
190,0.0313858
191,0.0312939
192,0.0311474
193,0.0311704
194,0.0313883
195,0.0314916
196,0.0311193
197,0.0307522
198,0.0308365
199,0.0306128
200,0.0305875
201,0.0302558
202,0.0301239
203,0.0297708
204,0.0300084
205,0.0301311
206,0.0303357
207,0.0305374
208,0.0307363
209,0.0307372
210,0.0315749
211,0.0312571
212,0.0318922
213,0.0310122
214,0.0311208
215,0.0325109
216,0.0326821
217,0.033325
218,0.0332338
219,0.0327254
220,0.032531
221,0.0327577
222,0.0302477
223,0.0311759
224,0.0313101
225,0.032586
226,0.0319472
227,0.0309548
228,0.0312595
229,0.0319503
230,0.0327151
231,0.0320467
232,0.0315271
233,0.0304011
234,0.0300441
235,0.0305289
236,0.0311742
237,0.0319499
238,0.0319059
239,0.0313046
240,0.0302096
241,0.0306363
242,0.0313917
243,0.0323317
244,0.0321149
245,0.0319012
246,0.0305747
247,0.0299085
248,0.0324313
249,0.0328826
250,0.0342479
251,0.0330559
252,0.0326895
253,0.0319098
254,0.0331215
255,0.0327541
256,0.0333403
257,0.0333046
258,0.0334368
259,0.0332882
260,0.0333927
261,0.0328263
262,0.0320168
263,0.0318045
264,0.0308141
265,0.0316785
266,0.0310246
267,0.0306589
268,0.0300472
269,0.0295835
270,0.0311068
271,0.0318277
272,0.032399
273,0.0320976
274,0.0324977
275,0.0316929
276,0.0318477
277,0.031805
278,0.0316236
279,0.0319746
280,0.0314839
281,0.0318926
282,0.0321283
283,0.0319702
284,0.031619
285,0.031468
286,0.032128
287,0.0331414
288,0.0335827
289,0.033432
290,0.0331719
291,0.0320229
292,0.0317267
293,0.0324668
294,0.032276
295,0.0332036
296,0.0321378
297,0.0320911
298,0.0317661
299,0.032143
300,0.0317058
301,0.0308005
302,0.0316372
303,0.0324064
304,0.0329696
305,0.032437
306,0.0324419
307,0.0319726
308,0.0316493
309,0.0315815
310,0.0315705
311,0.0315318
312,0.0318283
313,0.0326506
314,0.0326246
315,0.0323758
316,0.0331068
317,0.0336601
318,0.0345125
319,0.0350182
320,0.0353495
321,0.0352298
322,0.0356975
323,0.0357961
324,0.035698
325,0.0352945
326,0.0344224
327,0.0346505
328,0.0350985
329,0.0357354
330,0.0358334
331,0.0331687
332,0.0327728
333,0.0313225
334,0.0322635
335,0.0321035
336,0.0320852
337,0.0329318
338,0.0335434
339,0.0335606
340,0.0330197
341,0.0319286
342,0.0316338
343,0.0310642
344,0.0276855
345,0.0281197
346,0.0279342
347,0.0285322
348,0.0282015
349,0.0295489
350,0.0290644
351,0.0280567
352,0.0272584
353,0.0278102
354,0.0253976
355,0.025585
356,0.0250725
357,0.0262407
358,0.0271136
359,0.0278905
360,0.0277919
361,0.02683
362,0.0272204
363,0.0279122
364,0.0241314
365,0.0241414
366,0.0242069
367,0.0237974
368,0.0237284
369,0.0239671
370,0.0238957
371,0.0248852
372,0.0245499
373,0.024805
374,0.0249728
375,0.0249988
376,0.024885
377,0.0246891
378,0.0249144
379,0.0253596
380,0.0249339
381,0.0261041
382,0.0259748
383,0.026182
384,0.0264699
385,0.0264749
386,0.0267309
387,0.0270111
388,0.0269528
389,0.0270625
390,0.0271708
391,0.0271381
392,0.0273289
393,0.0272103
394,0.0273722
395,0.0277551
396,0.0279373
397,0.0282843
398,0.028459
399,0.0290218
400,0.0290189
401,0.0285697
402,0.0285173
403,0.0289399
404,0.0291891
405,0.0291001
406,0.0292077
407,0.0285048
408,0.0285649
409,0.0285684
410,0.0283207
411,0.0282161
412,0.028336
413,0.028259
414,0.0286573
415,0.0287431
416,0.0287441
417,0.0283546
418,0.0281936
419,0.0281744
420,0.0287412
421,0.028547
422,0.0281602
423,0.0280857
424,0.0292116
425,0.0295128
426,0.0298377
427,0.0294328
428,0.0295356
429,0.0296092
430,0.0296537
431,0.0297256
432,0.0297965
433,0.0298384
434,0.0292104
435,0.0293721
436,0.0296432
437,0.0301615
438,0.0306725
439,0.0310369
440,0.0308383
441,0.0308098
442,0.0310049
