LeakagePort 1	Current turn 0.5	Pressure storage 11.6818	Pressure reaction 1.63873
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	11.6818	1.63873	0.00219696	0.00170577
0.01	11.6818	1.63873	0.00219696	0.00170577
0.02	11.6769	1.6492	0.00219605	0.00171667
0.03	11.6721	1.65966	0.00219513	0.00172756
0.04	11.6672	1.67012	0.00219421	0.00173845
0.05	11.6623	1.68058	0.0021933	0.00174934
0.06	11.6575	1.69103	0.00219238	0.00176022
0.07	11.6526	1.70148	0.00219147	0.00177109
0.08	11.6478	1.71192	0.00219055	0.00178196
0.09	11.6429	1.72236	0.00218964	0.00179283
0.1	11.638	1.73279	0.00218873	0.00180369
0.11	11.6332	1.74322	0.00218781	0.00181455
0.12	11.6283	1.75365	0.0021869	0.0018254
0.13	11.6235	1.76407	0.00218599	0.00183625
0.14	11.6186	1.77449	0.00218508	0.00184709
0.15	11.6138	1.7849	0.00218416	0.00185793
0.16	11.6089	1.79531	0.00218325	0.00186876
0.17	11.6041	1.80571	0.00218234	0.00187959
0.18	11.5992	1.81611	0.00218143	0.00189042
0.19	11.5944	1.82651	0.00218052	0.00190124
0.2	11.5896	1.8369	0.00217961	0.00191205
0.21	11.5847	1.84728	0.0021787	0.00192286
0.22	11.5799	1.85767	0.00217779	0.00193367
0.23	11.5751	1.86804	0.00217689	0.00194447
0.24	11.5702	1.87842	0.00217598	0.00195527
0.25	11.5654	1.88879	0.00217507	0.00196607
0.26	11.5606	1.89915	0.00217416	0.00197686
0.27	11.5558	1.90951	0.00217325	0.00198764
0.28	11.5509	1.91987	0.00217235	0.00199842
0.29	11.5461	1.93022	0.00217144	0.0020092
0.3	11.5413	1.94057	0.00217054	0.00201997
0.31	11.5365	1.95091	0.00216963	0.00203073
0.32	11.5317	1.96125	0.00216872	0.00204149
0.33	11.5269	1.97159	0.00216782	0.00205225
0.34	11.5221	1.98192	0.00216692	0.00206301
0.35	11.5173	1.99224	0.00216601	0.00207375
0.36	11.5124	2.00256	0.00216511	0.0020845
0.37	11.5076	2.01288	0.0021642	0.00209524
0.38	11.5028	2.02319	0.0021633	0.00210597
0.39	11.498	2.0335	0.0021624	0.0021167
0.4	11.4932	2.04381	0.0021615	0.00212743
0.41	11.4885	2.05411	0.0021606	0.00213815
0.42	11.4837	2.0644	0.00215969	0.00214887
0.43	11.4789	2.0747	0.00215879	0.00215958
0.44	11.4741	2.08498	0.00215789	0.00217029
0.45	11.4693	2.09527	0.00215699	0.00218099
0.46	11.4645	2.10555	0.00215609	0.00219169
0.47	11.4597	2.11582	0.00215519	0.00220239
0.48	11.4549	2.12609	0.00215429	0.00221308
0.49	11.4502	2.13636	0.00215339	0.00222376
