LeakagePort 1	Current turn 0.5	Pressure storage 13.5116	Pressure reaction 1.47344	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	13.5173	1.47045	0.00352187	34.7082
3.8e-06	13.513	1.46938	0.00352075	34.7082
0.496813	12.7812	2.40127	0.00333009	34.7082
1.00765	12.5847	2.84573	0.0032792	34.709
1.51981	12.105	3.99815	0.0031542	34.7098
2.02133	11.8774	4.53979	0.00309459	34.7106
2.51877	11.4984	5.42667	0.00299616	34.7114
3.03382	11.3164	5.87946	0.00294872	34.7121
3.59297	11.0113	6.61334	0.00157472	34.7129
4.04707	10.8469	7.02129	0.00151897	34.7133
4.6713	10.6024	7.59848	0.00140669	34.7136
5.05991	10.5079	7.8172	0.00135259	34.7141
5.58256	10.316	8.28626	0.00121338	34.7143
6.09197	10.2287	8.48941	0.00113838	34.7147
6.65467	10.1066	8.77238	0.00101525	34.7149
7.1051	10.0559	8.91185	0.000948266	34.7152
7.63663	9.97127	9.09452	0.000839478	34.7154
8.11896	9.93497	9.19762	0.000774615	34.7157
8.62279	9.87494	9.3331	0.000669303	34.7158
9.13403	9.86075	9.38319	0.000630186	34.716
9.635	9.81715	9.46511	0.000543659	34.7162
10.1489	9.80856	9.49867	0.000511055	34.7163
10.6782	9.78333	9.5539	0.000441137	34.7164
11.1882	9.78003	9.56983	0.000422621	34.7166
11.689	9.7592	9.6038	0.000364083	34.7167
12.2428	9.76314	9.60714	0.000364853	34.7168
12.7169	9.74749	9.63465	0.000310795	34.7169
13.2614	9.74517	9.64333	0.000295401	34.7169
