LeakagePort 1	Current turn 0.5	Pressure storage 13.5116	Pressure reaction 1.47344	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	13.5116	1.47344	0.00352038	0.00152826
0.01	13.5116	1.47344	0.00352038	0.00152826
0.02	13.5037	1.49028	0.00351832	0.00154572
0.03	13.4958	1.50711	0.00351627	0.00156317
0.04	13.4879	1.52392	0.00351422	0.00158061
0.05	13.4801	1.54073	0.00351217	0.00159804
0.06	13.4722	1.55752	0.00351012	0.00161547
0.07	13.4643	1.57431	0.00350807	0.00163288
0.08	13.4565	1.59109	0.00350602	0.00165028
0.09	13.4486	1.60786	0.00350397	0.00166767
0.1	13.4408	1.62461	0.00350193	0.00168505
0.11	13.4329	1.64136	0.00349989	0.00170242
0.12	13.4251	1.6581	0.00349784	0.00171978
0.13	13.4173	1.67483	0.0034958	0.00173713
0.14	13.4094	1.69155	0.00349376	0.00175447
0.15	13.4016	1.70825	0.00349172	0.0017718
0.16	13.3938	1.72495	0.00348969	0.00178912
0.17	13.386	1.74164	0.00348765	0.00180643
0.18	13.3782	1.75832	0.00348561	0.00182373
0.19	13.3703	1.77499	0.00348358	0.00184102
0.2	13.3625	1.79165	0.00348155	0.0018583
0.21	13.3547	1.8083	0.00347952	0.00187557
0.22	13.347	1.82494	0.00347748	0.00189283
0.23	13.3392	1.84157	0.00347546	0.00191008
0.24	13.3314	1.85819	0.00347343	0.00192732
0.25	13.3236	1.8748	0.0034714	0.00194455
0.26	13.3158	1.89141	0.00346937	0.00196177
0.27	13.3081	1.908	0.00346735	0.00197898
0.28	13.3003	1.92458	0.00346533	0.00199618
0.29	13.2925	1.94115	0.0034633	0.00201337
0.3	13.2848	1.95772	0.00346128	0.00203054
0.31	13.277	1.97427	0.00345926	0.00204771
0.32	13.2693	1.99081	0.00345724	0.00206487
0.33	13.2615	2.00735	0.00345523	0.00208202
0.34	13.2538	2.02387	0.00345321	0.00209916
0.35	13.2461	2.04039	0.0034512	0.00211629
0.36	13.2383	2.05689	0.00344918	0.00213341
0.37	13.2306	2.07339	0.00344717	0.00215052
0.38	13.2229	2.08987	0.00344516	0.00216762
0.39	13.2152	2.10635	0.00344315	0.00218471
0.4	13.2074	2.12281	0.00344114	0.00220178
0.41	13.1997	2.13927	0.00343913	0.00221885
0.42	13.192	2.15572	0.00343712	0.00223591
0.43	13.1843	2.17216	0.00343512	0.00225296
0.44	13.1766	2.18858	0.00343311	0.00227
0.45	13.169	2.205	0.00343111	0.00228703
0.46	13.1613	2.22141	0.00342911	0.00230405
0.47	13.1536	2.23781	0.00342711	0.00232106
0.48	13.1459	2.2542	0.00342511	0.00233806
0.49	13.1382	2.27058	0.00342311	0.00235505
0.5	13.1306	2.28695	0.00342111	0.00237203
0.51	13.1229	2.30331	0.00341911	0.002389
0.52	13.1153	2.31967	0.00341712	0.00240596
0.53	13.1076	2.33601	0.00341512	0.00242291
0.54	13.1	2.35234	0.00341313	0.00243985
0.55	13.0923	2.36866	0.00341114	0.00245678
0.56	13.0847	2.38498	0.00340915	0.0024737
0.57	13.077	2.40128	0.00340716	0.00249061
0.58	13.0694	2.41757	0.00340517	0.00250751
0.59	13.0618	2.43386	0.00340318	0.0025244
0.6	13.0542	2.45014	0.0034012	0.00254128
0.61	13.0465	2.4664	0.00339921	0.00255815
0.62	13.0389	2.48266	0.00339723	0.00257501
0.63	13.0313	2.4989	0.00339525	0.00259186
0.64	13.0237	2.51514	0.00339326	0.00260871
0.65	13.0161	2.53137	0.00339128	0.00262554
0.66	13.0085	2.54759	0.00338931	0.00264236
0.67	13.0009	2.5638	0.00338733	0.00265917
0.68	12.9933	2.58	0.00338535	0.00267597
0.69	12.9857	2.59619	0.00338338	0.00269277
0.7	12.9782	2.61237	0.0033814	0.00270955
0.71	12.9706	2.62854	0.00337943	0.00272632
0.72	12.963	2.6447	0.00337746	0.00274309
0.73	12.9555	2.66085	0.00337548	0.00275984
0.74	12.9479	2.677	0.00337351	0.00277658
0.75	12.9403	2.69313	0.00337155	0.00279332
0.76	12.9328	2.70925	0.00336958	0.00281004
0.77	12.9252	2.72537	0.00336761	0.00282675
0.78	12.9177	2.74147	0.00336565	0.00284346
0.79	12.9102	2.75757	0.00336368	0.00286015
0.8	12.9026	2.77366	0.00336172	0.00287684
0.81	12.8951	2.78973	0.00335976	0.00289351
0.82	12.8876	2.8058	0.0033578	0.00291018
0.83	12.8801	2.82186	0.00335584	0.00292683
0.84	12.8725	2.83791	0.00335388	0.00294348
0.85	12.865	2.85395	0.00335192	0.00296012
0.86	12.8575	2.86998	0.00334997	0.00297674
0.87	12.85	2.886	0.00334801	0.00299336
0.88	12.8425	2.90201	0.00334606	0.00300997
0.89	12.835	2.91801	0.0033441	0.00302656
0.9	12.8275	2.93401	0.00334215	0.00304315
0.91	12.8201	2.94999	0.0033402	0.00305973
0.92	12.8126	2.96596	0.00333825	0.0030763
0.93	12.8051	2.98193	0.00333631	0.00309286
0.94	12.7976	2.99788	0.00333436	0.00310941
0.95	12.7902	3.01383	0.00333241	0.00312595
0.96	12.7827	3.02977	0.00333047	0.00314248
0.97	12.7752	3.04569	0.00332852	0.003159
0.98	12.7678	3.06161	0.00332658	0.00317551
0.99	12.7603	3.07752	0.00332464	0.00319201
1	12.7529	3.09342	0.0033227	0.0032085
1.01	12.7454	3.10931	0.00332076	0.00322498
1.02	12.738	3.12519	0.00331882	0.00324145
1.03	12.7306	3.14107	0.00331689	0.00325792
1.04	12.7231	3.15693	0.00331495	0.00327437
1.05	12.7157	3.17278	0.00331302	0.00329081
1.06	12.7083	3.18863	0.00331108	0.00330724
1.07	12.7009	3.20446	0.00330915	0.00332367
1.08	12.6935	3.22029	0.00330722	0.00334008
1.09	12.6861	3.2361	0.00330529	0.00335649
1.1	12.6786	3.25191	0.00330336	0.00337288
1.11	12.6713	3.26771	0.00330143	0.00338927
1.12	12.6639	3.2835	0.00329951	0.00340565
1.13	12.6565	3.29928	0.00329758	0.00342201
1.14	12.6491	3.31505	0.00329566	0.00343837
1.15	12.6417	3.33081	0.00329373	0.00345472
1.16	12.6343	3.34656	0.00329181	0.00347105
1.17	12.6269	3.3623	0.00328989	0.00348738
1.18	12.6196	3.37804	0.00328797	0.0035037
1.19	12.6122	3.39376	0.00328605	0.00352001
1.2	12.6049	3.40948	0.00328414	0.00353631
1.21	12.5975	3.42518	0.00328222	0.0035526
1.22	12.5901	3.44088	0.0032803	0.00356888
1.23	12.5828	3.45657	0.00327839	0.00358515
1.24	12.5755	3.47225	0.00327648	0.00360142
1.25	12.5681	3.48792	0.00327456	0.00361767
1.26	12.5608	3.50358	0.00327265	0.00363391
1.27	12.5535	3.51923	0.00327074	0.00365014
1.28	12.5461	3.53487	0.00326883	0.00366637
1.29	12.5388	3.5505	0.00326693	0.00368258
1.3	12.5315	3.56613	0.00326502	0.00369879
1.31	12.5242	3.58174	0.00326311	0.00371498
1.32	12.5169	3.59735	0.00326121	0.00373117
1.33	12.5096	3.61294	0.00325931	0.00374735
1.34	12.5023	3.62853	0.00325741	0.00376351
1.35	12.495	3.64411	0.0032555	0.00377967
1.36	12.4877	3.65968	0.0032536	0.00379582
1.37	12.4804	3.67524	0.00325171	0.00381196
1.38	12.4731	3.69079	0.00324981	0.00382809
1.39	12.4658	3.70633	0.00324791	0.00384421
1.4	12.4586	3.72186	0.00324602	0.00386032
1.41	12.4513	3.73739	0.00324412	0.00387642
1.42	12.444	3.7529	0.00324223	0.00389251
1.43	12.4368	3.76841	0.00324034	0.00390859
1.44	12.4295	3.7839	0.00323845	0.00392467
1.45	12.4222	3.79939	0.00323656	0.00394073
1.46	12.415	3.81487	0.00323467	0.00395679
1.47	12.4077	3.83034	0.00323278	0.00397283
1.48	12.4005	3.8458	0.00323089	0.00398887
1.49	12.3933	3.86125	0.00322901	0.00400489
1.5	12.386	3.87669	0.00322712	0.00402091
1.51	12.3788	3.89213	0.00322524	0.00403692
1.52	12.3716	3.90755	0.00322336	0.00405291
1.53	12.3644	3.92297	0.00322148	0.0040689
1.54	12.3572	3.93837	0.0032196	0.00408488
1.55	12.3499	3.95377	0.00321772	0.00410085
1.56	12.3427	3.96916	0.00321584	0.00411681
1.57	12.3355	3.98454	0.00321396	0.00413277
1.58	12.3283	3.99991	0.00321209	0.00414871
1.59	12.3211	4.01527	0.00321021	0.00416464
1.6	12.3139	4.03062	0.00320834	0.00418056
1.61	12.3068	4.04597	0.00320647	0.00419648
1.62	12.2996	4.0613	0.0032046	0.00421238
1.63	12.2924	4.07663	0.00320273	0.00422828
1.64	12.2852	4.09194	0.00320086	0.00424417
1.65	12.2781	4.10725	0.00319899	0.00426004
1.66	12.2709	4.12255	0.00319712	0.00427591
1.67	12.2637	4.13784	0.00319526	0.00429177
1.68	12.2566	4.15312	0.00319339	0.00430762
1.69	12.2494	4.16839	0.00319153	0.00432346
1.7	12.2423	4.18366	0.00318967	0.00433929
1.71	12.2351	4.19891	0.00318781	0.00435511
1.72	12.228	4.21416	0.00318595	0.00437093
1.73	12.2209	4.22939	0.00318409	0.00438673
1.74	12.2137	4.24462	0.00318223	0.00440252
1.75	12.2066	4.25984	0.00318037	0.00441831
1.76	12.1995	4.27505	0.00317852	0.00443408
1.77	12.1924	4.29025	0.00317666	0.00444985
1.78	12.1852	4.30544	0.00317481	0.00446561
1.79	12.1781	4.32063	0.00317295	0.00448136
1.8	12.171	4.3358	0.0031711	0.00449709
1.81	12.1639	4.35097	0.00316925	0.00451282
1.82	12.1568	4.36612	0.0031674	0.00452854
1.83	12.1497	4.38127	0.00316555	0.00454426
1.84	12.1426	4.39641	0.00316371	0.00455996
1.85	12.1356	4.41154	0.00316186	0.00457565
1.86	12.1285	4.42666	0.00316002	0.00459133
1.87	12.1214	4.44177	0.00315817	0.00460701
