LeakagePort 0	Current turn 0.5	Pressure storage 9.02416	Pressure reaction 0.376109
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	9.01584	0.377717	0.0856574	8.8581
1.5e-06	9.01503	0.377418	0.0856752	8.8581
0.498618	8.13866	1.1648	0.0624805	8.8581
1.01163	7.95546	3.05083	0.0126713	8.8606
1.55765	6.98376	5.11244	0.00901157	8.86295
2.01067	6.81361	5.46679	0.00411391	8.86408
2.52133	6.50865	6.08279	0.00249223	8.8649
3.02424	6.46207	6.16915	0.00214686	8.86545
3.53566	6.38329	6.23828	0.00211505	8.8659
4.04961	6.37619	6.28158	0.0020868	8.86622
4.5434	6.35274	6.28773	0.002118	8.86649
5.05427	6.35096	6.2819	0.00203292	8.8667
5.56621	6.3473	6.28257	0.0117246	8.86692
6.11424	6.33994	6.27574	0.0117234	8.86714
6.56887	6.32942	6.28115	0.0100848	8.86737
7.12327	6.33287	6.28141	0.00925149	8.86754
7.58113	6.32758	6.27248	0.00416293	8.86775
8.09094	6.32686	6.2729	0.00365312	8.86793
8.57442	6.31972	6.2828	0.00216585	8.86813
