LeakagePort 1	Current turn 0.5	Pressure storage 41.496	Pressure reaction 0.0441185
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	41.496	0.0441185	0.0189585	4.58865e-05
0.01	41.496	0.0441185	0.0189585	4.58865e-05
0.02	41.4537	0.134535	0.0189023	0.000139927
0.03	41.4115	0.224684	0.0188463	0.000233688
0.04	41.3694	0.314566	0.0187905	0.000327172
0.05	41.3275	0.404181	0.018735	0.000420379
0.06	41.2857	0.493532	0.0186798	0.000513311
0.07	41.244	0.58262	0.0186247	0.000605968
0.08	41.2025	0.671445	0.0185699	0.000698353
0.09	41.161	0.760008	0.0185154	0.000790465
0.1	41.1197	0.848312	0.018461	0.000882308
0.11	41.0785	0.936356	0.0184069	0.00097388
0.12	41.0374	1.02414	0.0183531	0.00106518
0.13	40.9965	1.11167	0.0182994	0.00115622
0.14	40.9556	1.19895	0.018246	0.00124699
0.15	40.9149	1.28596	0.0181928	0.0013375
0.16	40.8743	1.37273	0.0181398	0.00142774
0.17	40.8339	1.45924	0.0180871	0.00151772
0.18	40.7935	1.5455	0.0180346	0.00160744
0.19	40.7532	1.63151	0.0179823	0.00169689
0.2	40.7131	1.71727	0.0179302	0.00178609
0.21	40.6731	1.80279	0.0178783	0.00187503
0.22	40.6332	1.88805	0.0178267	0.00196371
0.23	40.5934	1.97307	0.0177753	0.00205214
0.24	40.5538	2.05784	0.017724	0.00214031
0.25	40.5142	2.14237	0.017673	0.00222823
0.26	40.4748	2.22666	0.0176222	0.00231589
0.27	40.4355	2.3107	0.0175717	0.0024033
0.28	40.3962	2.39451	0.0175213	0.00249046
0.29	40.3572	2.47807	0.0174711	0.00257738
0.3	40.3182	2.56139	0.0174212	0.00266404
0.31	40.2793	2.64448	0.0173714	0.00275045
0.32	40.2405	2.72732	0.0173219	0.00283662
0.33	40.2019	2.80994	0.0172726	0.00292254
0.34	40.1633	2.89231	0.0172234	0.00300822
0.35	40.1249	2.97445	0.0171745	0.00309365
0.36	40.0866	3.05636	0.0171258	0.00317885
0.37	40.0484	3.13804	0.0170772	0.00326379
0.38	40.0103	3.21948	0.0170289	0.0033485
0.39	39.9723	3.3007	0.0169808	0.00343297
0.4	39.9344	3.38168	0.0169328	0.0035172
0.41	39.8966	3.46244	0.0168851	0.00360119
0.42	39.8589	3.54297	0.0168375	0.00368495
0.43	39.8213	3.62327	0.0167902	0.00376847
0.44	39.7839	3.70334	0.016743	0.00385175
0.45	39.7465	3.78319	0.0166961	0.0039348
0.46	39.7092	3.86282	0.0166493	0.00401762
0.47	39.6721	3.94223	0.0166027	0.00410021
0.48	39.635	4.02141	0.0165563	0.00418256
0.49	39.5981	4.10037	0.0165101	0.00426469
0.5	39.5613	4.17911	0.016464	0.00434658
0.51	39.5245	4.25763	0.0164182	0.00442825
0.52	39.4879	4.33593	0.0163725	0.00450969
0.53	39.4513	4.41401	0.0163271	0.0045909
0.54	39.4149	4.49188	0.0162818	0.00467189
0.55	39.3786	4.56953	0.0162367	0.00475265
0.56	39.3423	4.64697	0.0161917	0.00483319
0.57	39.3062	4.72419	0.016147	0.00491351
0.58	39.2702	4.8012	0.0161024	0.0049936
0.59	39.2343	4.87799	0.016058	0.00507347
0.6	39.1984	4.95457	0.0160138	0.00515313
0.61	39.1627	5.03095	0.0159697	0.00523256
0.62	39.127	5.10711	0.0159259	0.00531178
0.63	39.0915	5.18306	0.0158822	0.00539077
0.64	39.0561	5.25881	0.0158386	0.00546955
0.65	39.0207	5.33435	0.0157953	0.00554812
0.66	38.9855	5.40968	0.0157521	0.00562647
0.67	38.9503	5.4848	0.0157091	0.0057046
0.68	38.9153	5.55972	0.0156663	0.00578253
0.69	38.8803	5.63444	0.0156236	0.00586023
0.7	38.8455	5.70895	0.0155811	0.00593773
0.71	38.8107	5.78326	0.0155387	0.00601502
0.72	38.776	5.85737	0.0154966	0.0060921
0.73	38.7414	5.93127	0.0154546	0.00616896
0.74	38.7069	6.00498	0.0154127	0.00624562
0.75	38.6726	6.07848	0.015371	0.00632208
0.76	38.6383	6.15179	0.0153295	0.00639832
0.77	38.604	6.2249	0.0152882	0.00647436
0.78	38.5699	6.29781	0.015247	0.00655019
0.79	38.5359	6.37053	0.0152059	0.00662582
0.8	38.502	6.44305	0.015165	0.00670125
0.81	38.4681	6.51537	0.0151243	0.00677647
0.82	38.4344	6.5875	0.0150838	0.0068515
0.83	38.4007	6.65944	0.0150433	0.00692632
0.84	38.3672	6.73119	0.0150031	0.00700094
0.85	38.3337	6.80274	0.014963	0.00707536
0.86	38.3003	6.8741	0.0149231	0.00714958
0.87	38.267	6.94527	0.0148833	0.0072236
0.88	38.2338	7.01625	0.0148436	0.00729743
0.89	38.2007	7.08704	0.0148042	0.00737105
0.9	38.1676	7.15765	0.0147648	0.00744449
0.91	38.1347	7.22806	0.0147256	0.00751773
0.92	38.1018	7.29829	0.0146866	0.00759077
0.93	38.069	7.36834	0.0146477	0.00766362
0.94	38.0364	7.4382	0.014609	0.00773628
0.95	38.0038	7.50787	0.0145704	0.00780874
0.96	37.9712	7.57736	0.0145319	0.00788102
0.97	37.9388	7.64666	0.0144937	0.0079531
0.98	37.9065	7.71579	0.0144555	0.00802499
0.99	37.8742	7.78473	0.0144175	0.0080967
1	37.842	7.85349	0.0143796	0.00816821
1.01	37.81	7.92207	0.0143419	0.00823954
1.02	37.778	7.99047	0.0143043	0.00831068
1.03	37.746	8.05869	0.0142669	0.00838163
1.04	37.7142	8.12673	0.0142296	0.0084524
1.05	37.6824	8.19459	0.0141924	0.00852299
1.06	37.6508	8.26228	0.0141554	0.00859338
1.07	37.6192	8.32979	0.0141185	0.0086636
1.08	37.5877	8.39712	0.0140818	0.00873363
1.09	37.5563	8.46428	0.0140452	0.00880348
1.1	37.5249	8.53126	0.0140087	0.00887315
1.11	37.4937	8.59807	0.0139724	0.00894264
1.12	37.4625	8.66471	0.0139362	0.00901195
