LeakagePort 0	Current turn 0.5	Pressure storage 15.4015	Pressure reaction 0.0650488	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	15.4005	0.0701069	0.0220167	1.53243
1.6e-06	15.397	0.0729353	0.0220117	1.53243
0.501229	13.7769	4.12719	0.0196955	1.53243
1.00089	12.7314	6.24082	0.0182009	1.53733
1.51399	11.4148	8.83657	0.00773791	1.54184
2.02842	10.9754	9.7173	0.00569753	1.54381
2.52596	10.6355	10.4041	0.00253727	1.54526
3.03927	10.6036	10.4732	0.00191184	1.54589
3.61201	10.5755	10.5188	0.00126331	1.54638
4.05178	10.5756	10.517	0.00128403	1.54674
4.58923	10.5743	10.5227	0.0012047	1.54702
