LeakagePort 0	Current turn 0.5	Pressure storage 24.7785	Pressure reaction 0.0709802	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0	24.7785	0.0709802	0.0332783	7.35849e-05
0.01	24.7785	0.0709802	0.0332783	7.35849e-05
0.02	24.704	0.230208	0.0331783	0.000238656
0.03	24.6297	0.388958	0.0330785	0.000403231
0.04	24.5557	0.54723	0.0329791	0.000567311
0.05	24.4819	0.705026	0.0328799	0.000730898
0.06	24.4083	0.862348	0.0327811	0.000893993
0.07	24.3349	1.0192	0.0326825	0.0010566
0.08	24.2617	1.17557	0.0325843	0.00121871
0.09	24.1888	1.33148	0.0324863	0.00138034
0.1	24.1161	1.48692	0.0323887	0.00154148
0.11	24.0436	1.64189	0.0322913	0.00170214
0.12	23.9713	1.7964	0.0321942	0.00186232
0.13	23.8992	1.95044	0.0320974	0.00202201
0.14	23.8274	2.10401	0.0320009	0.00218122
0.15	23.7557	2.25713	0.0319047	0.00233996
0.16	23.6843	2.40979	0.0318088	0.00249822
0.17	23.6131	2.56198	0.0317132	0.002656
0.18	23.5421	2.71372	0.0316178	0.00281331
0.19	23.4713	2.86501	0.0315228	0.00297014
0.2	23.4008	3.01583	0.031428	0.0031265
0.21	23.3304	3.16621	0.0313335	0.0032824
0.22	23.2603	3.31613	0.0312393	0.00343782
0.23	23.1904	3.4656	0.0311454	0.00359278
0.24	23.1206	3.61463	0.0310518	0.00374727
0.25	23.0511	3.7632	0.0309584	0.0039013
0.26	22.9818	3.91133	0.0308654	0.00405486
0.27	22.9127	4.05901	0.0307726	0.00420796
0.28	22.8438	4.20625	0.0306801	0.0043606
0.29	22.7752	4.35305	0.0305878	0.00451279
0.3	22.7067	4.4994	0.0304959	0.00466451
0.31	22.6384	4.64531	0.0304042	0.00481578
0.32	22.5704	4.79079	0.0303128	0.00496659
0.33	22.5025	4.93583	0.0302216	0.00511696
0.34	22.4349	5.08043	0.0301308	0.00526686
0.35	22.3674	5.2246	0.0300402	0.00541632
0.36	22.3002	5.36833	0.0299499	0.00556533
0.37	22.2331	5.51164	0.0298599	0.00571389
0.38	22.1663	5.65451	0.0297701	0.00586201
0.39	22.0997	5.79695	0.0296806	0.00600968
0.4	22.0332	5.93896	0.0295914	0.0061569
0.41	21.967	6.08055	0.0295024	0.00630368
0.42	21.9009	6.22171	0.0294137	0.00645002
0.43	21.8351	6.36245	0.0293253	0.00659593
0.44	21.7695	6.50276	0.0292371	0.00674139
0.45	21.704	6.64265	0.0291492	0.00688641
0.46	21.6388	6.78213	0.0290616	0.007031
0.47	21.5737	6.92118	0.0289742	0.00717516
0.48	21.5088	7.05981	0.0288871	0.00731888
0.49	21.4442	7.19803	0.0288003	0.00746217
0.5	21.3797	7.33583	0.0287137	0.00760503
0.51	21.3154	7.47322	0.0286273	0.00774746
0.52	21.2514	7.61019	0.0285413	0.00788946
0.53	21.1875	7.74675	0.0284555	0.00803103
0.54	21.1238	7.88291	0.0283699	0.00817218
0.55	21.0603	8.01865	0.0282846	0.0083129
0.56	20.997	8.15398	0.0281996	0.0084532
0.57	20.9338	8.28891	0.0281148	0.00859308
0.58	20.8709	8.42343	0.0280303	0.00873254
0.59	20.8081	8.55755	0.027946	0.00887158
0.6	20.7456	8.69127	0.027862	0.0090102
0.61	20.6832	8.82458	0.0277783	0.00914841
0.62	20.621	8.95749	0.0276947	0.00928619
0.63	20.559	9.09	0.0276115	0.00942357
0.64	20.4972	9.22211	0.0275285	0.00956053
0.65	20.4356	9.35383	0.0274457	0.00969708
0.66	20.3742	9.48515	0.0273632	0.00983322
0.67	20.3129	9.61608	0.0272809	0.00996895
0.68	20.2519	9.74661	0.0271989	0.0101043
0.69	20.191	9.87675	0.0271172	0.0102392
0.7	20.1303	10.0065	0.0270356	0.0103737
0.71	20.0698	10.1359	0.0269544	0.0105078
0.72	20.0094	10.2648	0.0268733	0.0106415
0.73	19.9493	10.3934	0.0267925	0.0107748
0.74	19.8893	10.5216	0.0148398	0.0109077
0.75	19.8561	10.5926	0.0148137	0.0109813
0.76	19.8229	10.6635	0.0147863	0.0110548
0.77	19.7898	10.7342	0.0147577	0.0111281
0.78	19.7568	10.8048	0.0147278	0.0112013
0.79	19.7238	10.8753	0.0146967	0.0112744
0.8	19.6909	10.9456	0.0146644	0.0113473
0.81	19.6581	11.0158	0.0146308	0.01142
0.82	19.6253	11.0858	0.014596	0.0114926
0.83	19.5927	11.1556	0.0145599	0.011565
0.84	19.5601	11.2253	0.0145226	0.0116372
0.85	19.5276	11.2948	0.0144841	0.0117093
0.86	19.4951	11.3641	0.0144443	0.0117811
0.87	19.4628	11.4332	0.0144033	0.0118528
0.88	19.4306	11.5021	0.0143611	0.0119242
0.89	19.3984	11.5708	0.0143176	0.0119954
0.9	19.3664	11.6393	0.014273	0.0120665
0.91	19.3344	11.7076	0.0142271	0.0121373
0.92	19.3026	11.7757	0.01418	0.0122078
0.93	19.2708	11.8436	0.0141316	0.0122782
0.94	19.2392	11.9112	0.0140821	0.0123483
0.95	19.2077	11.9786	0.0140314	0.0124181
0.96	19.1763	12.0457	0.0139794	0.0124877
0.97	19.145	12.1126	0.0139263	0.0125571
0.98	19.1138	12.1792	0.0138719	0.0126261
0.99	19.0827	12.2456	0.0138164	0.012695
1	19.0518	12.3117	0.0137597	0.0127635
1.01	19.021	12.3775	0.0137017	0.0128317
1.02	18.9903	12.4431	0.0136427	0.0128997
1.03	18.9598	12.5084	0.0135824	0.0129674
1.04	18.9294	12.5734	0.0135209	0.0130347
1.05	18.8991	12.638	0.0134583	0.0131018
1.06	18.869	12.7024	0.0133945	0.0131686
1.07	18.839	12.7665	0.0133296	0.013235
1.08	18.8092	12.8303	0.0132635	0.0133011
1.09	18.7795	12.8938	0.0131963	0.0133669
1.1	18.75	12.9569	0.0131279	0.0134324
1.11	18.7206	13.0197	0.0130584	0.0134975
1.12	18.6913	13.0822	0.0129877	0.0135623
1.13	18.6623	13.1443	0.0129159	0.0136267
1.14	18.6334	13.2061	0.012843	0.0136908
1.15	18.6046	13.2676	0.012769	0.0137545
1.16	18.576	13.3287	0.0126938	0.0138178
1.17	18.5476	13.3894	0.0126176	0.0138808
1.18	18.5194	13.4498	0.0125402	0.0139434
1.19	18.4913	13.5098	0.0124618	0.0140056
1.2	18.4634	13.5694	0.0123823	0.0140674
1.21	18.4357	13.6287	0.0123017	0.0141288
