time,value
1,1.63971
2,1.63971
3,1.63988
4,1.63932
5,1.63896
6,1.63878
7,1.63863
8,1.63864
9,1.63818
10,1.63831
11,1.63847
12,1.63813
13,1.63907
14,1.6388
15,1.63918
16,1.6398
17,1.63991
18,1.64007
19,1.64024
20,1.64014
21,1.64056
22,1.64068
23,1.64073
24,1.64088
25,1.64058
26,1.64074
27,1.64098
28,1.64093
29,1.641
30,1.64073
31,1.64082
32,1.64045
33,1.64055
34,1.64012
35,1.64028
36,1.64005
37,1.64004
38,1.64007
39,1.64045
40,1.64019
41,1.63974
42,1.63999
43,1.64018
44,1.64051
45,1.64083
46,1.64123
47,1.64118
48,1.64197
49,1.64275
50,1.64271
51,1.64308
52,1.64362
53,1.64413
54,1.64451
55,1.64573
56,1.64584
57,1.64642
58,1.6466
59,1.64695
60,1.64766
61,1.64889
62,1.64935
63,1.65021
64,1.65043
65,1.65098
66,1.65168
67,1.65266
68,1.65303
69,1.6534
70,1.65352
71,1.65405
72,1.65483
73,1.65428
74,1.65466
75,1.65509
76,1.65616
77,1.65685
78,1.65658
79,1.65696
80,1.6571
81,1.65753
82,1.65823
83,1.65844
84,1.65857
85,1.65853
86,1.65865
87,1.65847
88,1.65944
89,1.6591
90,1.65872
91,1.65831
92,1.65819
93,1.65715
94,1.65679
95,1.65683
96,1.65631
97,1.65586
98,1.65557
99,1.65435
100,1.65509
101,1.6539
102,1.65334
103,1.65395
104,1.65353
105,1.6525
106,1.65321
107,1.65308
108,1.65314
109,1.65304
110,1.65246
111,1.65119
112,1.65106
113,1.65093
114,1.65088
115,1.64886
116,1.64859
117,1.64813
118,1.64857
119,1.64842
120,1.64802
121,1.64609
122,1.64695
123,1.64696
124,1.64685
125,1.64742
126,1.64815
127,1.6475
128,1.64826
129,1.6485
130,1.64852
131,1.64867
132,1.64849
133,1.64932
134,1.64893
135,1.64833
136,1.64818
137,1.64811
138,1.648
139,1.64796
140,1.64785
141,1.64706
142,1.64643
143,1.6455
144,1.6455
145,1.6457
146,1.64592
147,1.64547
148,1.64559
149,1.64556
150,1.64581
151,1.64578
152,1.6455
153,1.6455
154,1.64579
155,1.6457
156,1.64495
157,1.64485
158,1.64542
159,1.64612
160,1.64667
161,1.64615
162,1.64712
163,1.64693
164,1.64619
165,1.64702
166,1.64594
167,1.64499
168,1.64623
169,1.64513
170,1.64377
171,1.64505
172,1.6447
173,1.64441
174,1.64211
175,1.64202
176,1.6421
177,1.63827
178,1.63891
179,1.63936
180,1.63535
181,1.63591
182,1.63722
183,1.63438
184,1.63546
185,1.63672
186,1.63425
187,1.63478
188,1.63585
189,1.63356
190,1.63421
191,1.63493
192,1.63092
193,1.63182
194,1.6321
195,1.63229
196,1.63248
197,1.63278
198,1.63315
199,1.63336
200,1.63306
201,1.63454
202,1.63481
203,1.63522
204,1.63517
205,1.6349
206,1.63491
207,1.6347
208,1.63505
209,1.63517
210,1.63504
211,1.63513
212,1.63531
213,1.63489
214,1.6353
215,1.63499
216,1.63517
217,1.6349
