SupplyPort 1	Current turn 1	Port pressure 35
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	0.0815802	208.345	0.000181923
0.01	0.448433	208.345	2.08364
0.02	0.448433	208.345	4.16709
0.03	0.448433	208.345	6.25054
0.04	0.448433	208.345	8.33399
0.05	0.448433	208.345	10.4174
0.06	0.448433	208.345	12.5009
0.07	0.448433	208.345	14.5844
0.08	0.448433	208.345	16.6678
0.09	0.448433	208.345	18.7513
0.1	0.448433	208.345	20.8347
0.11	0.448433	208.345	22.9182
0.12	0.448433	208.345	25.0016
0.13	0.448433	208.345	27.0851
0.14	0.448433	208.345	29.1685
0.15	0.448433	208.345	31.252
0.16	0.448433	208.345	33.3354
0.17	0.448433	208.345	35.4189
0.18	0.448433	208.345	37.5023
0.19	0.448433	208.345	39.5858
0.2	0.448433	208.345	41.6692
0.21	0.448433	208.345	43.7527
0.22	0.448433	208.345	45.8362
0.23	0.448433	208.345	47.9196
0.24	0.448433	208.345	50.0031
0.25	0.448433	208.345	52.0865
0.26	0.448433	208.345	54.17
0.27	0.448433	208.345	56.2534
0.28	0.448433	208.345	58.3369
0.29	0.448433	208.345	60.4203
0.3	0.448433	208.345	62.5038
0.31	0.448433	208.345	64.5872
0.32	0.448433	208.345	66.6707
0.33	0.448433	208.345	68.7541
0.34	0.448433	208.345	70.8376
0.35	0.448433	208.345	72.921
0.36	0.448433	208.345	75.0045
0.37	0.448433	208.345	77.0879
0.38	0.448433	208.345	79.1714
0.39	0.448433	208.345	81.2549
0.4	0.448433	208.345	83.3383
0.41	0.448433	208.345	85.4218
0.42	0.448433	208.345	87.5052
0.43	0.448433	208.345	89.5887
0.44	0.448433	208.345	91.6721
0.45	0.448433	208.345	93.7556
0.46	0.448433	208.345	95.839
0.47	0.448433	208.345	97.9225
0.48	0.448433	208.345	100.006
0.49	0.448433	208.345	102.089
0.5	0.448433	208.345	104.173
0.51	0.448433	208.345	106.256
0.52	0.448433	208.345	108.34
0.53	0.448433	208.345	110.423
0.54	0.448433	208.345	112.507
0.55	0.448433	208.345	114.59
0.56	0.448433	208.345	116.674
0.57	0.448433	208.345	118.757
0.58	0.448433	208.345	120.84
0.59	0.448433	208.345	122.924
0.6	0.448433	208.345	125.007
0.61	0.448433	208.345	127.091
0.62	0.448433	208.345	129.174
0.63	0.448433	208.345	131.258
0.64	0.448433	208.345	133.341
0.65	0.448433	208.345	135.425
0.66	0.448433	208.345	137.508
0.67	0.448433	208.345	139.592
0.68	0.448433	208.345	141.675
0.69	0.448433	208.345	143.758
0.7	0.448433	208.345	145.842
0.71	0.448433	208.345	147.925
0.72	0.448433	208.345	150.009
0.73	0.448433	208.345	152.092
0.74	0.448433	208.345	154.176
0.75	0.448433	208.345	156.259
0.76	0.448433	208.345	158.343
0.77	0.448433	208.345	160.426
0.78	0.448433	208.345	162.51
0.79	0.448433	208.345	164.593
0.8	0.448433	208.345	166.676
0.81	0.448433	208.345	168.76
0.82	0.448433	208.345	170.843
0.83	0.448433	208.345	172.927
0.84	0.448433	208.345	175.01
0.85	0.448433	208.345	177.094
0.86	0.448433	208.345	179.177
0.87	0.448433	208.345	181.261
0.88	0.448433	208.345	183.344
0.89	0.448433	208.345	185.428
0.9	0.448433	208.345	187.511
0.91	0.448433	208.345	189.594
0.92	0.448433	208.345	191.678
0.93	0.448433	208.345	193.761
0.94	0.448433	208.345	195.845
0.95	0.448433	208.345	197.928
0.96	0.448433	208.345	200.012
0.97	0.448433	208.345	202.095
0.98	0.448433	208.345	204.179
0.99	0.448433	208.345	206.262
1	0.448433	208.345	208.345
1.01	0.448433	208.345	210.429
1.02	0.448433	208.345	212.512
1.03	0.448433	208.345	214.596
1.04	0.448433	208.345	216.679
1.05	0.448433	208.345	218.763
1.06	0.448433	208.345	220.846
1.07	0.448433	208.345	222.93
1.08	0.448433	208.345	225.013
1.09	0.448433	208.345	227.097
1.1	0.448433	208.345	229.18
1.11	0.448433	208.345	231.263
1.12	0.448433	208.345	233.347
1.13	0.448433	208.345	235.43
1.14	0.448433	208.345	237.514
1.15	0.448433	208.345	239.597
1.16	0.448433	208.345	241.681
1.17	0.448433	208.345	243.764
1.18	0.448433	208.345	245.848
1.19	0.448433	208.345	247.931
1.2	0.448433	208.345	250.015
1.21	0.448433	208.345	252.098
1.22	0.448433	208.345	254.181
1.23	0.448433	208.345	256.265
1.24	0.448433	208.345	258.348
1.25	0.448433	208.345	260.432
1.26	0.448433	208.345	262.515
1.27	0.448433	208.345	264.599
1.28	0.448433	208.345	266.682
1.29	0.448433	208.345	268.766
1.3	0.448433	208.345	270.849
1.31	0.448433	208.345	272.933
1.32	0.448433	208.345	275.016
1.33	0.448433	208.345	277.099
1.34	0.448433	208.345	279.183
1.35	0.448433	208.345	281.266
1.36	0.448433	208.345	283.35
1.37	0.448433	208.345	285.433
1.38	0.448433	208.345	287.517
1.39	0.448433	208.345	289.6
1.4	0.448433	208.345	291.684
1.41	0.448433	208.345	293.767
1.42	0.448433	208.345	295.851
1.43	0.448433	208.345	297.934
1.44	0.448433	208.345	300.017
1.45	0.448433	208.345	302.101
1.46	0.448433	208.345	304.184
1.47	0.448433	208.345	306.268
1.48	0.448433	208.345	308.351
1.49	0.448433	208.345	310.435
1.5	0.448433	208.345	312.518
1.51	0.448433	208.345	314.602
1.52	0.448433	208.345	316.685
1.53	0.448433	208.345	318.769
1.54	0.448433	208.345	320.852
1.55	0.448433	208.345	322.935
1.56	0.448433	208.345	325.019
1.57	0.448433	208.345	327.102
1.58	0.448433	208.345	329.186
1.59	0.448433	208.345	331.269
1.6	0.448433	208.345	333.353
1.61	0.448433	208.345	335.436
1.62	0.448433	208.345	337.52
1.63	0.448433	208.345	339.603
1.64	0.448433	208.345	341.686
1.65	0.448433	208.345	343.77
1.66	0.448433	208.345	345.853
1.67	0.448433	208.345	347.937
1.68	0.448433	208.345	350.02
1.69	0.448433	208.345	352.104
1.7	0.448433	208.345	354.187
1.71	0.448433	208.345	356.271
1.72	0.448433	208.345	358.354
1.73	0.448433	208.345	360.438
1.74	0.448433	208.345	362.521
1.75	0.448433	208.345	364.604
1.76	0.448433	208.345	366.688
1.77	0.448433	208.345	368.771
1.78	0.448433	208.345	370.855
1.79	0.448433	208.345	372.938
1.8	0.448433	208.345	375.022
1.81	0.448433	208.345	377.105
1.82	0.448433	208.345	379.189
1.83	0.448433	208.345	381.272
1.84	0.448433	208.345	383.356
1.85	0.448433	208.345	385.439
1.86	0.448433	208.345	387.522
1.87	0.448433	208.345	389.606
1.88	0.448433	208.345	391.689
1.89	0.448433	208.345	393.773
1.9	0.448433	208.345	395.856
1.91	0.448433	208.345	397.94
1.92	0.448433	208.345	400.023
1.93	0.448433	208.345	402.107
1.94	0.448433	208.345	404.19
1.95	0.448433	208.345	406.274
1.96	0.448433	208.345	408.357
1.97	0.448433	208.345	410.44
1.98	0.448433	208.345	412.524
1.99	0.448433	208.345	414.607
2	0.448433	208.345	416.691
2.01	0.448433	208.345	418.774
2.02	0.448433	208.345	420.858
2.03	0.448433	208.345	422.941
2.04	0.448433	208.345	425.025
2.05	0.448433	208.345	427.108
2.06	0.448433	208.345	429.192
2.07	0.448433	208.345	431.275
2.08	0.448433	208.345	433.358
2.09	0.448433	208.345	435.442
2.1	0.448433	208.345	437.525
2.11	0.448433	208.345	439.609
2.12	0.448433	208.345	441.692
2.13	0.448433	208.345	443.776
2.14	0.448433	208.345	445.859
2.15	0.448433	208.345	447.943
2.16	0.448433	208.345	450.026
2.17	0.448433	208.345	452.11
2.18	0.448433	208.345	454.193
2.19	0.448433	208.345	456.276
2.2	0.448433	208.345	458.36
2.21	0.448433	208.345	460.443
2.22	0.448433	208.345	462.527
2.23	0.448433	208.345	464.61
2.24	0.448433	208.345	466.694
2.25	0.448433	208.345	468.777
2.26	0.448433	208.345	470.861
2.27	0.448433	208.345	472.944
2.28	0.448433	208.345	475.028
2.29	0.448433	208.345	477.111
2.3	0.448433	208.345	479.194
2.31	0.448433	208.345	481.278
2.32	0.448433	208.345	483.361
2.33	0.448433	208.345	485.445
2.34	0.448433	208.345	487.528
2.35	0.448433	208.345	489.612
2.36	0.448433	208.345	491.695
2.37	0.448433	208.345	493.779
2.38	0.448433	208.345	495.862
2.39	0.448433	208.345	497.945
2.4	0.448433	208.345	500.029
2.41	0.448433	208.345	502.112
2.42	0.448433	208.345	504.196
2.43	0.448433	208.345	506.279
2.44	0.448433	208.345	508.363
2.45	0.448433	208.345	510.446
2.46	0.448433	208.345	512.53
2.47	0.448433	208.345	514.613
2.48	0.448433	208.345	516.697
2.49	0.448433	208.345	518.78
2.5	0.448433	208.345	520.863
2.51	0.448433	208.345	522.947
2.52	0.448433	208.345	525.03
2.53	0.448433	208.345	527.114
2.54	0.448433	208.345	529.197
2.55	0.448433	208.345	531.281
2.56	0.448433	208.345	533.364
2.57	0.448433	208.345	535.448
2.58	0.448433	208.345	537.531
2.59	0.448433	208.345	539.615
2.6	0.448433	208.345	541.698
2.61	0.448433	208.345	543.781
2.62	0.448433	208.345	545.865
2.63	0.448433	208.345	547.948
2.64	0.448433	208.345	550.032
2.65	0.448433	208.345	552.115
2.66	0.448433	208.345	554.199
2.67	0.448433	208.345	556.282
2.68	0.448433	208.345	558.366
2.69	0.448433	208.345	560.449
2.7	0.448433	208.345	562.533
2.71	0.448433	208.345	564.616
2.72	0.448433	208.345	566.699
2.73	0.448433	208.345	568.783
2.74	0.448433	208.345	570.866
2.75	0.448433	208.345	572.95
2.76	0.448433	208.345	575.033
2.77	0.448433	208.345	577.117
2.78	0.448433	208.345	579.2
2.79	0.448433	208.345	581.284
2.8	0.448433	208.345	583.367
2.81	0.448433	208.345	585.451
2.82	0.448433	208.345	587.534
2.83	0.448433	208.345	589.617
2.84	0.448433	208.345	591.701
2.85	0.448433	208.345	593.784
2.86	0.448433	208.345	595.868
2.87	0.448433	208.345	597.951
2.88	0.448433	208.345	600.035
2.89	0.448433	208.345	602.118
2.9	0.448433	208.345	604.202
2.91	0.448433	208.345	606.285
2.92	0.448433	208.345	608.369
2.93	0.448433	208.345	610.452
2.94	0.448433	208.345	612.535
2.95	0.448433	208.345	614.619
2.96	0.448433	208.345	616.702
2.97	0.448433	208.345	618.786
2.98	0.448433	208.345	620.869
2.99	0.448433	208.345	622.953
3	0.448433	208.345	625.036
3.01	0.448433	208.345	627.12
3.02	0.448433	208.345	629.203
3.03	0.448433	208.345	631.286
3.04	0.448433	208.345	633.37
3.05	0.448433	208.345	635.453
3.06	0.448433	208.345	637.537
3.07	0.448433	208.345	639.62
3.08	0.448433	208.345	641.704
3.09	0.448433	208.345	643.787
3.1	0.448433	208.345	645.871
3.11	0.448433	208.345	647.954
3.12	0.448433	208.345	650.038
3.13	0.448433	208.345	652.121
3.14	0.448433	208.345	654.204
3.15	0.448433	208.345	656.288
3.16	0.448433	208.345	658.371
3.17	0.448433	208.345	660.455
3.18	0.448433	208.345	662.538
3.19	0.448433	208.345	664.622
3.2	0.448433	208.345	666.705
3.21	0.448433	208.345	668.789
3.22	0.448433	208.345	670.872
3.23	0.448433	208.345	672.956
3.24	0.448433	208.345	675.039
3.25	0.448433	208.345	677.122
3.26	0.448433	208.345	679.206
3.27	0.448433	208.345	681.289
3.28	0.448433	208.345	683.373
3.29	0.448433	208.345	685.456
3.3	0.448433	208.345	687.54
3.31	0.448433	208.345	689.623
3.32	0.448433	208.345	691.707
3.33	0.448433	208.345	693.79
3.34	0.448433	208.345	695.874
3.35	0.448433	208.345	697.957
3.36	0.448433	208.345	700.04
3.37	0.448433	208.345	702.124
3.38	0.448433	208.345	704.207
3.39	0.448433	208.345	706.291
3.4	0.448433	208.345	708.374
3.41	0.448433	208.345	710.458
3.42	0.448433	208.345	712.541
3.43	0.448433	208.345	714.625
3.44	0.448433	208.345	716.708
3.45	0.448433	208.345	718.792
3.46	0.448433	208.345	720.875
3.47	0.448433	208.345	722.958
3.48	0.448433	208.345	725.042
3.49	0.448433	208.345	727.125
3.5	0.448433	208.345	729.209
3.51	0.448433	208.345	731.292
3.52	0.448433	208.345	733.376
3.53	0.448433	208.345	735.459
3.54	0.448433	208.345	737.543
3.55	0.448433	208.345	739.626
3.56	0.448433	208.345	741.71
3.57	0.448433	208.345	743.793
3.58	0.448433	208.345	745.876
3.59	0.448433	208.345	747.96
3.6	0.448433	208.345	750.043
3.61	0.448433	208.345	752.127
3.62	0.448433	208.345	754.21
3.63	0.448433	208.345	756.294
3.64	0.448433	208.345	758.377
3.65	0.448433	208.345	760.461
3.66	0.448433	208.345	762.544
3.67	0.448433	208.345	764.627
3.68	0.448433	208.345	766.711
3.69	0.448433	208.345	768.794
3.7	0.448433	208.345	770.878
3.71	0.448433	208.345	772.961
