SupplyPort 1	Current turn 1	Port pressure 45
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	0.101095	267.873	0.000217907
1.2e-06	0.101095	267.873	0.000539354
0.101714	0.101095	267.873	27.2467
0.203563	0.101095	267.873	54.5292
0.304295	0.101095	267.873	81.5125
0.404999	0.101095	267.873	108.488
0.50602	0.101095	267.873	135.549
0.607632	0.101095	267.873	162.768
0.709249	0.101095	267.873	189.989
0.810868	0.101095	267.873	217.209
0.913637	5.09831	267.873	244.739
1.01502	5.09831	267.873	271.896
1.11625	5.09831	267.873	299.013
1.21704	5.09831	267.873	326.013
1.31786	5.09831	267.873	353.019
1.41941	5.09831	267.873	380.221
1.52034	19.6603	267.873	407.259
1.62204	19.6603	267.873	434.499
1.72423	19.6603	267.873	461.875
1.82522	19.6603	267.873	488.927
1.92644	19.6603	267.873	516.04
2.02741	19.6603	267.873	543.089
2.12808	19.6603	267.873	570.054
2.22966	19.6603	267.873	597.264
2.33083	19.6603	267.873	624.365
2.43242	30.7854	252.332	650
2.53512	30.7854	252.332	675.913
2.63656	30.7854	252.332	701.512
2.73763	30.7854	252.332	727.013
2.839	30.7854	252.332	752.594
2.94062	30.7854	252.332	778.235
3.04218	30.7854	252.332	803.861
3.1442	30.7854	252.332	829.605
3.24646	30.7854	252.332	855.407
3.34801	30.7854	252.332	881.034
3.44972	39.0382	188.725	900.227
3.55036	39.0382	188.725	919.222
3.65153	39.0382	188.725	938.315
3.75253	39.0382	188.725	957.376
3.85356	39.0382	188.725	976.443
3.95544	39.0382	188.725	995.671
4.05718	39.0382	188.725	1014.87
4.15907	39.0382	188.725	1034.1
4.26014	39.0382	188.725	1053.17
4.36126	39.0382	188.725	1072.26
4.46268	43.6273	97.3114	1082.13
4.5635	43.6273	97.3114	1091.94
4.66485	43.6273	97.3114	1101.8
4.76724	43.6273	97.3114	1111.77
4.86876	43.6273	97.3114	1121.64
4.97025	43.6273	97.3114	1131.52
5.07195	43.6273	97.3114	1141.42
5.17413	43.6273	97.3114	1151.36
5.27508	43.6273	97.3114	1161.18
