SupplyPort 1	Port pressure 31
Elapsed	Pressure	Rate	Volume
0	0.208104	0	55.5544
0.101	0.209457	3.00705e-05	55.5544
0.202	1.6029	0.0309597	55.5544
0.303	2.60268	0.022213	55.5544
0.404	3.50354	0.0200155	55.5544
0.505	4.35115	0.0188322	55.5544
0.607	5.17825	0.0181965	55.5544
0.708	6.02617	0.018839	55.5544
0.809	6.84559	0.0182061	55.5544
0.91	7.67695	0.0184713	55.5544
1.01	8.49989	0.0184669	55.5544
1.111	9.32598	0.0183543	55.5544
1.212	10.1549	0.0184173	55.5544
1.313	10.9804	0.0183414	55.5544
1.415	11.8027	0.0180906	55.5544
1.516	12.6312	0.0184067	55.5544
1.617	13.4386	0.0179402	55.5544
1.719	14.2586	0.0180394	55.5544
1.82	15.0565	0.0177271	55.5544
1.921	15.8396	0.0174	55.5544
2.023	16.6196	0.0171599	55.5544
2.124	17.3812	0.0169215	55.5544
2.225	18.1248	0.0165225	55.5544
2.326	18.85	0.0161122	55.5544
2.428	19.5623	0.0156698	55.5544
2.528	20.2455	0.0153324	55.5544
2.63	20.893	0.0142448	55.5544
2.731	21.5285	0.014118	55.5544
2.832	22.139	0.0135652	55.5544
2.933	22.7216	0.0129444	55.5544
3.033	23.2778	0.0124802	55.5544
3.135	23.805	0.0115995	55.5544
3.236	24.3185	0.0114083	55.5544
3.338	24.7918	0.0104143	55.5544
3.439	25.2352	0.00984979	55.5544
3.54	25.6548	0.00932254	55.5544
3.642	26.0426	0.008532	55.5544
3.743	26.4049	0.00805066	55.5544
3.844	26.7487	0.00763798	55.5544
3.945	27.0598	0.0069118	55.5544
4.047	27.3377	0.00611395	55.5544
4.148	27.592	0.00564976	55.5544
4.249	27.8198	0.00506291	55.5544
4.35	28.0236	0.00452623	55.5544
4.451	28.2086	0.00411029	55.5544
4.552	28.3762	0.00372519	55.5544
4.653	28.5171	0.00313071	55.5544
4.754	28.6459	0.00286192	55.5544
4.855	28.7607	0.00255085	55.5544
4.956	28.8543	0.0020779	55.5544
5.056	28.9498	0.00214283	55.5544
5.158	29.027	0.0016995	55.5544
5.26	29.0939	0.00147167	55.5544
5.361	29.153	0.00131292	55.5544
5.462	29.2087	0.00123756	55.5544
5.563	29.2549	0.00102626	55.5544
5.664	29.2923	0.00083219	55.5544
5.765	29.33	0.000835764	55.5544
5.866	29.3665	0.000811332	55.5544
5.967	29.3982	0.000704831	55.5544
6.069	29.425	0.000588902	55.5544
6.17	29.4466	0.000481618	55.5544
6.271	29.4683	0.00048109	55.5544
6.372	29.4863	0.000399365	55.5544
6.474	29.5066	0.000448161	55.5544
6.576	29.5272	0.000453359	55.5544
6.677	29.5421	0.000330988	55.5544
6.779	29.5606	0.00040654	55.5544
6.88	29.5799	0.000428369	55.5544
6.981	29.5957	0.000350603	55.5544
7.082	29.6036	0.000176157	55.5544
7.183	29.6226	0.000421946	55.5544
7.284	29.6313	0.000192716	55.5544
7.386	29.6474	0.000354394	55.5544
7.488	29.6627	0.000336274	55.5544
7.589	29.6711	0.000187762	55.5544
7.691	29.6867	0.000342438	55.5544
7.792	29.6944	0.000171359	55.5544
7.893	29.7031	0.000194267	55.5544
7.994	29.7139	0.000239895	55.5544
8.096	29.7264	0.000273845	55.5544
8.197	29.7331	0.000148964	55.5544
8.298	29.7461	0.000288972	55.5544
8.399	29.7521	0.000134283	55.5544
8.5	29.7651	0.000287061	55.5544
8.602	29.7813	0.000357058	55.5544
8.704	29.7804	-1.99609e-05	55.5544
8.805	29.7894	0.000201086	55.5544
8.906	29.8086	0.000426602	55.5544
9.008	29.8151	0.000142276	55.5544
9.11	29.8251	0.0002209	55.5544
9.211	29.8279	6.12583e-05	55.5544
9.313	29.834	0.000133307	55.5544
9.414	29.8439	0.000221779	55.5544
9.516	29.852	0.000178233	55.5544
9.617	29.8558	8.43864e-05	55.5544
9.718	29.8664	0.000235317	55.5544
9.819	29.8713	0.000109021	55.5544
9.92	29.8814	0.000223006	55.5544
