SupplyPort 1	Port pressure 31
Elapsed	Pressure	Rate
0	0.272556	0.0163542	55.5544
0.01	0.345434	0.0163542	55.5544
0.02	0.418313	0.0163542	55.5544
0.03	0.491192	0.0163542	55.5544
0.04	0.56407	0.0163542	55.5544
0.05	0.636949	0.0163542	55.5544
0.06	0.709827	0.0163542	55.5544
0.07	0.782706	0.0163542	55.5544
0.08	0.855585	0.0163542	55.5544
0.09	0.928463	0.0163542	55.5544
0.1	1.00134	0.0163542	55.5544
0.11	1.07422	0.0163542	55.5544
0.12	1.1471	0.0163542	55.5544
0.13	1.21998	0.0163542	55.5544
0.14	1.29286	0.0163542	55.5544
0.15	1.36573	0.0163542	55.5544
0.16	1.43861	0.0163542	55.5544
0.17	1.51149	0.0163542	55.5544
0.18	1.58437	0.0163542	55.5544
0.19	1.65725	0.0163542	55.5544
0.2	1.73013	0.0163542	55.5544
0.21	1.80301	0.0163542	55.5544
0.22	1.87589	0.0163542	55.5544
0.23	1.94876	0.0163542	55.5544
0.24	2.02164	0.0163542	55.5544
0.25	2.09452	0.0163542	55.5544
0.26	2.1674	0.0163542	55.5544
0.27	2.24028	0.0163542	55.5544
0.28	2.31316	0.0163542	55.5544
0.29	2.38604	0.0163542	55.5544
0.3	2.45891	0.0163542	55.5544
0.31	2.53179	0.0163542	55.5544
0.32	2.60467	0.0163542	55.5544
0.33	2.67755	0.0163542	55.5544
0.34	2.75043	0.0163542	55.5544
0.35	2.82331	0.0163542	55.5544
0.36	2.89619	0.0163542	55.5544
0.37	2.96906	0.0163542	55.5544
0.38	3.04194	0.0163542	55.5544
0.39	3.11482	0.0163542	55.5544
0.4	3.1877	0.0163542	55.5544
0.41	3.26058	0.0163542	55.5544
0.42	3.33346	0.0163542	55.5544
0.43	3.40634	0.0163542	55.5544
0.44	3.47921	0.0163542	55.5544
0.45	3.55209	0.0163542	55.5544
0.46	3.62497	0.0163542	55.5544
0.47	3.69785	0.0163542	55.5544
0.48	3.77073	0.0163542	55.5544
0.49	3.84361	0.0163542	55.5544
0.5	3.91649	0.0163542	55.5544
0.51	3.98936	0.0163542	55.5544
0.52	4.06224	0.0163542	55.5544
0.53	4.13512	0.0163542	55.5544
0.54	4.208	0.0163542	55.5544
0.55	4.28088	0.0163542	55.5544
0.56	4.35376	0.0163542	55.5544
0.57	4.42664	0.0163542	55.5544
0.58	4.49951	0.0163542	55.5544
0.59	4.57239	0.0163542	55.5544
0.6	4.64527	0.0163542	55.5544
0.61	4.71815	0.0163542	55.5544
0.62	4.79103	0.0163542	55.5544
0.63	4.86391	0.0163542	55.5544
0.64	4.93679	0.0163542	55.5544
0.65	5.00966	0.0163542	55.5544
0.66	5.08254	0.0163542	55.5544
0.67	5.15542	0.0163542	55.5544
0.68	5.2283	0.0163542	55.5544
0.69	5.30118	0.0163542	55.5544
0.7	5.37406	0.0163542	55.5544
0.71	5.44694	0.0163542	55.5544
0.72	5.51982	0.0163542	55.5544
0.73	5.59269	0.0163542	55.5544
0.74	5.66557	0.0163542	55.5544
0.75	5.73845	0.0163542	55.5544
0.76	5.81133	0.0163542	55.5544
0.77	5.88421	0.0163542	55.5544
0.78	5.95709	0.0163542	55.5544
0.79	6.02997	0.0163542	55.5544
0.8	6.10284	0.0163542	55.5544
0.81	6.17572	0.0163542	55.5544
0.82	6.2486	0.0163542	55.5544
0.83	6.32148	0.0163542	55.5544
0.84	6.39436	0.0163542	55.5544
0.85	6.46724	0.0163542	55.5544
0.86	6.54012	0.0163542	55.5544
0.87	6.61299	0.0163542	55.5544
0.88	6.68587	0.0163542	55.5544
0.89	6.75875	0.0163542	55.5544
0.9	6.83163	0.0163542	55.5544
0.91	6.90451	0.0163542	55.5544
0.92	6.97739	0.0163542	55.5544
0.93	7.05027	0.0163542	55.5544
0.94	7.12314	0.0163542	55.5544
0.95	7.19602	0.0163542	55.5544
0.96	7.2689	0.0163542	55.5544
0.97	7.34178	0.0163542	55.5544
0.98	7.41466	0.0163542	55.5544
0.99	7.48754	0.0163542	55.5544
1	7.56042	0.0163542	55.5544
1.01	7.63329	0.0163542	55.5544
1.02	7.70617	0.0163542	55.5544
1.03	7.77905	0.0163542	55.5544
1.04	7.85193	0.0163542	55.5544
1.05	7.92481	0.0163542	55.5544
1.06	7.99769	0.0163542	55.5544
1.07	8.07057	0.0163542	55.5544
1.08	8.14344	0.0163542	55.5544
1.09	8.21632	0.0163542	55.5544
1.1	8.2892	0.0163542	55.5544
1.11	8.36208	0.0163542	55.5544
1.12	8.43496	0.0163542	55.5544
1.13	8.50784	0.0163542	55.5544
1.14	8.58072	0.0163542	55.5544
1.15	8.6536	0.0163542	55.5544
1.16	8.72647	0.0163542	55.5544
1.17	8.79935	0.0163542	55.5544
1.18	8.87223	0.0163542	55.5544
1.19	8.94511	0.0163542	55.5544
1.2	9.01799	0.0163542	55.5544
1.21	9.09087	0.0163542	55.5544
1.22	9.16375	0.0163542	55.5544
1.23	9.23662	0.0163542	55.5544
1.24	9.3095	0.0163542	55.5544
1.25	9.38238	0.0163542	55.5544
1.26	9.45526	0.0163542	55.5544
1.27	9.52814	0.0163542	55.5544
1.28	9.60102	0.0163542	55.5544
1.29	9.6739	0.0163542	55.5544
1.3	9.74677	0.0163542	55.5544
1.31	9.81965	0.0163542	55.5544
1.32	9.89253	0.0163542	55.5544
1.33	9.96541	0.0163542	55.5544
1.34	10.0383	0.0163542	55.5544
1.35	10.1112	0.0163542	55.5544
1.36	10.184	0.0163542	55.5544
1.37	10.2569	0.0163542	55.5544
1.38	10.3298	0.0163542	55.5544
1.39	10.4027	0.0163542	55.5544
1.4	10.4756	0.0163542	55.5544
1.41	10.5484	0.0163542	55.5544
1.42	10.6213	0.0163542	55.5544
1.43	10.6942	0.0163542	55.5544
1.44	10.7671	0.0163542	55.5544
1.45	10.84	0.0163542	55.5544
1.46	10.9128	0.0163542	55.5544
1.47	10.9857	0.0163542	55.5544
1.48	11.0586	0.0163542	55.5544
1.49	11.1315	0.0163542	55.5544
