time,value
0,0.299782
0,0.299984
0,0.300015
0,0.300242
0,0.301107
0,0.301318
0,0.301498
0,0.30162
0,0.301685
0,0.301134
0,0.30101
0,0.301167
0,0.300931
0,0.301479
0,0.301574
0,0.301806
0,0.30198
0,0.302234
0,0.302346
0,0.302038
0,0.302012
0,0.301486
0,0.301775
0,0.303455
0,0.30394
0,0.304139
0,0.304308
0,0.305144
0,0.30594
0,0.305525
0,0.305981
0,0.305984
0,0.306517
0,0.306011
0,0.306683
0,0.30637
0,0.306897
0,0.306274
0,0.306608
0,0.306295
0,0.306657
0,0.307041
0,0.30728
0,0.307795
0,0.307745
0,0.307779
0,0.30826
0,0.308147
0,0.305665
0,0.305784
0,0.306962
0,0.307007
0,0.309283
0,0.309352
0,0.308582
0,0.309414
0,0.308616
0,0.309558
0,0.310292
0,0.309872
0,0.310128
0,0.310937
0,0.311094
0,0.310942
0,0.310262
0,0.309675
0,0.309208
0,0.308664
0,0.304584
0,0.304803
0,0.305129
0,0.305367
0,0.305602
0,0.305276
0,0.305289
0,0.305274
0,0.305232
0,0.305329
0,0.305397
0,0.305074
0,0.305425
0,0.305687
0,0.305638
0,0.305897
0,0.30593
0,0.305822
0,0.305158
0,0.304782
0,0.304802
0,0.304459
0,0.304875
0,0.305033
0,0.305105
0,0.305316
0,0.304882
0,0.304622
0,0.304951
0,0.304913
0,0.305294
0,0.305223
0,0.304595
0,0.305315
0,0.304854
0,0.305403
0,0.3048
0,0.305099
0,0.303329
0,0.303788
0,0.30332
0,0.303361
0,0.300193
0,0.300277
0,0.300835
0,0.300743
0,0.300374
0,0.300651
0,0.301454
0,0.300991
0,0.301734
0,0.301517
0,0.301723
0,0.301953
0,0.301678
0,0.30216
0,0.301659
0,0.301779
0,0.301228
0,0.301242
0,0.301618
0.000789063,0.302269
0.00157813,0.302435
0.00236719,0.302098
0.00315625,0.302016
0.00394531,0.302131
0.00473438,0.302244
0.00552344,0.302411
0.0063125,0.303218
0.00710156,0.303567
0.00789063,0.30405
0.00867969,0.30369
0.00946875,0.304646
0.0102578,0.30556
0.0110469,0.306406
0.0118359,0.305734
0.012625,0.306215
0.0134141,0.307219
0.0142031,0.307651
0.0149922,0.306738
0.0157813,0.307038
0.0165703,0.306859
0.0173594,0.306766
0.0181484,0.306535
0.0189375,0.306781
0.0197266,0.303705
0.0205156,0.303768
0.0213047,0.304528
0.0220938,0.304217
0.0228828,0.303296
0.0236719,0.303532
0.0244609,0.303179
0.02525,0.303055
0.0260391,0.304773
0.0268281,0.304988
0.0276172,0.304168
0.0284063,0.304309
0.0291953,0.303722
0.0299844,0.303952
0.0307734,0.304346
0.0315625,0.304372
0.0323516,0.305012
0.0331406,0.303941
0.0339297,0.304084
0.0347187,0.304644
0.0355078,0.304164
0.0362969,0.30277
0.0370859,0.302874
0.037875,0.303367
0.0386641,0.303156
0.0394531,0.299182
0.0402422,0.299699
0.0410313,0.299149
0.0418203,0.299611
0.0426094,0.300541
0.0433984,0.300564
0.0441875,0.300978
0.0449766,0.301498
0.0457656,0.302122
0.0465547,0.301733
0.0473438,0.30174
0.0481328,0.30197
0.0489219,0.302142
0.0497109,0.302533
0.0505,0.302808
0.0512891,0.302661
0.0520781,0.302766
0.0528672,0.30301
0.0536563,0.302971
0.0544453,0.302821
0.0552344,0.302981
0.0560234,0.30297
0.0568125,0.30296
0.0576016,0.303312
0.0583906,0.303548
0.0591797,0.303279
0.0599688,0.303264
0.0607578,0.303445
0.0615469,0.303484
0.0623359,0.303104
0.063125,0.303119
0.0639141,0.303525
0.0647031,0.303535
0.0654922,0.303405
0.0662812,0.303361
0.0670703,0.30368
0.0678594,0.303688
0.0686484,0.303863
0.0694375,0.304258
0.0702266,0.304202
0.0710156,0.303923
0.0718047,0.304457
0.0725937,0.304733
0.0733828,0.305395
0.0741719,0.305323
0.0749609,0.306033
0.07575,0.306091
0.0765391,0.305953
0.0773281,0.305845
0.0781172,0.305878
0.0789063,0.306218
0.0796953,0.306413
0.0804844,0.306633
0.0812734,0.306934
0.0820625,0.307566
0.0828516,0.306514
0.0836406,0.306873
0.0844297,0.307142
0.0852188,0.307352
0.0860078,0.307225
0.0867969,0.307768
0.0875859,0.30638
0.088375,0.306377
0.0891641,0.307128
0.0899531,0.307115
0.0907422,0.307521
0.0915313,0.307251
0.0923203,0.306818
0.0931094,0.306754
0.0938984,0.30644
0.0946875,0.306381
0.0954766,0.306601
0.0962656,0.306875
0.0970547,0.307228
0.0978438,0.308051
0.0986328,0.308666
0.0994219,0.307656
0.100211,0.307831
0.101,0.318714
0.101789,0.329836
0.102578,0.341805
0.103367,0.352295
0.104156,0.364089
0.104945,0.37488
0.105734,0.386384
0.106523,0.39675
0.107313,0.407417
0.108102,0.417572
0.108891,0.428198
0.10968,0.437781
0.110469,0.448068
0.111258,0.458042
0.112047,0.468267
0.112836,0.476981
0.113625,0.486438
0.114414,0.496459
0.115203,0.505336
0.115992,0.51353
0.116781,0.522417
0.11757,0.527694
0.118359,0.535741
0.119148,0.544986
0.119938,0.553153
0.120727,0.561206
0.121516,0.568531
0.122305,0.576898
0.123094,0.584895
0.123883,0.592753
0.124672,0.600863
0.125461,0.608999
0.12625,0.617271
0.127039,0.624758
0.127828,0.63253
0.128617,0.639914
0.129406,0.647166
0.130195,0.654568
0.130984,0.659467
0.131773,0.666138
0.132562,0.673998
0.133352,0.67988
0.134141,0.682192
0.13493,0.688627
0.135719,0.695893
0.136508,0.702806
0.137297,0.709342
0.138086,0.716233
0.138875,0.72286
0.139664,0.72839
0.140453,0.734791
0.141242,0.741464
0.142031,0.747263
0.14282,0.752589
0.143609,0.758064
0.144398,0.763685
0.145188,0.769451
0.145977,0.775191
0.146766,0.780349
0.147555,0.786075
0.148344,0.791861
0.149133,0.797091
0.149922,0.802276
0.150711,0.807611
0.1515,0.81262
0.152289,0.817699
0.153078,0.822594
0.153867,0.827198
0.154656,0.831764
0.155445,0.836657
0.156234,0.841147
0.157023,0.845964
0.157813,0.850909
0.158602,0.85545
0.159391,0.860456
0.16018,0.864696
0.160969,0.869322
0.161758,0.873632
0.162547,0.87816
0.163336,0.882876
0.164125,0.887274
0.164914,0.89122
0.165703,0.895167
0.166492,0.897775
0.167281,0.901546
0.16807,0.905794
0.168859,0.909815
0.169648,0.912022
0.170438,0.915426
0.171227,0.920064
0.172016,0.923439
0.172805,0.925259
0.173594,0.929035
0.174383,0.933566
0.175172,0.936639
0.175961,0.937298
0.17675,0.941016
0.177539,0.945407
0.178328,0.948481
0.179117,0.953465
0.179906,0.957151
0.180695,0.960228
0.181484,0.963512
0.182273,0.966778
0.183063,0.97011
0.183852,0.973451
0.184641,0.97694
0.18543,0.979906
0.186219,0.983166
0.187008,0.9861
0.187797,0.988435
0.188586,0.992021
0.189375,0.994385
0.190164,0.996966
0.190953,0.999595
0.191742,1.00191
0.192531,1.00522
0.19332,1.00821
0.194109,1.01079
0.194898,1.01362
0.195688,1.01657
0.196477,1.01929
0.197266,1.02104
0.198055,1.02412
0.198844,1.02807
0.199633,1.03054
0.200422,1.03414
0.201211,1.03659
0.202,1.04418
0.202789,1.05237
0.203578,1.0593
0.204367,1.06713
0.205156,1.07433
0.205945,1.08251
0.206734,1.08753
0.207523,1.09469
0.208313,1.10248
0.209102,1.10973
0.209891,1.11496
0.21068,1.12174
0.211469,1.12836
0.212258,1.13492
0.213047,1.14334
0.213836,1.14999
0.214625,1.15636
0.215414,1.16302
0.216203,1.16962
0.216992,1.17638
0.217781,1.18179
0.21857,1.1881
0.219359,1.1943
0.220148,1.20037
