SupplyPort 1	Current turn 0.5	Port pressure 50
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
1e-06	0.0337449	815.523	2.92255
0.487289	2.76781	815.523	400.318
1.00949	6.91279	815.523	826.187
1.51095	11.639	815.523	1235.14
2.0222	16.0935	815.523	1652.07
2.54934	20.0815	815.523	2081.96
3.06222	24.8366	815.523	2500.24
3.55694	28.8585	808.521	2900.23
4.06902	33.0427	780.36	3299.83
4.58066	36.4815	738.036	3677.44
5.07118	40.0904	668.981	4005.59
5.57834	42.7822	594.549	4307.12
6.07109	44.925	514.305	4560.55
6.59664	46.4899	437.293	4790.36
7.09225	47.5216	372.752	4975.1
7.5837	48.2993	312.096	5128.48
8.09047	48.7021	274.137	5267.41
8.58087	48.9342	249.199	5389.61
9.09243	49.0829	231.632	5508.11
9.58418	49.1957	217.255	5614.94
10.0941	49.2611	208.406	5721.22
10.5948	49.3134	201.039	5821.86
11.0953	49.3499	195.724	5919.84
11.5945	49.3789	191.387	6015.38
12.0864	49.4061	187.207	6107.47
12.5872	49.4274	183.881	6199.56
13.0861	49.4484	180.531	6289.62
13.6046	49.4601	178.629	6382.24
14.1113	49.4725	176.6	6471.71
14.6184	49.4902	173.644	6559.77
15.1135	49.5085	170.545	6644.22
15.6362	49.5157	169.307	6732.71
