SupplyPort 2	Current turn 0.5	Port pressure 8.5
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
8e-07	0.0170855	313.709	1.80251
0.473398	1.8481	313.709	150.311
0.998091	3.48347	313.709	314.912
1.50085	5.36672	305.009	468.259
1.99428	6.72918	261.784	597.429
2.50212	7.58186	203.139	700.591
3.02086	7.93008	164.757	786.058
3.5345	8.03133	150.648	863.437
4.02092	8.05251	147.459	935.164
4.51272	8.06102	146.152	1007.04
4.97879	8.06745	145.152	1074.69
5.54673	8.06083	146.18	1157.71
6.04473	8.06984	144.78	1229.81
6.52254	8.07636	143.754	1298.5
7.02292	8.06504	145.527	1371.32
7.52484	8.07311	144.266	1443.73
8.05716	8.0756	143.873	1520.32
8.56504	8.07815	143.47	1593.18
9.07718	8.07801	143.492	1666.67
9.57903	8.08046	143.104	1738.49
10.0734	8.08929	141.692	1808.53
