SupplyPort 2	Current turn 0.5	Port pressure 8.1	
Elapsed	Pressure	Flow rate	Modelled cm3 H2
1.20E-06	0.00841441	356.806	1.88248
0.488673	1.06624	356.806	176.244
0.988324	2.71809	356.806	354.522
1.4994	4.65521	356.806	536.878
1.9882	6.23226	353.959	709.892
2.49956	7.24521	307.85	867.316
2.98857	7.83062	228.78	979.191
3.50021	7.98798	135.088	1048.31
3.99949	8.01314	88.2647	1092.38
4.4994	8.03189	77.8849	1131.31
5.0106	8.02862	69.0756	1166.62
5.51078	8.0296	70.6946	1201.98
6.01056	8.03662	70.2129	1237.07
6.52163	8.04025	66.6618	1271.14
7.02251	8.04547	0	1271.14
7.53292	8.05106	0	1271.14
8.0439	8.05106	0	1271.14
