SupplyPort 2	Current turn 1	Port pressure 30
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	1.43551	27.8587	0
9e-07	2.14931	27.8587	0.000417881
0.496717	4.94769	27.8587	230.632
1.00502	7.50935	27.8587	466.641
1.52297	9.93658	27.8587	707.133
2.0275	12.8514	27.8587	941.393
2.52969	15.4571	27.8728	1174.68
3.03111	17.7868	27.4967	1404.47
3.53626	20.615	26.1828	1624.91
4.04231	22.9575	24.1728	1828.79
4.55057	25.002	21.4609	2010.59
5.05684	26.7924	17.9621	2162.15
5.55912	28.239	13.7696	2277.42
6.06745	29.665	6.20386	2329.98
6.57551	30.5217	6.20386	2382.51
7.09094	31.0768	6.20386	2435.8
7.60805	31.4641	6.20386	2489.27
8.12982	31.7203	6.20386	2543.22
8.62897	31.8451	6.20386	2594.83
9.11552	31.9098	6.20386	2645.14
9.62088	31.9591	6.20386	2697.39
10.123	31.9888	6.20386	2749.32
10.6286	32.0031	6.20386	2801.59
11.1175	32.0232	6.20386	2852.14
11.6243	32.028	6.20386	2904.55
12.1229	32.0418	6.20386	2956.1
12.6271	32.0394	6.20386	3008.23
