SupplyPort 2	Current turn 0.5	Port pressure 8.5
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	0	313.709	2.26985e-05
0.01	2.11654e-07	313.709	3.13711
0.02	0.0292522	313.709	6.27419
0.03	0.0585042	313.709	9.41128
0.04	0.0877562	313.709	12.5484
0.05	0.117008	313.709	15.6854
0.06	0.14626	313.709	18.8225
0.07	0.175512	313.709	21.9596
0.08	0.204764	313.709	25.0967
0.09	0.234016	313.709	28.2338
0.1	0.263268	313.709	31.3709
0.11	0.29252	313.709	34.508
0.12	0.321772	313.709	37.645
0.13	0.351024	313.709	40.7821
0.14	0.380276	313.709	43.9192
0.15	0.409528	313.709	47.0563
0.16	0.43878	313.709	50.1934
0.17	0.468032	313.709	53.3305
0.18	0.497284	313.709	56.4676
0.19	0.526536	313.709	59.6046
0.2	0.555788	313.709	62.7417
0.21	0.58504	313.709	65.8788
0.22	0.614292	313.709	69.0159
0.23	0.643544	313.709	72.153
0.24	0.672796	313.709	75.2901
0.25	0.702049	313.709	78.4272
0.26	0.731301	313.709	81.5642
0.27	0.760553	313.709	84.7013
0.28	0.789805	313.709	87.8384
0.29	0.819057	313.709	90.9755
0.3	0.848309	313.709	94.1126
0.31	0.877561	313.709	97.2497
0.32	0.906813	313.709	100.387
0.33	0.936065	313.709	103.524
0.34	0.965317	313.709	106.661
0.35	0.994569	313.709	109.798
0.36	1.02382	313.709	112.935
0.37	1.05307	313.709	116.072
0.38	1.08232	313.709	119.209
0.39	1.11158	313.709	122.346
0.4	1.14083	313.709	125.483
0.41	1.17008	313.709	128.621
0.42	1.19933	313.709	131.758
0.43	1.22858	313.709	134.895
0.44	1.25784	313.709	138.032
0.45	1.28709	313.709	141.169
0.46	1.31634	313.709	144.306
0.47	1.34559	313.709	147.443
0.48	1.37484	313.709	150.58
0.49	1.4041	313.709	153.717
0.5	1.43335	313.709	156.854
0.51	1.4626	313.709	159.991
0.52	1.49185	313.709	163.128
0.53	1.5211	313.709	166.266
0.54	1.55036	313.709	169.403
0.55	1.57961	313.709	172.54
0.56	1.60886	313.709	175.677
0.57	1.63811	313.709	178.814
0.58	1.66736	313.709	181.951
0.59	1.69662	313.709	185.088
0.6	1.72587	313.709	188.225
0.61	1.75512	313.709	191.362
0.62	1.78437	313.709	194.499
0.63	1.81362	313.709	197.636
0.64	1.84288	313.709	200.773
0.65	1.87213	313.709	203.911
0.66	1.90138	313.709	207.048
0.67	1.93063	313.709	210.185
0.68	1.95989	313.709	213.322
0.69	1.98914	313.709	216.459
0.7	2.01839	313.709	219.596
0.71	2.04764	313.709	222.733
0.72	2.07689	313.709	225.87
0.73	2.10615	313.709	229.007
0.74	2.1354	313.709	232.144
0.75	2.16465	313.709	235.281
0.76	2.1939	313.709	238.418
0.77	2.22315	313.709	241.556
0.78	2.25241	313.709	244.693
0.79	2.28166	313.709	247.83
0.8	2.31091	313.709	250.967
0.81	2.34016	313.709	254.104
0.82	2.36941	313.709	257.241
0.83	2.39867	313.709	260.378
0.84	2.42792	313.709	263.515
0.85	2.45717	313.709	266.652
0.86	2.48642	313.709	269.789
0.87	2.51567	313.709	272.926
0.88	2.54493	313.709	276.064
0.89	2.57418	313.709	279.201
0.9	2.60343	313.709	282.338
0.91	2.63268	313.709	285.475
0.92	2.66193	313.709	288.612
0.93	2.69119	313.709	291.749
0.94	2.72044	313.709	294.886
0.95	2.74969	313.709	298.023
0.96	2.77894	313.709	301.16
0.97	2.80819	313.709	304.297
0.98	2.83745	313.709	307.434
0.99	2.8667	313.709	310.571
1	2.89595	313.709	313.709
1.01	2.9252	313.709	316.846
1.02	2.95445	313.709	319.983
1.03	2.98371	313.709	323.12
1.04	3.01296	313.709	326.257
1.05	3.04221	313.709	329.394
1.06	3.07146	313.709	332.531
1.07	3.10071	313.709	335.668
1.08	3.12997	313.709	338.805
1.09	3.15922	313.709	341.942
1.1	3.18847	313.709	345.079
1.11	3.21772	313.709	348.216
1.12	3.24697	313.709	351.354
1.13	3.27623	313.709	354.491
1.14	3.30548	313.709	357.628
1.15	3.33473	313.709	360.765
1.16	3.36398	313.709	363.902
1.17	3.39323	313.709	367.039
1.18	3.42249	313.709	370.176
1.19	3.45174	313.709	373.313
1.2	3.48099	313.709	376.45
1.21	3.51024	313.709	379.587
1.22	3.53949	313.709	382.724
1.23	3.56875	313.709	385.861
1.24	3.598	313.709	388.999
1.25	3.62725	313.709	392.136
1.26	3.6565	313.709	395.273
1.27	3.68575	313.709	398.41
1.28	3.71501	313.709	401.547
1.29	3.74426	313.709	404.684
1.3	3.77351	313.709	407.821
1.31	3.80276	313.709	410.958
1.32	3.83201	313.709	414.095
1.33	3.86127	313.709	417.232
1.34	3.89052	313.709	420.369
1.35	3.91977	313.709	423.507
1.36	3.94902	313.709	426.644
1.37	3.97827	313.709	429.781
1.38	4.00753	313.709	432.918
1.39	4.03678	313.709	436.055
1.4	4.06603	313.709	439.192
1.41	4.09528	313.709	442.329
1.42	4.12453	313.709	445.466
1.43	4.15379	313.709	448.603
1.44	4.18304	313.709	451.74
1.45	4.21229	313.709	454.877
1.46	4.24154	313.709	458.014
1.47	4.27079	313.975	461.154
1.48	4.30007	313.962	464.294
1.49	4.32935	313.937	467.433
1.5	4.35862	313.9	470.572
1.51	4.38789	313.853	473.711
1.52	4.41716	313.793	476.849
1.53	4.44642	313.722	479.986
1.54	4.47567	313.64	483.122
1.55	4.50491	313.546	486.258
