SupplyPort 1	Current turn 1	Port pressure 35
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	0.0823428	208.345	0.000181923
1.1e-06	0.0823428	208.345	0.000411103
0.101225	0.0823428	208.345	21.09
0.204165	0.0823428	208.345	42.537
0.305807	0.0823428	208.345	63.7136
0.407258	0.0823428	208.345	84.8504
0.508076	0.0731297	208.345	105.855
0.609077	0.0731297	208.345	126.898
0.7101	0.0731297	208.345	147.946
0.811122	0.0731297	208.345	168.994
0.912378	0.0731297	208.345	190.09
1.01498	5.42272	208.345	211.467
1.11626	5.42272	208.345	232.567
1.21727	5.42272	208.345	253.613
1.31867	5.42272	208.345	274.739
1.41935	5.42272	208.345	295.715
1.52024	10.7317	208.345	316.735
1.62095	10.7317	208.345	337.718
1.72248	10.7317	208.345	358.87
1.82445	10.7317	208.345	380.115
1.92718	10.7317	208.345	401.519
2.02818	10.7317	208.345	422.562
2.12898	17.6156	208.521	443.58
2.22995	17.6156	208.521	464.635
2.33151	17.6156	208.521	485.813
2.43252	17.6156	208.521	506.875
2.5335	17.6156	208.521	527.931
2.63482	17.6156	208.521	549.06
2.73714	17.6156	208.521	570.395
2.83823	17.6156	208.521	591.473
2.93929	17.6156	208.521	612.548
3.04069	22.1731	202.361	633.066
3.14177	22.1731	202.361	653.521
3.24294	22.1731	202.361	673.994
3.34375	22.1731	202.361	694.395
3.44534	22.1731	202.361	714.953
3.54795	22.1731	202.361	735.716
3.6499	26.8115	180.587	754.128
3.75096	26.8115	180.587	772.377
3.85249	26.8115	180.587	790.712
3.95433	26.8115	180.587	809.103
4.05539	26.8115	180.587	827.353
4.1574	26.8115	180.587	845.775
4.25996	26.8115	180.587	864.297
4.36178	26.8115	180.587	882.684
4.46328	26.8115	180.587	901.014
4.56473	26.8115	180.587	919.335
4.66576	26.8115	180.587	937.579
4.76676	26.8115	180.587	955.819
4.86947	30.0949	150.125	971.238
4.97143	30.0949	150.125	986.545
5.07295	30.0949	150.125	1001.79
5.17417	30.0949	150.125	1016.98
5.27525	30.0949	150.125	1032.16
5.37662	30.0949	150.125	1047.37
5.47832	30.0949	150.125	1062.64
5.58043	30.0949	150.125	1077.97
5.682	30.8435	140.369	1092.23
5.78296	30.8435	140.369	1106.4
5.8846	30.8435	140.369	1120.67
5.98588	30.8435	140.369	1134.88
6.08693	30.8435	140.369	1149.07
6.18775	31.0946	136.77	1162.86
6.28879	31.0946	136.77	1176.68
6.39071	31.0946	136.77	1190.62
6.49312	31.0946	136.77	1204.62
6.59467	31.2322	134.719	1218.3
6.69584	31.2322	134.719	1231.93
6.7967	31.2322	134.719	1245.52
6.89773	31.2322	134.719	1259.13
6.99928	31.2322	134.719	1272.81
7.10041	31.2322	134.719	1286.44
7.20349	31.2322	134.719	1300.32
7.30611	31.4065	132.037	1313.87
7.40745	31.4065	132.037	1327.25
7.50838	31.4065	132.037	1340.58
7.61022	31.4065	132.037	1354.03
7.71167	31.4065	132.037	1367.42
7.81537	31.4065	132.037	1381.11
7.91721	31.4065	132.037	1394.56
8.01827	31.4065	132.037	1407.9
8.12015	31.4065	132.037	1421.35
8.22117	31.4065	132.037	1434.69
8.32201	31.5361	129.978	1447.8
8.42371	31.5361	129.978	1461.02
8.52618	31.5361	129.978	1474.34
8.62777	31.5361	129.978	1487.54
8.72906	31.5361	129.978	1500.71
8.83089	31.5752	129.345	1513.88
8.93272	31.5752	129.345	1527.05
9.03438	31.5752	129.345	1540.2
9.13744	31.5752	129.345	1553.53
9.23885	31.6234	128.557	1566.57
9.3409	31.6234	128.557	1579.69
9.44295	31.6234	128.557	1592.81
9.54457	31.6234	128.557	1605.87
9.64704	31.6234	128.557	1619.04
9.74923	31.6675	127.831	1632.11
9.85149	31.6675	127.831	1645.18
9.95307	31.6675	127.831	1658.16
10.0545	31.6675	127.831	1671.12
10.1557	31.6675	127.831	1684.06
10.2582	31.7092	127.135	1697.1
10.3601	31.7092	127.135	1710.05
10.4618	31.7092	127.135	1722.98
10.5632	31.7092	127.135	1735.88
10.6652	31.7092	127.135	1748.84
10.7667	31.7092	127.135	1761.74
10.8697	31.7526	126.406	1774.77
10.9716	31.7526	126.406	1787.65
11.0735	31.7526	126.406	1800.52
11.1749	31.7526	126.406	1813.35
11.2768	31.7526	126.406	1826.23
11.3784	31.7878	125.809	1839
11.4805	31.7878	125.809	1851.85
11.5823	31.7878	125.809	1864.66
11.684	31.7878	125.809	1877.45
11.7856	31.7878	125.809	1890.24
11.8868	31.8096	125.436	1902.93
11.9882	31.8096	125.436	1915.65
12.0904	31.8096	125.436	1928.47
12.1931	31.8096	125.436	1941.36
12.2947	31.8096	125.436	1954.1
12.3967	31.847	124.794	1966.82
12.498	31.847	124.794	1979.46
12.5997	31.847	124.794	1992.16
12.7023	31.847	124.794	2004.96
12.8045	31.847	124.794	2017.71
12.9058	31.847	124.794	2030.36
13.0069	31.847	124.794	2042.97
13.1082	31.847	124.794	2055.62
13.2101	31.847	124.794	2068.33
13.3125	31.847	124.794	2081.11
13.4299	31.9029	123.822	2095.65
13.531	31.9029	123.822	2108.17
13.6323	31.9029	123.822	2120.71
13.7335	31.9029	123.822	2133.24
13.8367	31.9029	123.822	2146.02
13.9384	31.9029	123.822	2158.61
14.0394	31.9218	123.491	2171.08
14.1412	31.9218	123.491	2183.65
14.2425	31.9218	123.491	2196.17
14.3444	31.9513	122.972	2208.69
14.4478	31.9513	122.972	2221.42
14.5492	31.9513	122.972	2233.88
14.6507	31.9513	122.972	2246.36
14.7527	31.9513	122.972	2258.9
14.8538	31.9782	122.494	2271.29
