SupplyPort 1	Current turn 1	Port pressure 55
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	0.120315	327.4	0.00026811
0.01	0.448752	327.4	3.27427
0.02	0.448752	327.4	6.54826
0.03	0.448752	327.4	9.82226
0.04	0.448752	327.4	13.0963
0.05	0.448752	327.4	16.3703
0.06	0.448752	327.4	19.6443
0.07	0.448752	327.4	22.9183
0.08	0.448752	327.4	26.1923
0.09	0.448752	327.4	29.4662
0.1	0.448752	327.4	32.7402
0.11	0.448752	327.4	36.0142
0.12	0.448752	327.4	39.2882
0.13	0.448752	327.4	42.5622
0.14	0.448752	327.4	45.8362
0.15	0.448752	327.4	49.1102
0.16	0.448752	327.4	52.3842
0.17	0.448752	327.4	55.6582
0.18	0.448752	327.4	58.9322
0.19	0.448752	327.4	62.2062
0.2	0.448752	327.4	65.4802
0.21	0.448752	327.4	68.7542
0.22	0.448752	327.4	72.0282
0.23	0.448752	327.4	75.3022
0.24	0.448752	327.4	78.5762
0.25	0.448752	327.4	81.8502
0.26	0.448752	327.4	85.1242
0.27	0.448752	327.4	88.3982
0.28	0.448752	327.4	91.6722
0.29	0.448752	327.4	94.9462
0.3	0.448752	327.4	98.2202
0.31	0.448752	327.4	101.494
0.32	0.448752	327.4	104.768
0.33	0.448752	327.4	108.042
0.34	0.448752	327.4	111.316
0.35	0.448752	327.4	114.59
0.36	0.448752	327.4	117.864
0.37	0.448752	327.4	121.138
0.38	0.448752	327.4	124.412
0.39	0.448752	327.4	127.686
0.4	0.448752	327.4	130.96
0.41	0.448752	327.4	134.234
0.42	0.448752	327.4	137.508
0.43	0.448752	327.4	140.782
0.44	0.448752	327.4	144.056
0.45	0.448752	327.4	147.33
0.46	0.448752	327.4	150.604
0.47	0.448752	327.4	153.878
0.48	0.448752	327.4	157.152
0.49	0.448752	327.4	160.426
0.5	0.448752	327.4	163.7
0.51	0.448752	327.4	166.974
0.52	0.448752	327.4	170.248
0.53	0.448752	327.4	173.522
0.54	0.448752	327.4	176.796
0.55	0.448752	327.4	180.07
0.56	0.448752	327.4	183.344
0.57	0.448752	327.4	186.618
0.58	0.448752	327.4	189.892
0.59	0.448752	327.4	193.166
0.6	0.448752	327.4	196.44
0.61	0.448752	327.4	199.714
0.62	0.448752	327.4	202.988
0.63	0.448752	327.4	206.262
0.64	0.448752	327.4	209.536
0.65	0.448752	327.4	212.81
0.66	0.448752	327.4	216.084
0.67	0.448752	327.4	219.358
0.68	0.448752	327.4	222.632
0.69	0.448752	327.4	225.906
0.7	0.448752	327.4	229.18
0.71	0.448752	327.4	232.454
0.72	0.448752	327.4	235.728
0.73	0.448752	327.4	239.002
0.74	0.448752	327.4	242.276
0.75	0.448752	327.4	245.55
0.76	0.448752	327.4	248.824
