SupplyPort 1	Port pressure 28
Elapsed	Pressure	Rate
0	0.301158	0
0.102	0.300978	-3.90081e-06
0.203	1.57714	0.027947
0.305	2.50608	0.0201436
0.406	3.32563	0.0179474
0.507	4.10363	0.0170377
0.608	4.85916	0.0165454
0.709	5.6221	0.0167078
0.81	6.36773	0.0163287
0.911	7.13313	0.0167617
1.013	7.88658	0.0163381
1.115	8.6398	0.0163333
1.216	9.39884	0.0166223
1.317	10.1652	0.0167834
1.418	10.9121	0.0163564
1.519	11.6587	0.0163482
1.62	12.4039	0.01632
1.72	13.1331	0.0161282
1.822	13.8654	0.0158797
1.923	14.5811	0.0156746
2.024	15.2863	0.0154434
2.125	15.9672	0.0149098
2.226	16.6415	0.014767
2.327	17.2948	0.0143076
2.429	17.9298	0.0137699
2.53	18.5468	0.0135097
2.63	19.1374	0.0130644
2.732	19.6943	0.0120765
2.834	20.2474	0.0119938
2.935	20.7695	0.0114325
3.036	21.265	0.0108504
3.137	21.7311	0.010209
3.238	22.1802	0.00983439
3.34	22.5894	0.0088725
3.441	22.9825	0.00860912
3.542	23.3405	0.00784014
3.643	23.6787	0.00740679
3.745	23.9885	0.00671684
3.846	24.2687	0.00613568
3.948	24.529	0.0056446
4.048	24.7659	0.00523979
4.149	24.9851	0.00480005
4.25	25.1774	0.0042116
4.351	25.3376	0.00350929
4.453	25.5023	0.00357162
4.554	25.6368	0.00294555
4.655	25.7658	0.00282322
4.756	25.8701	0.00228428
4.857	25.9686	0.00215754
4.958	26.0543	0.00187758
5.059	26.134	0.00174584
5.16	26.2075	0.00160843
5.262	26.2703	0.00136245
5.363	26.3176	0.00103481
5.465	26.3641	0.00100815
5.567	26.4145	0.0010944
5.668	26.4554	0.000893801
5.769	26.4941	0.000848294
5.871	26.5313	0.000806184
5.972	26.5541	0.000499101
6.073	26.5861	0.000701572
6.175	26.6121	0.000564414
6.277	26.6384	0.000569443
6.378	26.6523	0.000305496
6.479	26.6688	0.000359549
6.58	26.6948	0.000571132
6.682	26.7119	0.000369921
6.783	26.7291	0.000376245
6.884	26.7453	0.000354587
6.985	26.7495	9.35737e-05
7.087	26.7711	0.000467557
7.189	26.7786	0.000162507
7.29	26.8002	0.000473154
7.392	26.8044	9.20984e-05
7.493	26.8169	0.000271766
7.595	26.8344	0.000380906
7.696	26.8441	0.000211452
7.798	26.8543	0.00022261
7.899	26.8632	0.000193187
8.001	26.876	0.000277579
8.102	26.8768	1.93699e-05
8.203	26.8952	0.000402029
8.305	26.9069	0.00025294
8.406	26.9098	6.48602e-05
8.508	26.9186	0.00018923
8.609	26.9273	0.000191468
8.711	26.9405	0.000285278
8.811	26.9442	8.37242e-05
8.913	26.9504	0.000133548
9.015	26.9666	0.000350766
9.116	26.9749	0.000182285
9.217	26.977	4.57548e-05
9.319	26.9883	0.000244835
9.42	26.9901	4.03563e-05
9.522	26.9952	0.000110789
9.624	27.0118	0.00035933
9.725	27.0103	-3.29755e-05
9.826	27.0231	0.000279388
9.928	27.0324	0.000201813
