SupplyPort 1	Port pressure 28
Elapsed	Pressure	Rate
0	0.366776	0.0146651
0.01	0.43308	0.0146651
0.02	0.499383	0.0146651
0.03	0.565686	0.0146651
0.04	0.63199	0.0146651
0.05	0.698293	0.0146651
0.06	0.764597	0.0146651
0.07	0.8309	0.0146651
0.08	0.897204	0.0146651
0.09	0.963507	0.0146651
0.1	1.02981	0.0146651
0.11	1.09611	0.0146651
0.12	1.16242	0.0146651
0.13	1.22872	0.0146651
0.14	1.29502	0.0146651
0.15	1.36133	0.0146651
0.16	1.42763	0.0146651
0.17	1.49393	0.0146651
0.18	1.56024	0.0146651
0.19	1.62654	0.0146651
0.2	1.69284	0.0146651
0.21	1.75915	0.0146651
0.22	1.82545	0.0146651
0.23	1.89175	0.0146651
0.24	1.95806	0.0146651
0.25	2.02436	0.0146651
0.26	2.09066	0.0146651
0.27	2.15697	0.0146651
0.28	2.22327	0.0146651
0.29	2.28958	0.0146651
0.3	2.35588	0.0146651
0.31	2.42218	0.0146651
0.32	2.48849	0.0146651
0.33	2.55479	0.0146651
0.34	2.62109	0.0146651
0.35	2.6874	0.0146651
0.36	2.7537	0.0146651
0.37	2.82	0.0146651
0.38	2.88631	0.0146651
0.39	2.95261	0.0146651
0.4	3.01891	0.0146651
0.41	3.08522	0.0146651
0.42	3.15152	0.0146651
0.43	3.21782	0.0146651
0.44	3.28413	0.0146651
0.45	3.35043	0.0146651
0.46	3.41673	0.0146651
0.47	3.48304	0.0146651
0.48	3.54934	0.0146651
0.49	3.61564	0.0146651
0.5	3.68195	0.0146651
0.51	3.74825	0.0146651
0.52	3.81455	0.0146651
0.53	3.88086	0.0146651
0.54	3.94716	0.0146651
0.55	4.01346	0.0146651
0.56	4.07977	0.0146651
0.57	4.14607	0.0146651
0.58	4.21237	0.0146651
0.59	4.27868	0.0146651
0.6	4.34498	0.0146651
0.61	4.41128	0.0146651
0.62	4.47759	0.0146651
0.63	4.54389	0.0146651
0.64	4.61019	0.0146651
0.65	4.6765	0.0146651
0.66	4.7428	0.0146651
0.67	4.8091	0.0146651
0.68	4.87541	0.0146651
0.69	4.94171	0.0146651
0.7	5.00802	0.0146651
0.71	5.07432	0.0146651
0.72	5.14062	0.0146651
0.73	5.20693	0.0146651
0.74	5.27323	0.0146651
0.75	5.33953	0.0146651
0.76	5.40584	0.0146651
0.77	5.47214	0.0146651
0.78	5.53844	0.0146651
0.79	5.60475	0.0146651
0.8	5.67105	0.0146651
0.81	5.73735	0.0146651
0.82	5.80366	0.0146651
0.83	5.86996	0.0146651
0.84	5.93626	0.0146651
0.85	6.00257	0.0146651
0.86	6.06887	0.0146651
0.87	6.13517	0.0146651
0.88	6.20148	0.0146651
0.89	6.26778	0.0146651
0.9	6.33408	0.0146651
0.91	6.40039	0.0146651
0.92	6.46669	0.0146651
0.93	6.53299	0.0146651
0.94	6.5993	0.0146651
0.95	6.6656	0.0146651
0.96	6.7319	0.0146651
0.97	6.79821	0.0146651
0.98	6.86451	0.0146651
0.99	6.93081	0.0146651
1	6.99712	0.0146651
1.01	7.06342	0.0146651
1.02	7.12972	0.0146651
1.03	7.19603	0.0146651
1.04	7.26233	0.0146651
1.05	7.32863	0.0146651
1.06	7.39494	0.0146651
1.07	7.46124	0.0146651
1.08	7.52754	0.0146651
1.09	7.59385	0.0146651
1.1	7.66015	0.0146651
1.11	7.72645	0.0146651
1.12	7.79276	0.0146651
1.13	7.85906	0.0146651
1.14	7.92537	0.0146651
1.15	7.99167	0.0146651
1.16	8.05797	0.0146651
1.17	8.12428	0.0146651
1.18	8.19058	0.0146651
1.19	8.25688	0.0146651
1.2	8.32319	0.0146651
1.21	8.38949	0.0146651
1.22	8.45579	0.0146651
1.23	8.5221	0.0146651
1.24	8.5884	0.0146651
1.25	8.6547	0.0146651
1.26	8.72101	0.0146651
1.27	8.78731	0.0146651
1.28	8.85361	0.0146651
1.29	8.91992	0.0146651
1.3	8.98622	0.0146651
1.31	9.05252	0.0146651
1.32	9.11883	0.0146651
1.33	9.18513	0.0146651
1.34	9.25143	0.0146651
1.35	9.31774	0.0146651
1.36	9.38404	0.0146651
1.37	9.45034	0.0146651
1.38	9.51665	0.0146651
1.39	9.58295	0.0146651
1.4	9.64925	0.0146651
1.41	9.71556	0.0146651
1.42	9.78186	0.0146651
1.43	9.84816	0.0146651
1.44	9.91447	0.0146651
1.45	9.98077	0.0146651
1.46	10.0471	0.0146651
1.47	10.1134	0.0146651
1.48	10.1797	0.0146651
1.49	10.246	0.0146651
1.5	10.3123	0.0146651
1.51	10.3786	0.0146651
1.52	10.4449	0.0146651
1.53	10.5112	0.0146651
1.54	10.5775	0.0146651
1.55	10.6438	0.0146651
1.56	10.7101	0.0146651
1.57	10.7764	0.0146651
1.58	10.8427	0.0146651
1.59	10.909	0.0146651
1.6	10.9753	0.0146651
1.61	11.0416	0.0146651
1.62	11.1079	0.0146651
1.63	11.1742	0.0146651
1.64	11.2405	0.0146651
1.65	11.3068	0.0146651
1.66	11.3731	0.0146651
1.67	11.4394	0.0146651
1.68	11.5057	0.0146651
1.69	11.5721	0.0146651
1.7	11.6384	0.0146651
1.71	11.7047	0.0146651
1.72	11.771	0.0146651
1.73	11.8373	0.0146651
1.74	11.9036	0.0146651
1.75	11.9699	0.0146651
1.76	12.0362	0.0146651
1.77	12.1025	0.0146651
1.78	12.1688	0.0146651
1.79	12.2351	0.0146651
1.8	12.3014	0.0146651
1.81	12.3677	0.0146651
1.82	12.434	0.0146651
1.83	12.5003	0.0146651
1.84	12.5666	0.0146651
1.85	12.6329	0.0146651
1.86	12.6992	0.0146651
1.87	12.7655	0.0146651
1.88	12.8318	0.0146651
1.89	12.8981	0.0146651
1.9	12.9644	0.0146651
1.91	13.0307	0.0146651
1.92	13.097	0.0146651
1.93	13.1633	0.0146651
1.94	13.2296	0.0146651
1.95	13.2959	0.0146651
1.96	13.3622	0.0146651
1.97	13.4285	0.0146651
1.98	13.4949	0.0146651
1.99	13.5612	0.0146651
2	13.6275	0.0146651
2.01	13.6938	0.0146651
2.02	13.7601	0.0146651
2.03	13.8264	0.0146651
2.04	13.8927	0.0146651
2.05	13.959	0.0146651
2.06	14.0253	0.0146651
2.07	14.0916	0.0146651
2.08	14.1579	0.0146651
2.09	14.2242	0.0146651
2.1	14.2905	0.0146651
2.11	14.3568	0.0146651
2.12	14.4231	0.0146651
2.13	14.4894	0.0146651
2.14	14.5557	0.0146651
2.15	14.622	0.0146651
2.16	14.6883	0.0146651
2.17	14.7546	0.0146651
2.18	14.8209	0.0146651
2.19	14.8931	0.0159714
2.2	14.9651	0.0159268
2.21	15.0369	0.0158818
2.22	15.1085	0.0158364
2.23	15.1799	0.0157905
2.24	15.2511	0.0157443
2.25	15.3221	0.0156975
2.26	15.3928	0.0156504
2.27	15.4634	0.0156029
2.28	15.5337	0.015555
2.29	15.6038	0.0155067
2.3	15.6737	0.015458
2.31	15.7434	0.0154089
2.32	15.8128	0.0153595
2.33	15.882	0.0153098
2.34	15.951	0.0152597
2.35	16.0198	0.0152092
2.36	16.0883	0.0151585
2.37	16.1566	0.0151074
2.38	16.2247	0.015056
2.39	16.2925	0.0150042
2.4	16.3601	0.0149522
2.41	16.4275	0.0148999
2.42	16.4946	0.0148474
2.43	16.5615	0.0147945
2.44	16.6282	0.0147414
2.45	16.6946	0.014688
2.46	16.7607	0.0146344
2.47	16.8267	0.0145805
2.48	16.8923	0.0145264
2.49	16.9578	0.014472
2.5	17.023	0.0144175
2.51	17.0879	0.0143627
2.52	17.1526	0.0143077
2.53	17.217	0.0142525
2.54	17.2812	0.0141971
2.55	17.3451	0.0141415
2.56	17.4088	0.0140858
2.57	17.4723	0.0140298
2.58	17.5354	0.0139737
2.59	17.5984	0.0139174
2.6	17.661	0.013861
2.61	17.7234	0.0138044
2.62	17.7856	0.0137477
2.63	17.8475	0.0136909
