time,value
0,0.300747
0,0.300963
0,0.301148
0,0.301024
0,0.300818
0,0.301145
0,0.301021
0,0.301345
0,0.301552
0,0.30159
0,0.301962
0,0.301965
0,0.301941
0,0.302001
0,0.30206
0,0.302537
0,0.302421
0,0.302642
0,0.302441
0,0.302466
0,0.302295
0,0.302322
0,0.302014
0,0.302157
0,0.30227
0,0.302353
0,0.302212
0,0.302463
0,0.304189
0,0.304413
0,0.30402
0,0.303855
0,0.303303
0,0.302311
0,0.301585
0,0.302096
0,0.302182
0,0.30182
0,0.299595
0,0.299269
0,0.299841
0,0.299763
0,0.29963
0,0.297798
0,0.297358
0,0.297566
0,0.297437
0,0.29742
0,0.296623
0,0.296395
0,0.2967
0,0.296611
0,0.29602
0,0.295773
0,0.296115
0,0.296145
0,0.296286
0,0.296426
0,0.297679
0,0.297324
0,0.297421
0,0.297405
0,0.297166
0,0.296958
0,0.296196
0,0.296727
0,0.296776
0,0.29702
0,0.297094
0,0.297445
0,0.29715
0,0.297779
0,0.297284
0,0.29554
0,0.29608
0,0.296223
0,0.296195
0,0.296476
0,0.296389
0,0.296443
0,0.296023
0,0.295998
0,0.296086
0,0.296423
0,0.296338
0,0.29642
0,0.296418
0,0.296528
0,0.296469
0,0.296633
0,0.296963
0,0.296926
0,0.297112
0,0.29724
0,0.297254
0,0.29724
0,0.296948
0,0.296659
0,0.29671
0,0.296732
0,0.297004
0,0.297245
0,0.297538
0,0.29766
0,0.297501
0,0.297261
0,0.297331
0,0.297762
0,0.297435
0,0.297642
0,0.29726
0,0.297637
0,0.298371
0,0.2977
0,0.298461
0,0.298123
0,0.298962
0,0.299287
0,0.299803
0,0.300423
0,0.300225
0,0.300393
0,0.300335
0,0.300585
0,0.30058
0,0.300296
0,0.300435
0,0.301158
0,0.301201
0.000796875,0.301439
0.00159375,0.301394
0.00239062,0.30135
0.0031875,0.301614
0.00398438,0.301539
0.00478125,0.301604
0.00557812,0.301195
0.006375,0.301237
0.00717187,0.301196
0.00796875,0.301043
