SupplyPort 1	Current turn 1	Port pressure 25
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	1.34706	148.818	0.00297201
1.3e-06	1.34706	148.818	0.00316547
0.100923	1.34706	148.818	15.0221
0.201908	1.34706	148.818	30.0506
0.303299	1.34706	148.818	45.1394
0.404463	3.15746	148.818	60.1943
0.505519	3.15746	148.818	75.2333
0.606309	3.15746	148.818	90.2326
0.707964	3.15746	148.818	105.361
0.809425	3.15746	148.818	120.46
0.910684	6.34579	148.818	135.529
1.01172	6.34579	148.818	150.566
1.11325	6.34579	148.818	165.674
1.21424	6.34579	148.818	180.703
1.31598	6.34579	148.818	195.845
1.41752	9.45433	148.818	210.955
1.51874	9.45433	148.818	226.019
1.61991	9.45433	148.818	241.075
1.72063	9.45433	148.818	256.064
1.82171	9.45433	148.818	271.106
1.92243	9.45433	148.818	286.096
2.02324	12.4671	148.818	301.098
2.12433	12.4671	148.818	316.142
2.22506	12.4671	148.818	331.132
2.32661	12.4671	148.818	346.245
2.4279	12.4671	148.818	361.318
2.52871	15.2039	146.117	376.048
2.6299	15.2039	146.117	390.835
2.73076	15.2039	146.117	405.572
2.83143	15.2039	146.117	420.281
2.93222	15.2039	146.117	435.007
3.03338	17.5358	138.281	448.997
3.13471	17.5358	138.281	463.008
3.23622	17.5358	138.281	477.046
3.33748	17.5358	138.281	491.048
3.43905	17.5358	138.281	505.094
3.53964	19.3744	127.398	517.908
3.64077	19.3744	127.398	530.791
3.74225	19.3744	127.398	543.72
3.84398	19.3744	127.398	556.68
3.94534	20.7068	115.945	568.432
4.04705	20.7068	115.945	580.225
4.14886	20.7068	115.945	592.03
4.24961	20.7068	115.945	603.711
4.351	20.7068	115.945	615.467
4.45178	20.7068	115.945	627.152
4.55338	21.4555	107.727	638.096
4.65435	21.4555	107.727	648.974
4.75508	21.4555	107.727	659.824
4.85608	21.4555	107.727	670.705
4.95714	22.1633	98.3811	680.648
5.05851	22.1633	98.3811	690.621
5.16071	22.1633	98.3811	700.675
5.26311	22.1633	98.3811	710.749
5.36429	22.1633	98.3811	720.704
5.46539	22.1633	98.3811	730.65
5.56655	22.4217	94.4919	740.208
5.66744	22.4217	94.4919	749.742
5.76823	22.4217	94.4919	759.266
5.86915	22.4217	94.4919	768.802
5.97012	22.6277	91.1727	778.008
6.07154	22.6277	91.1727	787.255
6.17273	22.6277	91.1727	796.481
6.27399	22.6277	91.1727	805.713
6.37515	22.6277	91.1727	814.935
6.47592	22.7203	89.6111	823.965
6.57719	22.7203	89.6111	833.04
6.67818	22.7203	89.6111	842.091
6.78	22.7203	89.6111	851.214
6.88161	22.7203	89.6111	860.32
6.98335	22.8103	88.0504	869.278
7.08479	22.8103	88.0504	878.21
7.18638	22.8103	88.0504	887.155
7.28811	22.8103	88.0504	896.112
7.3897	22.8103	88.0504	905.058
7.49083	22.872	86.9513	913.851
7.59262	22.872	86.9513	922.701
7.69439	22.872	86.9513	931.551
7.79603	22.872	86.9513	940.388
7.89686	22.872	86.9513	949.155
7.99814	22.9333	85.8392	957.85
8.09904	22.9333	85.8392	966.51
8.19969	22.9333	85.8392	975.151
8.30111	22.9333	85.8392	983.856
8.40208	22.9333	85.8392	992.523
8.50397	22.975	85.0679	1001.19
8.60544	22.975	85.0679	1009.82
8.70722	22.975	85.0679	1018.48
8.80886	22.975	85.0679	1027.13
8.91077	22.975	85.0679	1035.8
9.01185	23.0169	84.2833	1044.32
9.11308	23.0169	84.2833	1052.85
9.21443	23.0169	84.2833	1061.39
9.31608	23.0169	84.2833	1069.96
9.41751	23.0169	84.2833	1078.51
9.51838	23.0585	83.4915	1086.93
9.61931	23.0585	83.4915	1095.35
9.72036	23.0585	83.4915	1103.79
9.82207	23.0585	83.4915	1112.28
9.92369	23.0585	83.4915	1120.77
10.0248	23.075	83.1756	1129.18
10.1258	23.075	83.1756	1137.58
10.227	23.075	83.1756	1146
10.3287	23.075	83.1756	1154.46
10.4305	23.1154	82.3913	1162.84
10.5319	23.1154	82.3913	1171.2
10.6336	23.1154	82.3913	1179.57
10.7345	23.1154	82.3913	1187.89
10.836	23.1154	82.3913	1196.25
10.9372	23.1612	81.4892	1204.5
11.0388	23.1612	81.4892	1212.78
11.14	23.1612	81.4892	1221.02
11.241	23.1612	81.4892	1229.25
11.3427	23.1612	81.4892	1237.54
11.4443	23.1612	81.4892	1245.82
11.5459	23.1805	81.1042	1254.07
11.6474	23.1805	81.1042	1262.3
11.7492	23.1805	81.1042	1270.55
11.8511	23.1805	81.1042	1278.81
11.9526	23.1805	81.1042	1287.04
12.0542	23.216	80.3879	1295.21
