SupplyPort 1	Current turn 1	Port pressure 55
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	1.22018	327.4	0.00272674
1.3e-06	1.22018	327.4	0.00315236
0.101126	1.22018	327.4	33.1113
0.201786	1.22018	327.4	66.0674
0.302697	1.22018	327.4	99.1056
0.403721	1.22018	327.4	132.181
0.504693	1.22018	327.4	165.239
0.606034	1.22018	327.4	198.418
0.706801	6.44801	327.4	231.409
0.807912	6.44801	327.4	264.513
0.908652	6.44801	327.4	297.495
1.00991	6.44801	327.4	330.648
1.1108	6.44801	327.4	363.677
1.21157	14.5934	327.4	396.671
1.31285	14.5934	327.4	429.83
1.41399	14.5934	327.4	462.943
1.51622	14.5934	327.4	496.413
1.61745	14.5934	327.4	529.554
1.71945	21.3828	327.4	562.95
1.82078	21.3828	327.4	596.126
1.92207	21.3828	327.4	629.288
2.02317	21.3828	327.4	662.387
2.12481	21.3828	327.4	695.666
2.22647	27.8985	327.655	728.976
2.32817	27.8985	327.655	762.298
2.42955	27.8985	327.655	795.515
2.53107	27.8985	327.655	828.778
2.63208	27.8985	327.655	861.875
2.7329	33.575	321.178	894.257
2.83393	33.575	321.178	926.706
2.93642	33.575	321.178	959.621
3.03773	33.575	321.178	992.161
3.13917	33.575	321.178	1024.74
3.23994	37.9788	306.915	1055.67
3.34069	37.9788	306.915	1086.59
3.44156	37.9788	306.915	1117.55
3.54262	37.9788	306.915	1148.57
3.64414	37.9788	306.915	1179.73
3.74555	40.9753	291.342	1209.27
3.84702	40.9753	291.342	1238.83
3.94805	40.9753	291.342	1268.27
4.04904	40.9753	291.342	1297.69
4.14995	40.9753	291.342	1327.09
4.25079	42.6341	280.197	1355.34
4.35196	42.6341	280.197	1383.69
4.45314	42.6341	280.197	1412.04
4.55497	42.6341	280.197	1440.57
4.65658	42.6341	280.197	1469.04
4.7581	43.3478	274.759	1496.94
4.8592	43.3478	274.759	1524.72
4.96032	43.3478	274.759	1552.5
5.06141	43.3478	274.759	1580.28
5.16245	43.3478	274.759	1608.04
5.2645	43.6217	272.56	1635.85
5.36558	43.6217	272.56	1663.4
5.46725	43.6217	272.56	1691.11
5.56915	43.6217	272.56	1718.89
5.67059	43.6217	272.56	1746.54
5.7722	43.7984	271.108	1774.08
5.87318	43.7984	271.108	1801.46
5.97526	43.7984	271.108	1829.13
6.07617	43.7984	271.108	1856.49
6.17704	43.7984	271.108	1883.84
6.27814	43.9178	270.111	1911.15
6.37915	43.9178	270.111	1938.43
6.48041	43.9178	270.111	1965.78
6.58151	43.9178	270.111	1993.09
6.68324	43.9178	270.111	2020.57
6.78485	43.9957	269.453	2047.95
6.88602	43.9957	269.453	2075.21
6.9878	43.9957	269.453	2102.63
7.08864	43.9957	269.453	2129.81
7.18957	43.9957	269.453	2157
7.29136	44.081	268.727	2184.35
7.39266	44.081	268.727	2211.58
7.49425	44.081	268.727	2238.87
7.59539	44.081	268.727	2266.05
7.69674	44.081	268.727	2293.29
7.79842	44.1521	268.117	2320.55
7.89946	44.1521	268.117	2347.64
8.00065	44.1521	268.117	2374.77
8.10258	44.1521	268.117	2402.1
8.20417	44.1521	268.117	2429.34
8.30565	44.2172	267.554	2456.49
8.40655	44.2172	267.554	2483.49
8.50803	44.2172	267.554	2510.64
8.60964	44.2172	267.554	2537.83
8.71091	44.2172	267.554	2564.92
8.81198	44.2737	267.062	2591.91
8.91436	44.2737	267.062	2619.26
9.01596	44.2737	267.062	2646.39
9.11765	44.2737	267.062	2673.55
9.21933	44.3341	266.533	2700.65
9.32055	44.3341	266.533	2727.63
9.42173	44.3341	266.533	2754.59
9.52359	44.3341	266.533	2781.74
9.62514	44.3341	266.533	2808.81
9.72687	44.3609	266.297	2835.9
9.82884	44.3609	266.297	2863.05
