time,value
0,1.34667
1,1.34645
2,1.34696
3,1.34724
4,1.34696
5,1.34512
6,1.34521
7,1.34481
8,1.34496
9,1.34482
10,1.34558
11,1.34565
12,1.34615
13,1.34613
14,1.34598
15,1.34636
16,1.34617
17,1.34607
18,1.34408
19,1.34351
20,1.34403
21,1.3434
22,1.34368
23,1.34414
24,1.34441
25,1.34369
26,1.3431
27,1.34343
28,1.3436
29,1.34367
30,1.34378
31,1.3436
32,1.34373
33,1.34325
34,1.34291
35,1.34286
36,1.34278
37,1.34281
38,1.34262
39,1.34277
40,1.34283
41,1.34272
42,1.34278
43,1.34278
44,1.34284
45,1.34271
46,1.34232
47,1.34239
48,1.34234
49,1.34241
50,1.34275
51,1.34259
52,1.34282
53,1.34271
54,1.34258
55,1.34245
56,1.34254
57,1.34235
58,1.34262
59,1.34215
60,1.3425
61,1.34245
62,1.34268
63,1.34202
64,1.34175
65,1.34216
66,1.34229
67,1.34283
68,1.34222
69,1.34198
70,1.34241
71,1.34254
72,1.34274
73,1.34207
74,1.34173
75,1.34214
76,1.34221
77,1.34188
78,1.34176
79,1.34175
80,1.34205
81,1.34271
82,1.34291
83,1.34338
84,1.34369
85,1.34357
86,1.34378
87,1.34447
88,1.34442
89,1.34452
90,1.34455
91,1.34448
92,1.34418
93,1.34416
94,1.34437
95,1.34382
96,1.34485
97,1.34546
98,1.34521
99,1.34599
100,1.34572
101,1.34661
102,1.34642
103,1.34682
104,1.34593
105,1.34617
106,1.34696
107,1.34713
108,1.34696
109,1.34693
110,1.34685
111,1.34672
112,1.34672
113,1.3467
114,1.3467
115,1.3466
116,1.34641
117,1.34619
118,1.34596
119,1.346
120,1.34596
121,1.34586
122,1.34605
123,1.34584
124,1.34583
125,1.34579
126,1.34539
127,1.34508
128,1.34488
129,1.34569
130,1.3463
131,1.34698
132,1.34782
133,1.3475
134,1.34772
135,1.34779
136,1.34789
137,1.3476
138,1.3474
139,1.3477
140,1.34764
141,1.34766
142,1.34773
143,1.348
144,1.34777
145,1.34776
146,1.34786
147,1.34771
148,1.34776
149,1.34752
150,1.34791
151,1.34803
152,1.34813
153,1.34801
154,1.34785
155,1.34762
156,1.34739
