time,value
31616,1.22505
31617,1.22512
31618,1.22457
31619,1.22464
31620,1.22436
31621,1.22432
31622,1.22423
31623,1.22384
31624,1.22548
31625,1.22574
31626,1.22563
31627,1.22597
31628,1.226
31629,1.22616
31630,1.22674
31631,1.2264
31632,1.22625
31633,1.22686
31634,1.22674
31635,1.22675
31636,1.22649
31637,1.22612
31638,1.22586
31639,1.22612
31640,1.22603
31641,1.2258
31642,1.22581
31643,1.22572
31644,1.22503
31645,1.22512
31646,1.22569
31647,1.22572
31648,1.22573
31649,1.22584
31650,1.2259
31651,1.22601
31652,1.22598
31653,1.22575
31654,1.2257
31655,1.22746
31656,1.22816
31657,1.22777
31658,1.22822
31659,1.22782
31660,1.22582
31661,1.22554
31662,1.22571
31663,1.22555
31664,1.22533
31665,1.22539
31666,1.22584
31667,1.22571
31668,1.22568
31669,1.22563
31670,1.22566
31671,1.22569
31672,1.22572
31673,1.22612
31674,1.22636
31675,1.22641
31676,1.22629
31677,1.22643
31678,1.2267
31679,1.22663
31680,1.22679
31681,1.22683
31682,1.22685
31683,1.22678
31684,1.22663
31685,1.22648
31686,1.22692
31687,1.22707
31688,1.22688
31689,1.22701
31690,1.22697
31691,1.22701
31692,1.22682
31693,1.22676
31694,1.22677
31695,1.22668
31696,1.22597
31697,1.22605
31698,1.22597
31699,1.22518
31700,1.22578
31701,1.22536
31702,1.22534
31703,1.22557
31704,1.22513
31705,1.22576
31706,1.22473
31707,1.2243
31708,1.2249
31709,1.2252
31710,1.2254
31711,1.22265
31712,1.22261
31713,1.22274
31714,1.22292
31715,1.22241
31716,1.22536
31717,1.22534
31718,1.22523
31719,1.22508
31720,1.22601
31721,1.22578
31722,1.2257
31723,1.2254
31724,1.22398
31725,1.22409
31726,1.22415
31727,1.22414
31728,1.22392
31729,1.22671
31730,1.22672
31731,1.22624
31732,1.22595
31733,1.22609
31734,1.22679
31735,1.22697
31736,1.22723
31737,1.22596
31738,1.2254
31739,1.22538
31740,1.22494
31741,1.22543
31742,1.22569
31743,1.2251
31744,1.22481
31745,1.2256
31746,1.22578
31747,1.22581
31748,1.22617
31749,1.22446
31750,1.22373
31751,1.22438
31752,1.22431
31753,1.22445
31754,1.22477
31755,1.22543
31756,1.22544
31757,1.22572
31758,1.22578
31759,1.22609
31760,1.22639
31761,1.2263
31762,1.22287
31763,1.22266
31764,1.22231
31765,1.22342
31766,1.22293
31767,1.22029
31768,1.22032
31769,1.22012
31770,1.22092
31771,1.22108
31772,1.22134
31773,1.22124
31774,1.22088
31775,1.22084
31776,1.22128
31777,1.22156
31778,1.22165
31779,1.22146
31780,1.22163
31781,1.22197
31782,1.22234
31783,1.22272
31784,1.22279
31785,1.22264
31786,1.22288
31787,1.22292
31788,1.22286
31789,1.22265
31790,1.22241
31791,1.22224
31792,1.22224
31793,1.22217
31794,1.22234
31795,1.22264
31796,1.22252
31797,1.22259
31798,1.22284
31799,1.22302
31800,1.22337
31801,1.22321
31802,1.22322
31803,1.22297
31804,1.22327
31805,1.22336
31806,1.22412
31807,1.22403
31808,1.22487
31809,1.22474
31810,1.22515
31811,1.22575
31812,1.22575
31813,1.2265
31814,1.22633
31815,1.2271
31816,1.22776
31817,1.22723
31818,1.22743
31819,1.22797
31820,1.22747
31821,1.22747
31822,1.22734
31823,1.22704
31824,1.22688
31825,1.22575
31826,1.22581
31827,1.22598
31828,1.22595
31829,1.22537
31830,1.22811
31831,1.22833
31832,1.2279
31833,1.22773
31834,1.22818
31835,1.22798
31836,1.22795
31837,1.22795
31838,1.22745
31839,1.22695
31840,1.22669
31841,1.22718
31842,1.22697
31843,1.22804
31844,1.22846
31845,1.22775
31846,1.22825
31847,1.22747
31848,1.22463
31849,1.22409
31850,1.22428
31851,1.22447
31852,1.22446
31853,1.22462
31854,1.22503
31855,1.22538
31856,1.22561
31857,1.22533
31858,1.22512
31859,1.22494
31860,1.22506
31861,1.22524
31862,1.22553
31863,1.22584
31864,1.22595
31865,1.22573
31866,1.22537
31867,1.22526
31868,1.22555
31869,1.22511
31870,1.22495
31871,1.22486
31872,1.24716
31873,1.26887
31874,1.2905
31875,1.31051
31876,1.33161
31877,1.35216
31878,1.37298
31879,1.39345
31880,1.41353
31881,1.43351
31882,1.45266
31883,1.47207
31884,1.4902
31885,1.50585
31886,1.52393
31887,1.5417
31888,1.55958
31889,1.57746
31890,1.5952
31891,1.6123
31892,1.6291
31893,1.64612
31894,1.66256
31895,1.67883
31896,1.69464
