time,value
1,1.56251
2,1.56344
3,1.56202
4,1.56193
5,1.56184
6,1.56164
7,1.5615
8,1.56128
9,1.56123
10,1.56104
11,1.5611
12,1.561
13,1.56104
14,1.56051
15,1.5605
16,1.56004
17,1.55987
18,1.56003
19,1.55992
20,1.56027
21,1.5601
22,1.56026
23,1.56014
24,1.55703
25,1.5576
26,1.55674
27,1.55689
28,1.55949
29,1.55938
30,1.56056
31,1.55985
32,1.55931
33,1.55937
34,1.55926
35,1.55997
36,1.56027
37,1.56023
38,1.56025
39,1.56041
40,1.56079
41,1.56088
42,1.56056
43,1.56027
44,1.56006
45,1.55752
46,1.55769
47,1.55769
48,1.55715
49,1.55719
50,1.55781
51,1.55747
52,1.55667
53,1.55531
54,1.55487
55,1.55474
56,1.55461
57,1.55468
58,1.55514
59,1.55543
60,1.5556
61,1.55588
62,1.5559
63,1.55557
64,1.55532
65,1.55535
66,1.55521
67,1.55553
68,1.55561
69,1.55575
70,1.55561
71,1.55558
72,1.55592
73,1.55625
74,1.5561
75,1.55509
76,1.55465
77,1.55394
78,1.55377
79,1.55385
80,1.5539
81,1.55429
82,1.55487
83,1.55507
84,1.55517
85,1.55436
86,1.55413
87,1.55426
88,1.55509
89,1.55555
90,1.55566
91,1.55605
92,1.55635
93,1.55631
94,1.55636
95,1.55746
96,1.55669
97,1.5567
98,1.55738
99,1.55764
100,1.55783
101,1.55825
102,1.55927
103,1.55877
104,1.55906
105,1.55709
106,1.55729
107,1.55727
108,1.55728
109,1.55725
110,1.55734
111,1.55743
112,1.55774
113,1.55788
114,1.55729
115,1.55718
116,1.55696
117,1.557
118,1.55704
119,1.55671
120,1.5567
121,1.55665
122,1.55667
123,1.55688
124,1.55691
125,1.55759
126,1.55784
127,1.55809
128,1.558
129,1.55772
130,1.55724
131,1.55697
132,1.55653
133,1.55677
134,1.55678
135,1.55691
136,1.55669
137,1.55682
138,1.55689
139,1.55731
140,1.5579
141,1.5589
142,1.55833
143,1.55776
144,1.55826
