time,value
1,0.0291694
2,0.0296289
3,0.0296076
4,0.0296983
5,0.0296203
6,0.0299618
7,0.0294617
8,0.0293033
9,0.0300398
10,0.0304312
11,0.030594
12,0.0306987
13,0.0306624
14,0.0306546
15,0.0314836
16,0.0318548
17,0.0319139
18,0.0318326
19,0.0325615
20,0.0323317
21,0.0319936
22,0.0323018
23,0.0319362
24,0.0319105
25,0.0318851
26,0.0319716
27,0.0320012
28,0.0319188
29,0.0315864
30,0.031733
31,0.0313754
32,0.0319991
33,0.0320561
34,0.0322797
35,0.0323329
36,0.0326084
37,0.032378
38,0.0328202
39,0.0324194
40,0.0323311
41,0.0324951
42,0.0343862
43,0.0339355
44,0.0336865
45,0.0337198
46,0.0340038
47,0.0345348
48,0.0344168
49,0.0340773
50,0.0336309
51,0.0336651
52,0.0342845
53,0.0345326
54,0.0340799
55,0.0333825
56,0.0335039
57,0.0349903
58,0.0343638
59,0.0339692
60,0.0339428
61,0.0341678
62,0.0343339
63,0.034665
64,0.0343499
65,0.0342624
66,0.0329767
67,0.032769
68,0.032871
69,0.0322185
70,0.0326909
71,0.0321803
72,0.0297523
73,0.029813
74,0.0295661
75,0.0296015
76,0.0296086
77,0.029476
78,0.0292059
79,0.0289954
80,0.0291783
81,0.0288287
82,0.0287629
83,0.0285307
84,0.0286922
85,0.0288794
86,0.0290919
87,0.0292734
88,0.0291735
89,0.0291029
90,0.0292006
91,0.0292691
92,0.0296155
93,0.0293155
94,0.0298008
95,0.0300282
96,0.0278536
97,0.0283872
98,0.0299176
99,0.0293065
100,0.0290667
101,0.0291928
102,0.029624
103,0.0300213
104,0.0296877
105,0.0297772
106,0.029977
107,0.0300346
108,0.0299519
109,0.0290056
110,0.0288816
111,0.0288987
112,0.0289715
113,0.0288758
114,0.0288372
115,0.0291061
116,0.0298174
117,0.0293751
118,0.029748
119,0.0295577
120,0.0295375
121,0.0295454
122,0.0298043
123,0.0300595
124,0.0298928
125,0.0298958
126,0.0298429
127,0.0297629
128,0.0299629
129,0.0298254
130,0.0301361
131,0.0304425
