time,value
1,19.4867
2,19.4896
3,19.4979
4,19.5035
5,19.5165
6,19.5042
7,19.5031
8,19.506
9,19.5041
10,19.5019
11,19.4971
12,19.4937
13,19.4953
14,19.4944
15,19.4959
16,19.4947
17,19.4912
18,19.49
19,19.4913
20,19.4894
21,19.489
22,19.4904
23,19.4906
24,19.4907
25,19.4977
26,19.4961
27,19.4964
28,19.4965
29,19.4951
30,19.4948
31,19.4945
32,19.4958
33,19.4957
34,19.4954
35,19.4947
36,19.4944
37,19.4945
38,19.4938
39,19.4945
40,19.4941
41,19.4939
42,19.4935
43,19.493
44,19.4928
45,19.4928
46,19.4927
47,19.4933
48,19.4928
49,19.4937
50,19.4937
51,19.493
52,19.4933
53,19.4934
54,19.4931
55,19.4933
56,19.4941
57,19.4935
58,19.4933
59,19.4932
60,19.4932
61,19.4933
62,19.4925
63,19.4931
64,19.4923
65,19.4916
66,19.4907
67,19.4919
68,19.4915
69,19.4917
70,19.4922
71,19.4925
72,19.4922
73,19.4922
74,19.4917
75,19.4918
76,19.4919
77,19.4911
78,19.4917
79,19.492
80,19.492
81,19.492
82,19.4919
83,19.4919
84,19.4914
85,19.4914
86,19.4912
87,19.4914
88,19.4914
89,19.4908
90,19.4904
91,19.49
92,19.4897
93,19.4897
94,19.4894
95,19.4894
96,19.4892
97,19.4891
98,19.4891
99,19.4886
100,19.4885
101,19.4882
102,19.4885
103,19.4885
104,19.4891
105,19.4893
106,19.4889
107,19.4882
108,19.4881
109,19.4884
110,19.4884
111,19.4875
112,19.487
113,19.4876
114,19.4898
115,19.4889
116,19.4887
117,19.4885
118,19.4879
119,19.4879
120,19.4881
121,19.4883
122,19.4886
123,19.4888
124,19.4887
125,19.4893
126,19.4894
127,19.4894
128,19.4893
129,19.49
130,19.4906
131,19.4912
132,19.491
133,19.4904
134,19.4906
135,19.4904
136,19.4902
137,19.4902
138,19.4902
139,19.4901
140,19.4907
141,19.4906
142,19.4907
143,19.4907
144,19.4905
145,19.4904
146,19.4906
147,19.4907
148,19.4907
149,19.4908
150,19.4906
151,19.4904
152,19.4905
153,19.4904
154,19.4902
155,19.4899
156,19.4899
157,19.4906
158,19.4906
159,19.49
160,19.489
161,19.4898
162,19.4919
163,19.4913
164,19.4913
165,19.4916
166,19.491
167,19.4914
168,19.492
169,19.4915
170,19.4915
171,19.4909
172,19.4908
173,19.4903
174,19.4904
175,19.4904
176,19.4906
177,19.49
178,19.4908
179,19.4909
180,19.4887
181,19.4884
182,19.4879
183,19.4879
184,19.4879
185,19.4879
186,19.4882
187,19.4884
188,19.4883
189,19.4881
190,19.488
191,19.4879
192,19.4879
193,19.4878
194,19.4878
195,19.4878
196,19.4878
197,19.4879
198,19.488
199,19.4879
200,19.4876
201,19.4878
202,19.4879
203,19.4875
204,19.4879
205,19.4875
206,19.4879
207,19.488
208,19.4875
209,19.4875
210,19.4871
211,19.4875
212,19.4879
213,19.488
214,19.4878
215,19.4878
216,19.4877
217,19.4874
218,19.4874
219,19.4877
220,19.4874
221,19.4875
222,19.4873
223,19.4873
224,19.4877
225,19.4874
226,19.4842
227,19.4837
228,19.4832
229,19.4827
230,19.4824
231,19.4817
232,19.4832
233,19.4835
234,19.4831
235,19.4833
236,19.4833
237,19.4833
238,19.4835
239,19.4833
240,19.4833
241,19.4834
242,19.4834
243,19.4833
244,19.4832
245,19.4833
246,19.4829
247,19.4829
248,19.4833
249,19.4837
250,19.4837
251,19.4839
252,19.4843
253,19.4842
254,19.4866
255,19.4859
256,19.4858
257,19.486
258,19.4861
259,19.4863
260,19.4858
261,19.4859
262,19.4858
263,19.4858
264,19.4856
265,19.4824
266,19.4822
267,19.4816
268,19.4822
269,19.4824
270,19.4824
271,19.483
272,19.4831
273,19.4831
274,19.4833
275,19.4828
276,19.4833
277,19.4836
278,19.4829
279,19.4819
280,19.4815
281,19.4812
282,19.4815
283,19.4822
284,19.4822
285,19.4823
286,19.4822
287,19.4822
288,19.4825
289,19.4826
290,19.4828
291,19.483
292,19.4827
293,19.483
294,19.4828
295,19.4831
296,19.4829
297,19.483
298,19.4828
299,19.4828
300,19.4833
301,19.4832
302,19.4835
303,19.4837
304,19.4839
305,19.4832
306,19.4832
307,19.4837
308,19.484
309,19.484
310,19.4836
311,19.484
312,19.4846
313,19.4845
314,19.4841
315,19.4835
316,19.4835
317,19.4836
318,19.4834
319,19.4836
320,19.4837
321,19.4838
322,19.484
323,19.4841
324,19.4837
325,19.4831
326,19.4832
327,19.4838
328,19.4834
329,19.4833
330,19.4825
331,19.4826
332,19.483
333,19.4838
334,19.484
335,19.4843
336,19.4837
337,19.4839
338,19.4839
339,19.4837
340,19.4839
341,19.4838
342,19.4845
343,19.4843
344,19.4848
345,19.4848
346,19.4852
347,19.4851
348,19.4857
349,19.4857
350,19.4853
351,19.4855
352,19.4855
353,19.4858
354,19.486
355,19.4865
356,19.4868
357,19.487
358,19.4864
359,19.4868
360,19.4875
361,19.4877
362,19.4871
363,19.4846
364,19.485
365,19.4861
366,19.4856
367,19.4859
368,19.486
369,19.4857
370,19.4857
371,19.4859
372,19.4861
373,19.486
374,19.486
375,19.4865
376,19.4866
377,19.4858
378,19.486
379,19.4859
380,19.4861
381,19.4858
382,19.4857
383,19.4857
384,19.4857
385,19.4857
386,19.4854
387,19.4853
388,19.4852
389,19.4854
390,19.4853
391,19.4854
392,19.4852
393,19.4854
394,19.4854
395,19.4856
396,19.4856
397,19.486
398,19.4861
399,19.4862
400,19.4859
401,19.4859
402,19.4857
403,19.4859
404,19.4858
405,19.486
406,19.486
407,19.4859
408,19.4859
409,19.4859
410,19.4859
411,19.4852
412,19.4847
413,19.4845
414,19.4848
415,19.4853
416,19.4853
417,19.4852
418,19.4853
419,19.4847
420,19.4827
421,19.4831
422,19.4828
423,19.4834
424,19.4833
425,19.4833
426,19.4839
427,19.4837
428,19.4833
429,19.4806
430,19.481
431,19.4804
432,19.48
433,19.48
434,19.4802
435,19.4803
436,19.4801
437,19.4802
438,19.4804
439,19.4803
440,19.4807
441,19.4811
442,19.4813
443,19.4814
444,19.4815
445,19.4817
446,19.4817
447,19.4819
448,19.4823
449,19.4824
450,19.4823
451,19.4819
452,19.482
453,19.4818
454,19.481
455,19.4815
456,19.4817
457,19.4796
458,19.4794
459,19.4795
460,19.4795
461,19.4801
462,19.4797
463,19.479
464,19.4791
465,19.4795
466,19.4794
467,19.4796
468,19.4794
469,19.479
470,19.4791
471,19.4792
472,19.4795
473,19.4795
474,19.4792
475,19.4784
476,19.4791
477,19.479
478,19.4789
479,19.4791
480,19.4796
481,19.4793
482,19.4784
483,19.4805
484,19.4811
485,19.4815
486,19.4819
487,19.4823
488,19.4822
489,19.4823
490,19.4824
491,19.4821
492,19.4817
493,19.4818
494,19.4822
495,19.4818
496,19.4817
497,19.4815
498,19.4815
499,19.4815
500,19.4813
501,19.4811
502,19.481
503,19.4811
504,19.4809
505,19.4814
506,19.482
507,19.4834
508,19.483
509,19.4827
510,19.4831
511,19.4835
512,19.4834
513,19.4608
514,19.4728
515,19.4787
516,19.4708
517,19.4751
518,19.4734
519,19.4753
520,19.475
521,19.473
522,19.4731
523,19.4726
524,19.4696
525,19.4697
526,19.468
527,19.47
528,19.4708
529,19.4718
530,19.4717
531,19.4745
532,19.4745
533,19.4737
534,19.4726
535,19.4735
536,19.4754
537,19.4768
538,19.4758
539,19.4727
540,19.4738
541,19.4746
542,19.4746
543,19.4756
544,19.4766
545,19.4758
546,19.4758
547,19.4769
548,19.4786
549,19.4804
550,19.4813
551,19.4811
552,19.4808
553,19.48
554,19.4801
555,19.4816
556,19.4806
557,19.4807
558,19.4798
559,19.4803
560,19.4815
561,19.4812
562,19.4815
563,19.4816
564,19.4818
565,19.4821
566,19.4823
567,19.4821
568,19.4824
569,19.4822
570,19.4815
571,19.4813
572,19.4816
573,19.4817
574,19.4816
575,19.4818
576,19.4821
577,19.4821
578,19.4824
579,19.4827
580,19.483
581,19.4827
582,19.4838
583,19.4844
584,19.4841
585,19.4837
586,19.4838
587,19.4815
588,19.4812
589,19.4809
590,19.4812
591,19.4816
592,19.4817
593,19.4814
594,19.4816
595,19.4812
596,19.481
597,19.4814
598,19.4835
599,19.4831
600,19.4837
601,19.4838
602,19.4838
603,19.4844
604,19.484
605,19.4806
606,19.4813
607,19.484
608,19.4845
609,19.4795
610,19.4797
611,19.4806
612,19.4809
613,19.4811
614,19.4814
615,19.4811
616,19.4813
617,19.4813
618,19.4813
619,19.4813
620,19.4817
621,19.4816
622,19.4814
623,19.4813
624,19.4815
625,19.4815
626,19.4815
627,19.4814
628,19.4815
629,19.4812
630,19.4808
631,19.4809
632,19.4812
633,19.4807
634,19.4803
635,19.4793
636,19.4802
637,19.4812
638,19.4808
639,19.4808
640,19.481
641,19.4816
642,19.4818
643,19.4822
644,19.4827
645,19.4821
646,19.4796
647,19.4804
648,19.4801
649,19.4803
650,19.4809
651,19.4808
652,19.481
653,19.4807
654,19.4808
655,19.4802
656,19.4799
657,19.4797
658,19.4791
659,19.4819
660,19.4825
661,19.4802
662,19.4802
663,19.4795
664,19.4795
665,19.4795
666,19.4794
667,19.4795
668,19.4796
669,19.4797
670,19.4795
671,19.4795
672,19.4794
673,19.4794
674,19.4795
675,19.4797
676,19.4797
677,19.4797
678,19.4797
679,19.4797
680,19.4797
681,19.4796
682,19.4801
683,19.4781
684,19.4779
685,19.4775
686,19.4772
687,19.4775
688,19.4779
689,19.4775
690,19.4779
691,19.4782
692,19.4788
693,19.4782
694,19.4776
695,19.4776
696,19.4777
697,19.478
698,19.4783
699,19.4786
700,19.4789
701,19.4791
702,19.4788
703,19.4759
704,19.4757
705,19.4753
706,19.4759
707,19.4764
708,19.4775
709,19.4779
710,19.4776
711,19.4777
712,19.4778
713,19.4787
714,19.4785
715,19.4788
716,19.4788
717,19.4785
718,19.4787
719,19.4786
720,19.4785
