SupplyPort 1	Current turn 0.5	Port pressure 49.7
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	1.433	730.973	0
9e-07	1.43162	730.973	0.000657876
0.499229	7.09003	730.973	364.923
0.998639	11.4295	730.973	729.979
1.49867	15.7858	730.973	1095.49
1.99885	20.0366	730.973	1461.11
2.4987	24.106	730.973	1826.48
2.99876	28.326	726.724	2189.89
3.4985	32.9486	700.925	2540.17
3.99879	36.7278	659.338	2870.03
4.4989	40.3502	596.174	3168.18
5.01	42.7628	536.445	3442.36
5.50981	45.4763	443.254	3663.9
6.00995	47.1516	362.832	3845.37
6.51009	48.3645	283.746	3987.28
7.01026	49.0864	219.911	4097.27
7.51017	49.4645	176.074	4185.3
8.00998	49.6796	144.79	4257.66
8.50991	49.7871	126.104	4320.71
9.01019	49.8475	114.235	4377.86
9.50984	49.8619	111.2	4433.42
10.01	49.8878	105.526	4486.2
10.5101	49.9067	101.201	4536.81
11.0104	49.9255	96.6716	4585.17
11.51	49.936	94.0564	4632.16
12.0101	49.9456	91.5836	4677.97
12.5099	49.9598	87.8142	4721.85
13.0105	49.9696	85.1349	4764.47
13.5105	49.975	83.5967	4806.27
14.0099	49.9841	80.975	4846.71
14.5101	49.9901	79.1847	4886.32
