SupplyPort 1	Current turn 0.5	Port pressure 51
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	1.47885	879.479	0
6e-07	7.16648	879.479	0.000527687
0.509147	11.5013	879.479	447.785
0.992154	16.1041	879.479	872.579
1.51053	20.4905	879.479	1328.48
2.00085	25.1184	879.479	1759.71
2.50554	29.4636	872.542	2200.07
3.00017	33.4207	846.222	2618.64
3.51262	37.3247	797.598	3027.36
3.97935	41.266	718.133	3362.54
4.49689	44.1022	634.009	3690.66
4.98486	46.5713	532.076	3950.3
5.5016	48.3176	432.778	4173.93
5.9911	49.4601	345.171	4342.9
6.49728	50.235	265.323	4477.2
7.00778	50.6828	203.164	4580.91
7.49883	50.8736	169.288	4664.04
8.00949	50.9774	147.452	4739.34
8.50781	51	142.24	4810.22
8.99723	51.0633	126.434	4872.1
9.50838	51.0619	126.822	4936.92
9.98482	51.091	118.855	4993.55
10.4964	51.1061	114.495	5052.12
10.9784	51.123	109.418	5104.86
