SupplyPort 2	Current turn 0.5	Port pressure 8.1
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	0.00905922	298.946	0.881524
0.01	0.00821984	298.946	3.87098
0.02	0.0360953	298.946	6.86044
0.03	0.0639707	298.946	9.8499
0.04	0.0918462	298.946	12.8394
0.05	0.119722	298.946	15.8288
0.06	0.147597	298.946	18.8183
0.07	0.175473	298.946	21.8077
0.08	0.203348	298.946	24.7972
0.09	0.231223	298.946	27.7866
0.1	0.259099	298.946	30.7761
0.11	0.286974	298.946	33.7656
0.12	0.31485	298.946	36.755
0.13	0.342725	298.946	39.7445
0.14	0.370601	298.946	42.7339
0.15	0.398476	298.946	45.7234
0.16	0.426352	298.946	48.7128
0.17	0.454227	298.946	51.7023
0.18	0.482102	298.946	54.6918
0.19	0.509978	298.946	57.6812
0.2	0.537853	298.946	60.6707
0.21	0.565729	298.946	63.6601
0.22	0.593604	298.946	66.6496
0.23	0.62148	298.946	69.639
0.24	0.649355	298.946	72.6285
0.25	0.677231	298.946	75.618
0.26	0.705106	298.946	78.6074
0.27	0.732981	298.946	81.5969
0.28	0.760857	298.946	84.5863
0.29	0.788732	298.946	87.5758
0.3	0.816608	298.946	90.5653
0.31	0.844483	298.946	93.5547
0.32	0.872359	298.946	96.5442
0.33	0.900234	298.946	99.5336
0.34	0.92811	298.946	102.523
0.35	0.955985	298.946	105.513
0.36	0.98386	298.946	108.502
0.37	1.01174	298.946	111.491
0.38	1.03961	298.946	114.481
0.39	1.06749	298.946	117.47
0.4	1.09536	298.946	120.46
0.41	1.12324	298.946	123.449
0.42	1.15111	298.946	126.439
0.43	1.17899	298.946	129.428
0.44	1.20686	298.946	132.418
0.45	1.23474	298.946	135.407
0.46	1.26261	298.946	138.397
0.47	1.29049	298.946	141.386
0.48	1.31837	298.946	144.375
0.49	1.34624	298.946	147.365
0.5	1.37412	298.946	150.354
0.51	1.40199	298.946	153.344
0.52	1.42987	298.946	156.333
0.53	1.45774	298.946	159.323
0.54	1.48562	298.946	162.312
0.55	1.51349	298.946	165.302
0.56	1.54137	298.946	168.291
0.57	1.56924	298.946	171.281
0.58	1.59712	298.946	174.27
0.59	1.625	298.946	177.26
0.6	1.65287	298.946	180.249
0.61	1.68075	298.946	183.238
0.62	1.70862	298.946	186.228
0.63	1.7365	298.946	189.217
0.64	1.76437	298.946	192.207
0.65	1.79225	298.946	195.196
0.66	1.82012	298.946	198.186
0.67	1.848	298.946	201.175
0.68	1.87587	298.946	204.165
0.69	1.90375	298.946	207.154
0.7	1.93163	298.946	210.144
0.71	1.9595	298.946	213.133
0.72	1.98738	298.946	216.122
0.73	2.01525	298.946	219.112
0.74	2.04313	298.946	222.101
0.75	2.071	298.946	225.091
0.76	2.09888	298.946	228.08
0.77	2.12675	298.946	231.07
0.78	2.15463	298.946	234.059
0.79	2.1825	298.946	237.049
0.8	2.21038	298.946	240.038
0.81	2.23826	298.946	243.028
0.82	2.26613	298.946	246.017
0.83	2.29401	298.946	249.007
0.84	2.32188	298.946	251.996
0.85	2.34976	298.946	254.985
0.86	2.37763	298.946	257.975
0.87	2.40551	298.946	260.964
0.88	2.43338	298.946	263.954
0.89	2.46126	298.946	266.943
0.9	2.48913	298.946	269.933
0.91	2.51701	298.946	272.922
0.92	2.54489	298.946	275.912
0.93	2.57276	298.946	278.901
0.94	2.60064	298.946	281.891
0.95	2.62851	298.946	284.88
0.96	2.65639	298.946	287.869
0.97	2.68426	298.946	290.859
0.98	2.71214	298.946	293.848
0.99	2.74001	298.946	296.838
1	2.76789	298.946	299.827
1.01	2.79576	298.946	302.817
1.02	2.82364	298.946	305.806
1.03	2.85152	298.946	308.796
1.04	2.87939	298.946	311.785
1.05	2.90727	298.946	314.775
1.06	2.93514	298.946	317.764
1.07	2.96302	298.946	320.753
1.08	2.99089	298.946	323.743
1.09	3.01877	298.946	326.732
1.1	3.04664	298.946	329.722
1.11	3.07452	298.946	332.711
1.12	3.10239	298.946	335.701
1.13	3.13027	298.946	338.69
1.14	3.15815	298.946	341.68
1.15	3.18602	298.946	344.669
1.16	3.2139	298.946	347.659
1.17	3.24177	298.946	350.648
1.18	3.26965	298.946	353.638
1.19	3.29752	298.946	356.627
1.2	3.3254	298.946	359.616
1.21	3.35327	298.946	362.606
1.22	3.38115	298.946	365.595
1.23	3.40902	298.946	368.585
1.24	3.4369	298.946	371.574
1.25	3.46478	298.946	374.564
1.26	3.49265	298.946	377.553
1.27	3.52053	298.946	380.543
1.28	3.5484	298.946	383.532
1.29	3.57628	298.946	386.522
1.3	3.60415	298.946	389.511
1.31	3.63203	298.946	392.5
1.32	3.6599	298.946	395.49
1.33	3.68778	298.946	398.479
1.34	3.71565	298.946	401.469
1.35	3.74353	298.946	404.458
1.36	3.77141	298.946	407.448
1.37	3.79928	298.946	410.437
1.38	3.82716	298.946	413.427
1.39	3.85503	298.946	416.416
1.4	3.88291	298.946	419.406
1.41	3.91078	298.946	422.395
1.42	3.93866	298.946	425.385
1.43	3.96653	298.946	428.374
1.44	3.99441	298.946	431.363
1.45	4.02228	298.946	434.353
1.46	4.05016	299.203	437.345
1.47	4.07806	299.197	440.337
1.48	4.10596	299.181	443.329
1.49	4.13386	299.154	446.32
1.5	4.16175	299.116	449.311
1.51	4.18964	299.068	452.302
1.52	4.21753	299.008	455.292
1.53	4.24541	298.937	458.282
1.54	4.27328	298.855	461.27
1.55	4.30115	298.762	464.258
1.56	4.32901	298.657	467.244
1.57	4.35686	298.541	470.23
1.58	4.3847	298.414	473.214
1.59	4.41252	298.275	476.197
1.6	4.44033	298.125	479.178
1.61	4.46813	297.963	482.157
1.62	4.49592	297.789	485.135
1.63	4.52368	297.604	488.111
1.64	4.55144	297.406	491.085
1.65	4.57917	297.197	494.057
1.66	4.60688	296.976	497.027
1.67	4.63457	296.742	499.995
1.68	4.66224	296.497	502.96
1.69	4.68989	296.239	505.922
1.7	4.71751	295.97	508.882
1.71	4.74511	295.688	511.839
1.72	4.77268	295.393	514.792
1.73	4.80023	295.086	517.743
1.74	4.82774	294.767	520.691
1.75	4.85523	294.435	523.635
1.76	4.88268	294.091	526.576
1.77	4.9101	293.734	529.514
1.78	4.93749	293.364	532.447
1.79	4.96485	292.982	535.377
1.8	4.99217	292.586	538.303
1.81	5.01945	292.178	541.225
1.82	5.04669	291.757	544.142
1.83	5.0739	291.323	547.055
1.84	5.10106	290.876	549.964
