time,value
1,0.0130559
2,0.0129884
3,0.0124478
4,0.0129188
5,0.0134391
6,0.0133384
7,0.0133228
8,0.0137537
9,0.0136485
10,0.0144375
11,0.0150759
12,0.0177415
13,0.0172178
14,0.0178171
15,0.0173202
16,0.0174997
17,0.0173699
18,0.0175208
19,0.017558
20,0.0176505
21,0.017407
22,0.0174179
23,0.0170382
24,0.0174169
25,0.0168419
26,0.0184228
27,0.0179732
28,0.0182551
29,0.019063
30,0.0198317
31,0.020506
32,0.0209476
33,0.0205183
34,0.020625
35,0.0208139
36,0.0208327
37,0.0209629
38,0.0209797
39,0.0213031
40,0.0211756
41,0.021301
42,0.0214804
43,0.0215178
44,0.0218336
45,0.0218103
46,0.0218709
47,0.0216239
48,0.0219661
49,0.0218015
50,0.0216949
51,0.0220082
52,0.0224845
53,0.0229263
54,0.0222739
55,0.0222165
56,0.0229409
57,0.0253288
58,0.024308
59,0.0243057
60,0.0247497
61,0.0242391
62,0.0246841
63,0.024537
64,0.0242247
65,0.0245025
66,0.0260316
67,0.0251404
68,0.0253217
69,0.0252215
70,0.0247322
71,0.0241381
72,0.0237756
73,0.0236971
74,0.0231176
75,0.0229926
76,0.0231761
77,0.0226039
78,0.0225698
79,0.0227871
80,0.0236709
81,0.0237333
82,0.0237949
83,0.0235767
84,0.0232499
85,0.0231788
86,0.0230529
87,0.0232356
88,0.023332
89,0.0230924
90,0.023135
91,0.0231492
92,0.02294
93,0.0227059
94,0.0226982
95,0.0224954
96,0.0219049
97,0.0219084
98,0.021633
99,0.0217519
100,0.0222039
101,0.0218965
102,0.0220954
103,0.0214268
104,0.0221065
105,0.0222746
106,0.0216593
107,0.0215826
108,0.0216744
109,0.0216812
110,0.0213811
111,0.0181563
112,0.0179893
113,0.0178247
114,0.0186666
115,0.0182135
116,0.0182689
117,0.0183793
118,0.0184324
119,0.0185963
120,0.0183395
121,0.0182815
122,0.0186149
123,0.0181068
124,0.0190284
125,0.019937
126,0.020275
127,0.0226445
128,0.0218009
129,0.0217501
130,0.022509
131,0.0232293
132,0.0229074
133,0.0225901
134,0.0225282
135,0.0224393
136,0.0221564
137,0.0220728
138,0.0221855
139,0.0221573
140,0.0224362
141,0.0226555
142,0.0224532
143,0.022198
144,0.0217791
145,0.0217565
146,0.021539
147,0.0217708
148,0.0219436
149,0.0218629
150,0.021616
151,0.0214563
152,0.0218288
153,0.0213313
154,0.0221797
155,0.0231278
156,0.0251225
157,0.0242162
158,0.0239084
159,0.0243022
160,0.0239931
161,0.0242463
162,0.0246912
163,0.0244603
164,0.0242885
165,0.0253744
166,0.0242971
167,0.0247413
168,0.0246771
169,0.0240002
170,0.0244485
171,0.0244163
172,0.0245241
173,0.0240167
174,0.0241022
175,0.0232938
176,0.0231942
177,0.0235144
178,0.0226306
179,0.0230703
180,0.0240338
181,0.0207439
182,0.0211821
183,0.0210006
184,0.0207937
185,0.0201155
186,0.0198652
187,0.0199811
188,0.0203464
189,0.0206508
190,0.0204488
191,0.0208354
192,0.0203798
193,0.0199306
194,0.0197666
195,0.0200233
196,0.0200533
197,0.0200828
198,0.020112
199,0.0200291
200,0.0202543
201,0.0206994
202,0.0213057
203,0.0204808
204,0.020337
205,0.0203068
206,0.0211138
207,0.0199849
208,0.0204617
209,0.0204855
210,0.0198674
211,0.0198159
212,0.0192909
213,0.0186617
214,0.019464
215,0.0193344
216,0.0192625
217,0.0192753
218,0.0191763
219,0.0192181
220,0.019371
221,0.0200238
222,0.0193564
223,0.0200373
224,0.0194813
225,0.0193516
226,0.0190841
227,0.0163379
228,0.0166428
229,0.0177244
230,0.0170336
231,0.016464
232,0.0156792
233,0.0164675
234,0.0167985
235,0.0163717
236,0.0162298
237,0.0158109
238,0.0155374
239,0.014961
240,0.0152015
241,0.0148808
242,0.0150109
243,0.015167
244,0.0152931
245,0.0148874
246,0.0150453
247,0.0150336
248,0.0151336
249,0.015567
250,0.015548
251,0.0153061
252,0.0159323
253,0.0153502
254,0.0123217
255,0.0132409
256,0.0144261
257,0.0137536
258,0.0136206
259,0.0139915
260,0.0137157
261,0.0141132
262,0.0140867
263,0.0148974
264,0.0156409
265,0.0162345
266,0.0161224
267,0.0169603
268,0.0172006
269,0.0181628
270,0.0181353
271,0.0180523
