SupplyPort 2	Current turn4	Port pressure 20
Elapsed	Pressure	Flow rate	Modelled cm3 H2	
0	1.43496	0.18314	0
0	1.43447	0.183143	0
0.511	5.46168	0.162067	18.8637
1.022	9.81589	0.135643	34.6518
1.522	14.3029	0.101452	46.2061
2.038	16.7377	0.0767708	55.2293
2.549	18.5109	0.0518676	61.2664
3.047	19.0294	0.0418745	66.0163
3.553	19.1998	0.038023	70.3987
4.046	19.2815	0.0360286	74.4445
4.556	19.3288	0.0348236	78.4899
5.043	19.3626	0.0339357	82.2543
5.557	19.3895	0.0332112	86.1426
6.051	19.4007	0.032905	89.8451
6.55	19.4179	0.0324284	93.531
7.063	19.433	0.0320044	97.2707
7.566	19.441	0.0317795	100.912
8.059	19.4538	0.0314133	104.439
8.579	19.4538	0.0314139	108.16
9.08	19.4604	0.0312236	111.723
