time,value
1,1.43447
2,1.40667
3,1.42057
4,1.41212
5,1.42018
6,1.41792
7,1.422
8,1.42132
9,1.42434
10,1.42456
11,1.4251
12,1.42506
13,1.42641
14,1.43
15,1.43259
16,1.43195
17,1.4283
18,1.42696
19,1.42533
20,1.42763
21,1.42748
22,1.42604
23,1.42383
24,1.42695
25,1.43197
26,1.43047
27,1.43163
28,1.43315
29,1.43183
30,1.43199
31,1.43194
32,1.43275
33,1.433
34,1.43336
35,1.43266
36,1.43349
37,1.43375
38,1.43286
39,1.43313
40,1.43377
41,1.43368
42,1.4337
43,1.43377
44,1.4343
45,1.43465
46,1.4342
47,1.43421
48,1.43441
49,1.43455
50,1.43464
51,1.43518
52,1.43556
53,1.43532
54,1.43534
55,1.43515
56,1.43514
57,1.43496
58,1.43478
59,1.43477
60,1.43473
61,1.43464
62,1.4344
63,1.43452
64,1.4344
65,1.43437
66,1.43452
67,1.43524
68,1.43417
69,1.43362
70,1.43463
71,1.43675
72,1.43588
73,1.43549
74,1.43669
75,1.43676
76,1.43675
77,1.43699
78,1.43702
79,1.43631
80,1.43239
81,1.4326
82,1.43171
83,1.43298
84,1.4329
85,1.43306
86,1.43375
87,1.43449
88,1.43502
89,1.43189
90,1.43262
91,1.43054
92,1.43102
93,1.43405
94,1.43367
95,1.43378
96,1.43404
97,1.4337
98,1.43355
99,1.43366
100,1.43355
101,1.43378
102,1.43386
103,1.4339
104,1.43391
105,1.4337
106,1.43384
107,1.43381
108,1.43413
109,1.43377
110,1.43351
111,1.43334
112,1.43351
113,1.43358
114,1.43435
115,1.43499
116,1.43501
117,1.4347
118,1.43389
119,1.43432
120,1.43482
121,1.43425
122,1.43429
123,1.43482
124,1.43467
125,1.43425
126,1.43163
127,1.43244
128,1.43244
129,1.43232
130,1.43288
131,1.43299
132,1.43319
133,1.43344
134,1.43334
135,1.43123
136,1.43113
137,1.4306
138,1.43144
139,1.43215
140,1.43262
141,1.43294
142,1.43383
143,1.43386
144,1.43309
145,1.43337
146,1.43322
147,1.43387
148,1.43385
149,1.43435
150,1.43463
151,1.43469
152,1.43483
153,1.43457
154,1.43485
155,1.43482
156,1.43484
157,1.43472
158,1.43472
159,1.43523
160,1.43533
161,1.43569
162,1.43556
163,1.43509
164,1.43499
165,1.43462
166,1.43478
167,1.43532
168,1.43582
169,1.43563
170,1.43513
171,1.43515
172,1.43534
173,1.43521
174,1.43472
175,1.43497
176,1.43488
177,1.4353
178,1.43517
179,1.43624
180,1.43596
181,1.43619
182,1.4371
183,1.43751
184,1.43738
185,1.43636
186,1.43588
187,1.43574
188,1.43621
189,1.43632
190,1.43604
191,1.43582
192,1.43634
193,1.43685
194,1.43715
195,1.43697
196,1.43682
197,1.4362
198,1.43609
199,1.43565
200,1.43594
201,1.43631
202,1.43601
203,1.43601
204,1.43588
205,1.43642
206,1.43603
207,1.43634
208,1.43592
209,1.43587
210,1.43585
211,1.43547
212,1.43574
213,1.43572
214,1.43601
215,1.43672
216,1.43724
217,1.43712
218,1.43725
219,1.43738
220,1.43726
221,1.4373
222,1.43799
223,1.4378
224,1.43697
225,1.43646
226,1.43576
227,1.43633
228,1.43647
229,1.43683
230,1.43714
231,1.43724
232,1.43748
233,1.43808
234,1.43783
235,1.43804
236,1.43852
237,1.43818
238,1.43771
239,1.43828
240,1.43814
241,1.43887
242,1.43876
243,1.43825
244,1.43811
245,1.43806
246,1.43798
247,1.43776
248,1.43733
249,1.4374
250,1.43733
251,1.43737
252,1.4373
253,1.43729
254,1.43689
255,1.43686
256,1.4364
257,1.43646
258,1.43621
259,1.43607
260,1.43616
261,1.43628
262,1.43648
263,1.43628
264,1.43631
265,1.43679
266,1.43751
267,1.43719
268,1.43799
269,1.43774
270,1.43446
271,1.43476
272,1.43428
273,1.43432
274,1.43493
275,1.43493
276,1.43453
277,1.43506
278,1.43494
279,1.43571
280,1.43659
281,1.44002
282,1.43916
283,1.43951
284,1.43941
285,1.43937
286,1.43961
287,1.43867
288,1.43627
289,1.43703
290,1.43551
291,1.43636
292,1.43343
293,1.43381
294,1.43482
295,1.43493
296,1.43481
297,1.43484
298,1.43469
299,1.43463
300,1.43497
301,1.43471
302,1.43482
303,1.43495
304,1.435
305,1.43533
306,1.43529
307,1.4353
308,1.4354
309,1.43519
310,1.4351
311,1.43534
312,1.4355
313,1.43534
314,1.43528
315,1.43579
316,1.43539
317,1.43588
318,1.43572
319,1.43536
320,1.43532
321,1.43509
322,1.43494
323,1.43507
324,1.43587
325,1.43672
326,1.43605
327,1.43633
328,1.43644
329,1.43672
330,1.43658
331,1.43694
332,1.43693
333,1.43698
334,1.43695
335,1.43644
336,1.43633
337,1.43636
338,1.43574
339,1.43575
340,1.4361
341,1.43675
342,1.43669
343,1.43587
344,1.43876
345,1.43875
346,1.43922
347,1.43904
348,1.43862
349,1.43861
350,1.43881
351,1.43897
352,1.43882
353,1.43868
354,1.43862
355,1.43867
356,1.43886
357,1.43877
358,1.43841
359,1.4383
360,1.43794
361,1.43794
362,1.43845
363,1.43828
364,1.43921
365,1.43906
366,1.43841
367,1.43771
368,1.43775
369,1.4382
370,1.4379
371,1.43768
372,1.43728
373,1.43729
374,1.437
375,1.43644
376,1.43666
377,1.43479
378,1.43445
379,1.43384
380,1.43468
381,1.43451
382,1.43476
383,1.43467
384,1.43484
385,1.43483
386,1.43198
387,1.4311
388,1.43112
389,1.43183
390,1.43268
391,1.43318
392,1.43364
393,1.43391
394,1.4335
395,1.43354
396,1.43319
397,1.43315
398,1.43353
399,1.43391
400,1.43394
401,1.43387
402,1.43382
403,1.434
404,1.43372
405,1.43379
406,1.43394
407,1.43403
408,1.43418
409,1.43443
410,1.4344
411,1.43435
412,1.43424
413,1.43438
414,1.43419
415,1.43375
